"register","raw","normalised","n_trials","changed"
"CTIS","Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended","Completed",1,TRUE
"CTIS","Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended","Completed",1,TRUE
"CTIS","Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended","Completed",1,TRUE
"CTIS","Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended","Completed",1,TRUE
"CTIS","Halted / Halted / Halted / Halted / Halted / Halted / Halted / Halted","Ongoing",1,TRUE
"CTIS","Halted / Halted / Halted / Halted / Halted / Halted / Halted / Halted / Halted","Ongoing",1,TRUE
"CTIS","Halted / Halted / Halted / Halted / Halted / Halted / Halted / Halted / Halted / Halted / Halted / Halted / Halted / Halted / Halted / Halted","Ongoing",1,TRUE
"CTIS","Revoked","Not Authorised",1,TRUE
"CTIS","Under evaluation","Not Authorised",1,TRUE
"CTIS","Under evaluation / Under evaluation / Under evaluation / Under evaluation","Not Authorised",1,TRUE
"CTIS","Under evaluation / Under evaluation / Under evaluation / Under evaluation / Under evaluation / Under evaluation / Under evaluation / Under evaluation / Under evaluation / Under evaluation / Under evaluation","Not Authorised",1,TRUE
"EUCTR","Completed","Completed",27398,FALSE
"EUCTR","Prematurely Ended","Completed",6041,TRUE
"EUCTR","Ongoing","Ongoing",4559,FALSE
"EUCTR","GB - no longer in EU/EEA","Administrative",950,TRUE
"EUCTR","Temporarily Halted","Ongoing",65,TRUE
"EUCTR","Trial now transitioned","Administrative",34,TRUE
"EUCTR","Restarted","Ongoing",24,TRUE
"EUCTR","Not Authorised","Not Authorised",14,FALSE
"EUCTR","Prohibited by CA","Not Authorised",12,TRUE
"EUCTR","Suspended by CA","Ongoing",5,TRUE
