_id,sponsor_clean,sponsor_parent,sponsor_group,sponsor_type,match_status
2009-017192-26-DE,"Free State of Bavaria rep. by the Univ. of Regensburg, rep. by the Regensburg Univ. Hospital",NA,NA,hospital,accepted
2009-017193-20-BE,UZ Leuven,UZ Leuven,UZ Leuven,unknown,accepted
2009-017194-38-ES,Grupo TTD,NA,NA,unknown,accepted
2009-017197-21-BE,Astellas Pharma,Astellas Pharma,Astellas Pharma,industry,accepted
2009-017201-11-GR,"Verisfield UK Ltd., Greek Branch",NA,NA,industry,accepted
2009-017222-39-ES,Laboratorios Litaphar,NA,NA,industry,accepted
2009-017223-25-BG,Mundipharma,NA,NA,industry,accepted
2009-017228-24-ES,Instituto Cientfico y Tecnolgico de Navarra,NA,NA,unknown,accepted
2009-017229-20-PL,KRKA,NA,NA,industry,accepted
2009-017234-51-DE,Novartis,Novartis,Novartis,industry,accepted
2009-017237-22-BE,Janssen-Cilag International,Johnson & Johnson,Janssen / Johnson & Johnson,industry,accepted
2009-017238-39-BE,Impax Laboratories,NA,NA,industry,accepted
2009-017240-14-ES,ASOCIACIN GALLEGA DE ENFERMEDAD INFLAMATORIA INTESTITAL E.I.G.A.,NA,NA,unknown,accepted
2009-017241-55-IT,IRCCS Burlo Garofolo,NA,NA,unknown,accepted
2009-017242-30-BE,AstraZeneca,AstraZeneca,AstraZeneca,industry,accepted
2009-017245-64-GB,The Leeds Teaching Hospitals NHS Trust,NA,NA,hospital,accepted
2009-017247-33-ES,Fundació Clínic per a la Recerca Biomèdica,NA,NA,hospital,accepted
2009-017248-14-BE,Bioprojet,NA,NA,industry,accepted
2009-017251-94-BE,Bioprojet,NA,NA,industry,accepted
2009-017253-35-GB,Oxford BioMedica,NA,NA,industry,accepted
2009-017256-27-ES,Vall D'hebron Institut De Recerca,NA,NA,hospital,accepted
2009-017257-35-DE,Revotar Biopharmaceuticals,NA,NA,industry,accepted
2009-017259-91-CZ,University Hospital Motol,NA,NA,hospital,accepted
2009-017260-16-ES,Consorci Mar Parc de Salut de Barcelona,NA,NA,unknown,accepted
2009-017261-32-DE,Medizinische Fakultät der Martin-Luther-Universität Halle-Wittenberg,NA,NA,unknown,accepted
2009-017265-33-BE,Universitair Ziekenhuis Gent,University Hospital Ghent,University Hospital Ghent,hospital,accepted
2009-017266-23-EE,"Forest Research Institute, Inc.",NA,NA,industry,accepted
2009-017267-41-DE,Novartis,Novartis,Novartis,industry,accepted
2009-017269-49-FR,Institut Curie,Institut Curie,Institut Curie,unknown,accepted
2009-017270-21-DE,Sanofi,Sanofi,Sanofi,industry,accepted
2009-017271-17-BG,Janssen-Cilag International,Johnson & Johnson,Janssen / Johnson & Johnson,industry,accepted
2009-017272-24-BE,Schering-Plough,Merck & Co.,MSD / Merck & Co.,industry,accepted
2009-017273-38-ES,Manuel Praga Terente,NA,NA,unknown,accepted
2009-017274-20-FR,CHU de Grenoble,NA,NA,unknown,accepted
2009-017279-77-BE,LYSARC,LYSARC,LYSARC,unknown,accepted
2009-017282-35-GB,GSK,GSK,GSK,industry,accepted
2009-017288-40-NL,Schering-Plough,Merck & Co.,MSD / Merck & Co.,industry,accepted
2009-017293-20-FR,AP-HP,NA,NA,unknown,accepted
2009-017295-24-CZ,University Hospital Motol,NA,NA,hospital,accepted
2009-017296-17-GB,Statens Serum Institut,NA,NA,unknown,accepted
2009-017301-11-BG,CSL Behring,CSL Behring,CSL Behring,industry,accepted
2009-017306-36-NL,NA,NA,NA,unknown,review
2009-017308-10-FI,Heli Stil,NA,NA,unknown,accepted
2009-017309-12-ES,Fundacin Espaola de Reumatologa Fer,NA,NA,unknown,accepted
2009-017311-15-BE,Novartis,Novartis,Novartis,industry,accepted
2009-017313-30-AT,Bayer,Bayer,Bayer,industry,accepted
2009-017314-76-FR,Institut de Cardiologie de Montral,NA,NA,unknown,accepted
2009-017315-15-NL,Erasmus MC,Erasmus MC,Erasmus MC,unknown,accepted
2009-017317-30-IT,Fondazione Santa Lucia,NA,NA,foundation,accepted
2009-017319-13-BE,Alcon,NA,NA,industry,accepted
2009-017324-11-DE,University Medical Center Göttingen,NA,NA,unknown,accepted
2009-017325-19-FI,Helsingin reumakeskus,NA,NA,unknown,accepted
2009-017326-39-BE,UZ Leuven,UZ Leuven,UZ Leuven,hospital,accepted
2009-017328-25-DE,Heidelberg University Hospital,NA,NA,hospital,accepted
2009-017329-20-DE,Royal Group Hospitals Trust,NA,NA,hospital,accepted
2009-017331-18-ES,GEMCAD,NA,NA,unknown,accepted
2009-017332-41-ES,Wyeth,Pfizer,Pfizer,industry,accepted
2009-017336-40-DE,Boehringer Ingelheim,Boehringer Ingelheim,Boehringer Ingelheim,industry,accepted
2009-017340-14-GB,University Hospital Southampton NHS Foundation Trust,NA,NA,hospital,accepted
2009-017346-32-IT,Fondazione Telethon,NA,NA,foundation,accepted
2009-017347-33-DE,Leipzig University,NA,NA,unknown,accepted
2009-017350-13-BE,NA,NA,NA,hospital,review
2009-017351-96-BE,UZ Leuven,UZ Leuven,UZ Leuven,unknown,accepted
2009-017353-36-ES,Jon Perez Barcena,NA,NA,unknown,accepted
2009-017354-12-CZ,Pfizer,Pfizer,Pfizer,industry,accepted
2009-017356-28-GB,University Of Dundee,NA,NA,unknown,accepted
2009-017357-35-IT,Fondazione Paolo Procacci ONLUS,NA,NA,foundation,accepted
2009-017358-10-CZ,AstraZeneca,AstraZeneca,AstraZeneca,industry,accepted
2009-017359-92-BE,Clinuvel Pharmaceuticals,NA,NA,industry,accepted
2009-017363-42-ES,IMETISA,NA,NA,unknown,accepted
2009-017365-36-AT,GANYMED Pharmaceuticals,NA,NA,industry,accepted
2009-017369-47-GB,Cardiff and Vale NHS Trust,NA,NA,hospital,accepted
2009-017374-20-DE,"Institute of Tropical Medicine, Antwerp",NA,NA,unknown,accepted
2009-017376-25-BE,GSK,GSK,GSK,industry,accepted
