raw_sponsor,sponsor_clean,sponsor_parent,sponsor_group,sponsor_type,match_status,match_score,match_source,match_reason,suggested_clean,n_trials
Cellaïon SA,Cellaïon,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'cellaion sa' → 'Cellaïon',Cellaïon,2
4moving Biotech,4moving Biotech,NA,NA,unknown,accepted,99,llm_reviewed,alias match: '4moving biotech' → '4moving Biotech',4moving Biotech,2
Oslo University Hospital Hf / Oslo University Hospital Hf,Oslo University Hospital,NA,NA,hospital,accepted,95,final_family_map,entity-family match: oslo hospital → 'Oslo University Hospital',Oslo University Hospital,2
Priovant Therapeutics Inc.,Priovant Therapeutics,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'priovant therapeutics inc' → 'Priovant Therapeutics',Priovant Therapeutics,2
Gcp-Service International West GmbH,Gcp-Service International West,NA,NA,NA,accepted,94,ctis_businesskey,alias match: 'gcp-service international west gmbh' → 'Gcp-Service International West',Gcp-Service International West,2
Pentixapharm AG,PentixaPharm,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'pentixapharm ag' → 'PentixaPharm',PentixaPharm,2
Fondazione IRCCS Istituto Nazionale Dei Tumori / Fondazione IRCCS Istituto Nazionale Dei Tumori,IRCCS Istituto Nazionale dei Tumori,NA,NA,foundation,accepted,99,llm_reviewed,alias match: 'fondazione irccs istituto nazionale dei tumori / fondazione irccs istituto nazionale dei tumori' → 'IRCCS Istituto Nazionale dei Tumori',IRCCS Istituto Nazionale dei Tumori,2
Engrail Therapeutics Inc.,Engrail Therapeutics,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'engrail therapeutics inc' → 'Engrail Therapeutics',Engrail Therapeutics,2
Gentofte Hospital / Frederiksberg Hospital,Gentofte Hospital / Frederiksberg Hospital,NA,NA,hospital,accepted,99,llm_reviewed,alias match: 'gentofte hospital / frederiksberg hospital' → 'Gentofte Hospital / Frederiksberg Hospital',Gentofte Hospital / Frederiksberg Hospital,2
Macrogenics Inc.,MacroGenics,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'macrogenics inc' → 'MacroGenics',MacroGenics,2
University Of Oxford,University Of Oxford,NA,NA,academic,accepted,95,final_family_map,entity-family match: oxford university → 'University Of Oxford',University Of Oxford,2
Sparingvision,Sparingvision,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'sparingvision' → 'Sparingvision',Sparingvision,2
Cr2o B.V.,Cr2o,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'cr2o b v' → 'Cr2o',Cr2o,2
Servier Affaires Medicales,Servier,Servier,Servier,industry,accepted,98,manual,alias match: 'servier' → 'Servier',Servier,2
Leap Therapeutics Inc.,Leap Therapeutics,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'leap therapeutics inc' → 'Leap Therapeutics',Leap Therapeutics,2
Ziekenhuis Aan De Stroom,Ziekenhuis Aan De Stroom,NA,NA,hospital,accepted,99,llm_reviewed,alias match: 'ziekenhuis aan de stroom' → 'Ziekenhuis Aan De Stroom',Ziekenhuis Aan De Stroom,2
GlaxoSmithKline Biologicals / GlaxoSmithKline Biologicals,GSK,GSK,GSK,industry,accepted,96,manual,alias match: 'glaxosmithkline' → 'GSK',GSK,2
Cellectis,Cellectis,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'cellectis' → 'Cellectis',Cellectis,2
Centre Hospitalier Regional Universitaire De Nancy,Centre Hospitalier Régional et Universitaire,NA,NA,hospital,accepted,95,final_family_map,entity-family match: hospitalier regional nancy university → 'Centre Hospitalier Régional et Universitaire',Centre Hospitalier Régional et Universitaire,2
Sorlandet Sykehus HF,Sørlandet Sykehus HF,NA,NA,hospital,accepted,99,manual,alias match: 'sorlandet sykehus hf' → 'Sørlandet Sykehus HF',Sørlandet Sykehus HF,2
