"register","raw","normalised","n_trials","changed"
"EUCTR","100000004865","Surgical and medical procedures",98,TRUE
"EUCTR","100000004864 / 10029104 - Neoplasms benign, malignant and unspecified incl cysts and polyps","Neoplasms benign, malignant and unspecified (incl cysts and polyps)",89,TRUE
"EUCTR","100000004851","Blood and lymphatic system disorders",80,TRUE
"EUCTR","10005329 - Blood and lymphatic system disorders","Blood and lymphatic system disorders",76,TRUE
"EUCTR","10014698 - Endocrine disorders","Endocrine disorders",71,TRUE
"EUCTR","100000004873","Psychiatric disorders",58,TRUE
"EUCTR","100000004853","Eye disorders",57,TRUE
"EUCTR","100000004857","Renal and urinary disorders",53,TRUE
"EUCTR","100000004866","Vascular disorders",51,TRUE
"EUCTR","10047065 - Vascular disorders","Vascular disorders",50,TRUE
"EUCTR","10021428 - Immune system disorders","Immune system disorders",48,TRUE
"EUCTR","10019805 - Hepatobiliary disorders","Hepatobiliary disorders",46,TRUE
"EUCTR","100000004848","Investigations",43,TRUE
"EUCTR","10022891 - Investigations","Investigations",37,TRUE
"EUCTR","100000004870","Immune system disorders",36,TRUE
"EUCTR","10038604 - Reproductive system and breast disorders","Reproductive system and breast disorders",35,TRUE
"EUCTR","100000004871","Hepatobiliary disorders",28,TRUE
"EUCTR","10022117 - Injury, poisoning and procedural complications","Injury, poisoning and procedural complications",28,TRUE
"EUCTR","100000004863","Injury, poisoning and procedural complications",23,TRUE
"EUCTR","100000004872","Reproductive system and breast disorders",21,TRUE
"EUCTR","100000004860","Endocrine disorders",20,TRUE
"EUCTR","100000004851 / 10029104 - Neoplasms benign, malignant and unspecified incl cysts and polyps","Blood and lymphatic system disorders / Neoplasms benign, malignant and unspecified (incl cysts and polyps)",18,TRUE
"EUCTR","10036585 - Pregnancy, puerperium and perinatal conditions","Pregnancy, puerperium and perinatal conditions",18,TRUE
"EUCTR","100000004856 / 10017947 - Gastrointestinal disorders","Gastrointestinal disorders",16,TRUE
"EUCTR","100000004850 / 10010331 - Congenital, familial and genetic disorders","Congenital, familial and genetic disorders",15,TRUE
"EUCTR","100000004852 / 10029205 - Nervous system disorders","Nervous system disorders",14,TRUE
"EUCTR","100000004862 / 10021881 - Infections and infestations","Infections and infestations",13,TRUE
"EUCTR","10018065 - General disorders and administration site conditions","General disorders and administration site conditions",12,TRUE
"EUCTR","100000004859 / 10028395 - Musculoskeletal and connective tissue disorders","Musculoskeletal and connective tissue disorders",11,TRUE
"EUCTR","100000004855 / 10038738 - Respiratory, thoracic and mediastinal disorders","Respiratory, thoracic and mediastinal disorders",10,TRUE
"EUCTR","100000004867","General disorders and administration site conditions",10,TRUE
"EUCTR","100000004868","Pregnancy, puerperium and perinatal conditions",10,TRUE
"EUCTR","10005329 - Blood and lymphatic system disorders / 10029104 - Neoplasms benign, malignant and unspecified incl cysts and polyps","Blood and lymphatic system disorders / Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10,TRUE
"EUCTR","100000004851 / 100000004864","Blood and lymphatic system disorders / Neoplasms benign, malignant and unspecified (incl cysts and polyps)",9,TRUE
"EUCTR","100000004864 / 10005329 - Blood and lymphatic system disorders","Neoplasms benign, malignant and unspecified (incl cysts and polyps) / Blood and lymphatic system disorders",9,TRUE
"EUCTR","10013993 - Ear and labyrinth disorders","Ear and labyrinth disorders",9,TRUE
"EUCTR","10021881 - Infections and infestations / 10022891 - Investigations","Infections and infestations / Investigations",9,TRUE
"EUCTR","10010331 - Congenital, familial and genetic disorders / 10027433 - Metabolism and nutrition disorders","Congenital, familial and genetic disorders / Metabolism and nutrition disorders",7,TRUE
"EUCTR","100000004861 / 10027433 - Metabolism and nutrition disorders","Metabolism and nutrition disorders",6,TRUE
"EUCTR","10014698 - Endocrine disorders / 10027433 - Metabolism and nutrition disorders","Endocrine disorders / Metabolism and nutrition disorders",6,TRUE
"EUCTR","10021881 - Infections and infestations / 10042613 - Surgical and medical procedures","Infections and infestations / Surgical and medical procedures",6,TRUE
"EUCTR","10022891 - Investigations / 10029104 - Neoplasms benign, malignant and unspecified incl cysts and polyps","Investigations / Neoplasms benign, malignant and unspecified (incl cysts and polyps)",6,TRUE
"EUCTR","100000004857 / 10038359 - Renal and urinary disorders","Renal and urinary disorders",5,TRUE
"EUCTR","100000004858 / 10040785 - Skin and subcutaneous tissue disorders","Skin and subcutaneous tissue disorders",5,TRUE
"EUCTR","100000004871 / 10019805 - Hepatobiliary disorders","Hepatobiliary disorders",5,TRUE
"EUCTR","10027433 - Metabolism and nutrition disorders / 10038359 - Renal and urinary disorders","Metabolism and nutrition disorders / Renal and urinary disorders",5,TRUE
"EUCTR","100000004848 / 100000004862","Investigations / Infections and infestations",4,TRUE
"EUCTR","100000004853 / 100000004855 / 100000004870","Eye disorders / Respiratory, thoracic and mediastinal disorders / Immune system disorders",4,TRUE
"EUCTR","100000004862 / 10038738 - Respiratory, thoracic and mediastinal disorders","Infections and infestations / Respiratory, thoracic and mediastinal disorders",4,TRUE
"EUCTR","100000004863 / 100000004865","Injury, poisoning and procedural complications / Surgical and medical procedures",4,TRUE
"EUCTR","100000004864 / 100000004872","Neoplasms benign, malignant and unspecified (incl cysts and polyps) / Reproductive system and breast disorders",4,TRUE
"EUCTR","100000004865 / 10029104 - Neoplasms benign, malignant and unspecified incl cysts and polyps","Surgical and medical procedures / Neoplasms benign, malignant and unspecified (incl cysts and polyps)",4,TRUE
"EUCTR","100000004873 / 10037175 - Psychiatric disorders","Psychiatric disorders",4,TRUE
"EUCTR","10010331 - Congenital, familial and genetic disorders / 10029205 - Nervous system disorders","Congenital, familial and genetic disorders / Nervous system disorders",4,TRUE
"EUCTR","10029104 - Neoplasms benign, malignant and unspecified incl cysts and polyps / 10042613 - Surgical and medical procedures","Neoplasms benign, malignant and unspecified (incl cysts and polyps) / Surgical and medical procedures",4,TRUE
"EUCTR","100000004851 / 100000004857","Blood and lymphatic system disorders / Renal and urinary disorders",3,TRUE
"EUCTR","100000004853 / 10015919 - Eye disorders","Eye disorders",3,TRUE
"EUCTR","100000004854","Ear and labyrinth disorders",3,TRUE
"EUCTR","100000004857 / 10027433 - Metabolism and nutrition disorders","Renal and urinary disorders / Metabolism and nutrition disorders",3,TRUE
"EUCTR","100000004861 / 100000072461","Metabolism and nutrition disorders",3,TRUE
"EUCTR","100000004862 / 10022891 - Investigations","Infections and infestations / Investigations",3,TRUE
"EUCTR","100000004863 / 100000004866","Injury, poisoning and procedural complications / Vascular disorders",3,TRUE
"EUCTR","100000004864 / 100000054086","Neoplasms benign, malignant and unspecified (incl cysts and polyps)",3,TRUE
"EUCTR","100000004866 / 100000022953","Vascular disorders",3,TRUE
"EUCTR","10005329 - Blood and lymphatic system disorders / 10038359 - Renal and urinary disorders","Blood and lymphatic system disorders / Renal and urinary disorders",3,TRUE
"EUCTR","10007541 - Cardiac disorders / 10010331 - Congenital, familial and genetic disorders","Cardiac disorders / Congenital, familial and genetic disorders",3,TRUE
"EUCTR","10007541 - Cardiac disorders / 10042613 - Surgical and medical procedures","Cardiac disorders / Surgical and medical procedures",3,TRUE
"EUCTR","10021881 - Infections and infestations / 10038738 - Respiratory, thoracic and mediastinal disorders","Infections and infestations / Respiratory, thoracic and mediastinal disorders",3,TRUE
"EUCTR","10038738 - Respiratory, thoracic and mediastinal disorders / 10047065 - Vascular disorders","Respiratory, thoracic and mediastinal disorders / Vascular disorders",3,TRUE
"EUCTR","100000004848 / 10022891 - Investigations","Investigations",2,TRUE
"EUCTR","100000004849 / 100000004851","Cardiac disorders / Blood and lymphatic system disorders",2,TRUE
"EUCTR","100000004849 / 100000004861","Cardiac disorders / Metabolism and nutrition disorders",2,TRUE
"EUCTR","100000004849 / 10007541 - Cardiac disorders","Cardiac disorders",2,TRUE
"EUCTR","100000004849 / 10027433 - Metabolism and nutrition disorders","Cardiac disorders / Metabolism and nutrition disorders",2,TRUE
"EUCTR","100000004849 / 10038738 - Respiratory, thoracic and mediastinal disorders","Cardiac disorders / Respiratory, thoracic and mediastinal disorders",2,TRUE
"EUCTR","100000004850 / 100000004861 / 100000004866","Congenital, familial and genetic disorders / Metabolism and nutrition disorders / Vascular disorders",2,TRUE
"EUCTR","100000004850 / 10027433 - Metabolism and nutrition disorders","Congenital, familial and genetic disorders / Metabolism and nutrition disorders",2,TRUE
"EUCTR","100000004850 / 10029205 - Nervous system disorders","Congenital, familial and genetic disorders / Nervous system disorders",2,TRUE
"EUCTR","100000004851 / 100000004864 / 10029104 - Neoplasms benign, malignant and unspecified incl cysts and polyps","Blood and lymphatic system disorders / Neoplasms benign, malignant and unspecified (incl cysts and polyps)",2,TRUE
"EUCTR","100000004851 / 10038359 - Renal and urinary disorders","Blood and lymphatic system disorders / Renal and urinary disorders",2,TRUE
