"canonical_suggestion","sponsor_a","sponsor_b","n_a","n_b","total_n","similarity_score","token_overlap","key_a","key_b","informative_common","suggested_pattern","suggested_match_type","approved","notes"
"Centre Hospitalier Universitaire Amiens Picardie","Centre Hospitalier Universitaire Amiens Picardie","Centre Hospitalier Universitaire De Caen Normandie",24,8,32,0.8,0.6,"center hospitalier university amiens picardie","center hospitalier university caen normandie","hospitalier","Centre Hospitalier Universitaire De Caen Normandie","exact",FALSE,""
"Centre Hospitalier Universitaire Amiens Picardie","Centre Hospitalier Universitaire Amiens Picardie","Centre Hospitalier Universitaire De Poitiers",24,8,32,0.733,0.75,"center hospitalier university amiens picardie","center hospitalier university poitiers","hospitalier","Centre Hospitalier Universitaire De Poitiers","exact",FALSE,""
"Taiho","Taiho","Taiho Usa",27,5,32,0.556,1,"taiho","taiho usa","taiho","Taiho Usa","exact",FALSE,""
"The Medicines Company","The Medicines Company","Blueprint Medicines",20,12,32,0.474,1,"medicines","blueprint medicines","medicines","Blueprint Medicines","exact",FALSE,""
"Cancer","Cancer","Cancer Trials",17,15,32,0.462,1,"cancer","cancer trials","cancer","Cancer Trials","exact",FALSE,""
"Fundacin Progreso Y Salud","Fundacin Progreso Y Salud","Fundacin Pblica Andaluza Para La Investigacin De Mlaga En Biomedicina Y Salud Fimabis",24,8,32,0.278,0.75,"fundacin progreso y salud","fundacin pblica andaluza para investigacin mlaga en biomedicina y salud fimabis","fundacin / y / salud","Fundacin Pblica Andaluza Para La Investigacin De Mlaga En Biomedicina Y Salud Fimabis","exact",FALSE,""
"Universittsklinikum Mnster","Universittsklinikum Mnster","Universittsklinikum Ulm",16,15,31,0.769,0.5,"universittsklinikum mnster","universittsklinikum ulm","universittsklinikum","Universittsklinikum Ulm","exact",FALSE,""
"Universitaetsklinikum Tuebingen Aör","Universitaetsklinikum Tuebingen Aör","Universitaetsklinikum Ulm Aör",25,6,31,0.765,0.667,"universitaetsklinikum tuebingen or","universitaetsklinikum ulm or","universitaetsklinikum / or","Universitaetsklinikum Ulm Aör","exact",FALSE,""
"Central Manchester University Hospitals Nhs Foundation Trust","Central Manchester University Hospitals Nhs Foundation Trust","University Hospital Of South Manchester Nhs Foundation Trust",24,7,31,0.158,0.75,"central manchester university hospital","university hospital south manchester","manchester","University Hospital Of South Manchester Nhs Foundation Trust","exact",FALSE,""
"Frankfurter Institut Fuer Klinische Krebsforschung Ikf","Frankfurter Institut Fuer Klinische Krebsforschung Ikf","Institut Fuer Klinische Krebsforschung Ikf",23,7,30,0.778,1,"frankfurter institut fuer klinische krebsforschung ikf","institut fuer klinische krebsforschung ikf","fuer / klinische / krebsforschung / ikf","Institut Fuer Klinische Krebsforschung Ikf","exact",FALSE,""
"Centre Hospitalier Universitaire Amiens Picardie","Centre Hospitalier Universitaire Amiens Picardie","Centre Hospitalier Universitaire De Besanon",24,6,30,0.733,0.75,"center hospitalier university amiens picardie","center hospitalier university besanon","hospitalier","Centre Hospitalier Universitaire De Besanon","exact",FALSE,""
"Centre Hospitalier Universitaire Amiens Picardie","Centre Hospitalier Universitaire Amiens Picardie","Centre Hospitalier Universitaire De Nancy",24,6,30,0.711,0.75,"center hospitalier university amiens picardie","center hospitalier university nancy","hospitalier","Centre Hospitalier Universitaire De Nancy","exact",FALSE,""
"Centre Hospitalier Universitaire Amiens Picardie","Centre Hospitalier Universitaire Amiens Picardie","Centre Hospitalier Universitaire De Reims",24,6,30,0.711,0.75,"center hospitalier university amiens picardie","center hospitalier university reims","hospitalier","Centre Hospitalier Universitaire De Reims","exact",FALSE,""
"Centre Hospitalier Universitaire Amiens Picardie","Centre Hospitalier Universitaire Amiens Picardie","Centre Hospitalier Universitaire Brugmann",24,6,30,0.689,0.75,"center hospitalier university amiens picardie","center hospitalier university brugmann","hospitalier","Centre Hospitalier Universitaire Brugmann","exact",FALSE,""
"The Medicines Company","The Medicines Company","Revolution Medicines",20,10,30,0.45,1,"medicines","revolution medicines","medicines","Revolution Medicines","exact",FALSE,""
"AZIENDA OSPEDALIERO UNIVERSITARIA OSPEDALI RIUNITI UMBERTO I - G.M.LANCISI - G.SALESI","AZIENDA OSPEDALIERO UNIVERSITARIA OSPEDALI RIUNITI UMBERTO I - G.M.LANCISI - G.SALESI","Azienda Ospedaliero Universitaria Di Modena",17,12,29,0.469,0.75,"azienda ospedaliero universitaria ospedali riuniti umberto i g m lancisi g salesi","azienda ospedaliero universitaria modena","universitaria","Azienda Ospedaliero Universitaria Di Modena","exact",FALSE,""
"The Medicines Company","The Medicines Company","Praxis Precision Medicines",20,8,28,0.346,1,"medicines","praxis precision medicines","medicines","Praxis Precision Medicines","exact",FALSE,""
"Cancer","Cancer","Breast Cancer Study Ibcsg",17,11,28,0.24,1,"cancer","breast cancer study ibcsg","cancer","Breast Cancer Study Ibcsg","exact",FALSE,""
"Cancer","Cancer","Institut Regional Du Cancer De Montpellier",17,11,28,0.154,1,"cancer","institut regional du cancer montpellier","cancer","Institut Regional Du Cancer De Montpellier","exact",FALSE,""
"Cancer","Cancer","Abcsg Austrian Breast Colorectal Cancer Study",17,11,28,0.133,1,"cancer","abcsg austrian breast colorectal cancer study","cancer","Abcsg Austrian Breast Colorectal Cancer Study","exact",FALSE,""
"Universita Degli Studi Di Napoli Federico Ii","Universita Degli Studi Di Napoli Federico Ii","Universita Degli Studi Di Udine",18,9,27,0.61,0.75,"university degli studi napoli federico ii","university degli studi udine","degli / studi","Universita Degli Studi Di Udine","exact",FALSE,""
"Region Ostergotland","Region Ostergotland","Region Stergtland",16,10,26,0.895,0.5,"region ostergotland","region stergtland","region","Region Stergtland","exact",FALSE,""
"Instituto De Investigacin Sanitaria La Fe","Instituto De Investigacin Sanitaria La Fe","Instituto De Investigacin Sanitaria Incliva",19,7,26,0.825,0.75,"instituto investigacin sanitaria fe","instituto investigacin sanitaria incliva","instituto / investigacin / sanitaria","Instituto De Investigacin Sanitaria Incliva","exact",FALSE,""
"Universittsklinikum Mnster","Universittsklinikum Mnster","Universittsklinikum Tbingen",16,10,26,0.778,0.5,"universittsklinikum mnster","universittsklinikum tbingen","universittsklinikum","Universittsklinikum Tbingen","exact",FALSE,""
"Centre Hospitalier Regional Et Universitaire De Brest","Centre Hospitalier Regional Et Universitaire De Brest","Centre Hospitalier Universitaire De Liege",16,10,26,0.66,0.75,"center hospitalier regional et university brest","center hospitalier university liege","hospitalier","Centre Hospitalier Universitaire De Liege","exact",FALSE,""
"AZIENDA OSPEDALIERO UNIVERSITARIA OSPEDALI RIUNITI UMBERTO I - G.M.LANCISI - G.SALESI","AZIENDA OSPEDALIERO UNIVERSITARIA OSPEDALI RIUNITI UMBERTO I - G.M.LANCISI - G.SALESI","Azienda Ospedaliero Universitaria Di Cagliari",17,9,26,0.494,0.75,"azienda ospedaliero universitaria ospedali riuniti umberto i g m lancisi g salesi","azienda ospedaliero universitaria cagliari","universitaria","Azienda Ospedaliero Universitaria Di Cagliari","exact",FALSE,""
"Cancer","Cancer","Cancer Institute",17,9,26,0.375,1,"cancer","cancer institute","cancer","Cancer Institute","exact",FALSE,""
"Azienda Ospedaliera Universitaria Careggi","Azienda Ospedaliera Universitaria Careggi","Azienda Ospedaliero Universitaria Di Modena",13,12,25,0.829,0.5,"azienda ospedaliera universitaria careggi","azienda ospedaliero universitaria modena","universitaria","Azienda Ospedaliero Universitaria Di Modena","exact",FALSE,""
"University Of Manchester","University Of Manchester","University Hospital Of South Manchester Nhs Foundation Trust",18,7,25,0.583,1,"university manchester","university hospital south manchester","manchester","University Hospital Of South Manchester Nhs Foundation Trust","exact",FALSE,""
"Cancer","Cancer","The Clatterbridge Cancer Centre Nhs Foundation Trust",17,8,25,0.222,1,"cancer","clatterbridge cancer center","cancer","The Clatterbridge Cancer Centre Nhs Foundation Trust","exact",FALSE,""
"Karolinska Universitetssjukhuset","Karolinska Universitetssjukhuset","Sahlgrenska Universitetssjukhuset",19,5,24,0.818,0.5,"karolinska universitetssjukhuset","sahlgrenska universitetssjukhuset","universitetssjukhuset","Sahlgrenska Universitetssjukhuset","exact",FALSE,""
"Universita Degli Studi Di Napoli Federico Ii","Universita Degli Studi Di Napoli Federico Ii","Universita' Degli Studi Di Torino",18,6,24,0.659,0.75,"university degli studi napoli federico ii","university degli studi torino","degli / studi","Universita' Degli Studi Di Torino","exact",FALSE,""
"Centre Hospitalier Regional Et Universitaire De Brest","Centre Hospitalier Regional Et Universitaire De Brest","Centre Hospitalier Universitaire De Poitiers",16,8,24,0.596,0.75,"center hospitalier regional et university brest","center hospitalier university poitiers","hospitalier","Centre Hospitalier Universitaire De Poitiers","exact",FALSE,""
"Cancer","Cancer","Center For Cancer Immune Therapy",17,7,24,0.214,1,"cancer","center cancer immune therapy","cancer","Center For Cancer Immune Therapy","exact",FALSE,""
"AZIENDA OSPEDALIERO UNIVERSITARIA OSPEDALI RIUNITI UMBERTO I - G.M.LANCISI - G.SALESI","AZIENDA OSPEDALIERO UNIVERSITARIA OSPEDALI RIUNITI UMBERTO I - G.M.LANCISI - G.SALESI","Azienda Ospedaliero Universitaria Pisana",17,6,23,0.481,0.75,"azienda ospedaliero universitaria ospedali riuniti umberto i g m lancisi g salesi","azienda ospedaliero universitaria pisana","universitaria","Azienda Ospedaliero Universitaria Pisana","exact",FALSE,""
"Fondazione Gimema Franco Mandelli Onlus","Fondazione Gimema Franco Mandelli Onlus","Fondazione Gimema Gruppo Italiano Malattie Ematologiche Dell Adulto Franco Mandelli Onlus",14,9,23,0.438,1,"fondazione gimema franco mandelli onlus","fondazione gimema gruppo italiano malattie ematologiche dell adulto franco mandelli onlus","gimema / franco / mandelli / onlus","Fondazione Gimema Gruppo Italiano Malattie Ematologiche Dell Adulto Franco Mandelli Onlus","exact",FALSE,""
"Cancer","Cancer","Institute Of Cancer",17,6,23,0.375,1,"cancer","institute cancer","cancer","Institute Of Cancer","exact",FALSE,""
"Cancer","Cancer","Europese Organisatie Voor Onderzoek En Behandeling Van Kanker Organisation Europeenne Pour La Recherche Et Le Traitement Du Cancer Organi",17,6,23,0.046,1,"cancer","europese organisatie voor onderzoek en behandeling van kanker organisation europeenne pour recherche et traitement du cancer organi","cancer","Europese Organisatie Voor Onderzoek En Behandeling Van Kanker Organisation Europeenne Pour La Recherche Et Le Traitement Du Cancer Organi","exact",FALSE,""
"Azienda Ospedaliera Universitaria Careggi","Azienda Ospedaliera Universitaria Careggi","Azienda Ospedaliero Universitaria Di Cagliari",13,9,22,0.857,0.5,"azienda ospedaliera universitaria careggi","azienda ospedaliero universitaria cagliari","universitaria","Azienda Ospedaliero Universitaria Di Cagliari","exact",FALSE,""
"Universittsklinikum Mnster","Universittsklinikum Mnster","Universittsklinikum Wrzburg",16,6,22,0.778,0.5,"universittsklinikum mnster","universittsklinikum wrzburg","universittsklinikum","Universittsklinikum Wrzburg","exact",FALSE,""
"Centre Hospitalier Regional Et Universitaire De Brest","Centre Hospitalier Regional Et Universitaire De Brest","Centre Hospitalier Universitaire De Reims",16,6,22,0.66,0.75,"center hospitalier regional et university brest","center hospitalier university reims","hospitalier","Centre Hospitalier Universitaire De Reims","exact",FALSE,""
"Centre Hospitalier Regional Et Universitaire De Brest","Centre Hospitalier Regional Et Universitaire De Brest","Centre Hospitalier Universitaire De Besanon",16,6,22,0.638,0.75,"center hospitalier regional et university brest","center hospitalier university besanon","hospitalier","Centre Hospitalier Universitaire De Besanon","exact",FALSE,""
"Centre Hospitalier Regional Et Universitaire De Brest","Centre Hospitalier Regional Et Universitaire De Brest","Centre Hospitalier Universitaire De Nancy",16,6,22,0.638,0.75,"center hospitalier regional et university brest","center hospitalier university nancy","hospitalier","Centre Hospitalier Universitaire De Nancy","exact",FALSE,""
"Centre Hospitalier Regional Et Universitaire De Brest","Centre Hospitalier Regional Et Universitaire De Brest","Centre Hospitalier Universitaire Brugmann",16,6,22,0.617,0.75,"center hospitalier regional et university brest","center hospitalier university brugmann","hospitalier","Centre Hospitalier Universitaire Brugmann","exact",FALSE,""
"Oulu University Hospital","Oulu University Hospital","University Of Oulu",14,8,22,0.5,1,"oulu university hospital","university oulu","oulu","University Of Oulu","exact",FALSE,""
"University Of Tartu","University Of Tartu","Tartu University Hospital",12,10,22,0.48,1,"university tartu","tartu university hospital","tartu","Tartu University Hospital","exact",FALSE,""
"Abcsg Austrian Breast Colorectal Cancer Study","Abcsg Austrian Breast Colorectal Cancer Study","Breast Cancer Study Ibcsg",11,11,22,0.289,0.75,"abcsg austrian breast colorectal cancer study","breast cancer study ibcsg","breast / cancer / study","Breast Cancer Study Ibcsg","exact",FALSE,""
"Cancer","Cancer","Ludwig Institute For Cancer",17,5,22,0.261,1,"cancer","ludwig institute cancer","cancer","Ludwig Institute For Cancer","exact",FALSE,""
"Cancer","Cancer","Fdration Nationale Des Centres De Lutte Contre Le Cancer",17,5,22,0.12,1,"cancer","fdration nationale des centres lutte contre cancer","cancer","Fdration Nationale Des Centres De Lutte Contre Le Cancer","exact",FALSE,""
"Azienda Ospedaliero Universitaria Di Modena","Azienda Ospedaliero Universitaria Di Modena","Azienda Ospedaliero Universitaria Di Cagliari",12,9,21,0.833,0.75,"azienda ospedaliero universitaria modena","azienda ospedaliero universitaria cagliari","universitaria","Azienda Ospedaliero Universitaria Di Cagliari","exact",FALSE,""
"Universittsklinikum Ulm","Universittsklinikum Ulm","Universitaetsklinikum Ulm Aör",15,6,21,0.821,0.5,"universittsklinikum ulm","universitaetsklinikum ulm or","ulm","Universitaetsklinikum Ulm Aör","exact",FALSE,""
"Laboratorios Alter","Laboratorios Alter","Laboratorios Salvat",13,8,21,0.789,0.5,"laboratorios alter","laboratorios salvat","laboratorios","Laboratorios Salvat","exact",FALSE,""
"Universittsklinikum Ulm","Universittsklinikum Ulm","Universittsklinikum Wrzburg",15,6,21,0.778,0.5,"universittsklinikum ulm","universittsklinikum wrzburg","universittsklinikum","Universittsklinikum Wrzburg","exact",FALSE,""
"Hal Allergy","Hal Allergy","Allergy",14,7,21,0.636,1,"hal allergy","allergy","allergy","Allergy","exact",FALSE,""
"Fundacin Para La Investigacin Biomdica Del Hospital Universitario La Paz","Fundacin Para La Investigacin Biomdica Del Hospital Universitario La Paz","Fundacin Para La Investigacin Biomdica Del Hospital Gregorio Maran",11,9,20,0.797,0.714,"fundacin para investigacin biomdica hospital university paz","fundacin para investigacin biomdica hospital gregorio maran","fundacin / para / investigacin / biomdica","Fundacin Para La Investigacin Biomdica Del Hospital Gregorio Maran","exact",FALSE,""
"Fundacin Pblica Andaluza Para La Gestin De La Investigacin En Salud De Sevilla Fisevi","Fundacin Pblica Andaluza Para La Gestin De La Investigacin En Salud De Sevilla Fisevi","Fundacin Pblica Andaluza Para La Investigacin De Mlaga En Biomedicina Y Salud Fimabis",12,8,20,0.582,0.7,"fundacin pblica andaluza para gestin investigacin en salud sevilla fisevi","fundacin pblica andaluza para investigacin mlaga en biomedicina y salud fimabis","fundacin / pblica / andaluza / para / investigacin / en / salud","Fundacin Pblica Andaluza Para La Investigacin De Mlaga En Biomedicina Y Salud Fimabis","exact",FALSE,""
"Grupo Espaol De Investigacin En Sarcomas","Grupo Espaol De Investigacin En Sarcomas","Geicam Fundacin Grupo Espaol De Investigacin En Cncer De Mama",11,9,20,0.564,0.8,"grupo espaol investigacin en sarcomas","geicam fundacin grupo espaol investigacin en cncer mama","grupo / espaol / investigacin / en","Geicam Fundacin Grupo Espaol De Investigacin En Cncer De Mama","exact",FALSE,""
"Azienda Ospedaliera Universitaria Careggi","Azienda Ospedaliera Universitaria Careggi","Azienda Ospedaliero Universitaria Pisana",13,6,19,0.805,0.5,"azienda ospedaliera universitaria careggi","azienda ospedaliero universitaria pisana","universitaria","Azienda Ospedaliero Universitaria Pisana","exact",FALSE,""
"Fundacin Para La Investigacin Biomdica Del Hospital Universitario La Paz","Fundacin Para La Investigacin Biomdica Del Hospital Universitario La Paz","Fundacin Para La Investigacin Biomdica De Crdoba",11,8,19,0.644,0.8,"fundacin para investigacin biomdica hospital university paz","fundacin para investigacin biomdica crdoba","fundacin / para / investigacin / biomdica","Fundacin Para La Investigacin Biomdica De Crdoba","exact",FALSE,""
"Azienda Ospedaliera Universitaria Careggi","Azienda Ospedaliera Universitaria Careggi","Azienda Ospedaliera Universitaria Della Seconda Universita Degli Studi Di Napoli",13,6,19,0.563,0.75,"azienda ospedaliera universitaria careggi","azienda ospedaliera universitaria seconda university degli studi napoli","universitaria","Azienda Ospedaliera Universitaria Della Seconda Universita Degli Studi Di Napoli","exact",FALSE,""
"Azienda Ospedaliero Universitaria Di Modena","Azienda Ospedaliero Universitaria Di Modena","Azienda Ospedaliero Universitaria Pisana",12,6,18,0.9,0.75,"azienda ospedaliero universitaria modena","azienda ospedaliero universitaria pisana","universitaria","Azienda Ospedaliero Universitaria Pisana","exact",FALSE,""
"Centre Hospitalier Universitaire De Liege","Centre Hospitalier Universitaire De Liege","Centre Hospitalier Universitaire De Poitiers",10,8,18,0.842,0.75,"center hospitalier university liege","center hospitalier university poitiers","hospitalier","Centre Hospitalier Universitaire De Poitiers","exact",FALSE,""
"Centre Hospitalier Universitaire De Liege","Centre Hospitalier Universitaire De Liege","Centre Hospitalier Universitaire De Caen Normandie",10,8,18,0.727,0.75,"center hospitalier university liege","center hospitalier university caen normandie","hospitalier","Centre Hospitalier Universitaire De Caen Normandie","exact",FALSE,""
"Azienda Ospedaliera Universitaria Careggi","Azienda Ospedaliera Universitaria Careggi","Azienda Ospedaliera Universitaria San Martino Genova",13,5,18,0.712,0.75,"azienda ospedaliera universitaria careggi","azienda ospedaliera universitaria san martino genova","universitaria","Azienda Ospedaliera Universitaria San Martino Genova","exact",FALSE,""
"Vall D Hebron Institute Of","Vall D Hebron Institute Of","Fundacio Hospital Universitari Vall D’hebron Institut De Recerca",10,8,18,0.442,0.75,"vall d hebron institute","hospital universitari vall d hebron institut recerca","vall / d / hebron","Fundacio Hospital Universitari Vall D’hebron Institut De Recerca","exact",FALSE,""
"Medisch Spectrum Twente","Medisch Spectrum Twente","Spectrum",9,9,18,0.348,1,"medical spectrum twente","spectrum","spectrum","Spectrum","exact",FALSE,""
"Universittsklinikum Freiburg","Universittsklinikum Freiburg","Universittsklinikum Wrzburg",11,6,17,0.893,0.5,"universittsklinikum freiburg","universittsklinikum wrzburg","universittsklinikum","Universittsklinikum Wrzburg","exact",FALSE,""
"Grupo Espaol De Investigacin En Sarcomas","Grupo Espaol De Investigacin En Sarcomas","Grupo Espaol De Investigacin En Cncer De Ovario Geico",11,6,17,0.681,0.8,"grupo espaol investigacin en sarcomas","grupo espaol investigacin en cncer ovario geico","grupo / espaol / investigacin / en","Grupo Espaol De Investigacin En Cncer De Ovario Geico","exact",FALSE,""
"Fundacin Para La Investigacin Biomdica Del Hospital Gregorio Maran","Fundacin Para La Investigacin Biomdica Del Hospital Gregorio Maran","Fundacin Para La Investigacin Biomdica De Crdoba",9,8,17,0.661,0.8,"fundacin para investigacin biomdica hospital gregorio maran","fundacin para investigacin biomdica crdoba","fundacin / para / investigacin / biomdica","Fundacin Para La Investigacin Biomdica De Crdoba","exact",FALSE,""
"Horizon","Horizon","Horizon Designated Activity Company",10,7,17,0.259,1,"horizon","horizon designated activity","horizon","Horizon Designated Activity Company","exact",FALSE,""
"Centre Hospitalier Universitaire De Liege","Centre Hospitalier Universitaire De Liege","Centre Hospitalier Universitaire De Nancy",10,6,16,0.857,0.75,"center hospitalier university liege","center hospitalier university nancy","hospitalier","Centre Hospitalier Universitaire De Nancy","exact",FALSE,""
"Centre Hospitalier Universitaire De Liege","Centre Hospitalier Universitaire De Liege","Centre Hospitalier Universitaire De Reims",10,6,16,0.857,0.75,"center hospitalier university liege","center hospitalier university reims","hospitalier","Centre Hospitalier Universitaire De Reims","exact",FALSE,""
"Centre Hospitalier Universitaire De Liege","Centre Hospitalier Universitaire De Liege","Centre Hospitalier Universitaire D'angers",10,6,16,0.842,0.75,"center hospitalier university liege","center hospitalier university d angers","hospitalier","Centre Hospitalier Universitaire D'angers","exact",FALSE,""
"Centre Hospitalier Universitaire De Liege","Centre Hospitalier Universitaire De Liege","Centre Hospitalier Universitaire Brugmann",10,6,16,0.816,0.75,"center hospitalier university liege","center hospitalier university brugmann","hospitalier","Centre Hospitalier Universitaire Brugmann","exact",FALSE,""
"Centre Hospitalier Universitaire De Liege","Centre Hospitalier Universitaire De Liege","Centre Hospitalier Universitaire De Besanon",10,6,16,0.811,0.75,"center hospitalier university liege","center hospitalier university besanon","hospitalier","Centre Hospitalier Universitaire De Besanon","exact",FALSE,""
"Fundacin Para La Investigacin Biomdica Del Hospital Universitario La Paz","Fundacin Para La Investigacin Biomdica Del Hospital Universitario La Paz","Fundacin Para La Investigacin Biomdica Hospital Ramn Y Cajal",11,5,16,0.78,0.714,"fundacin para investigacin biomdica hospital university paz","fundacin para investigacin biomdica hospital ramn y cajal","fundacin / para / investigacin / biomdica","Fundacin Para La Investigacin Biomdica Hospital Ramn Y Cajal","exact",FALSE,""
"Moonlake Immunotherapeutics","Moonlake Immunotherapeutics","Ose Immunotherapeutics",11,5,16,0.778,0.5,"moonlake immunotherapeutics","ose immunotherapeutics","immunotherapeutics","Ose Immunotherapeutics","exact",FALSE,""
"Centre Hospitalier Universitaire De Caen Normandie","Centre Hospitalier Universitaire De Caen Normandie","Centre Hospitalier Universitaire De Poitiers",8,8,16,0.705,0.75,"center hospitalier university caen normandie","center hospitalier university poitiers","hospitalier","Centre Hospitalier Universitaire De Poitiers","exact",FALSE,""
