"canonical_suggestion","sponsor_a","sponsor_b","n_a","n_b","total_n","similarity_score","token_overlap","key_a","key_b","informative_common","suggested_pattern","suggested_match_type","approved","notes"
"Helsinki University Central Hospital","Helsinki University Central Hospital","Central Manchester University Hospitals Nhs Foundation Trust",52,24,76,0.395,0.75,"helsinki university central hospital","central manchester university hospital","central","Central Manchester University Hospitals Nhs Foundation Trust","exact",FALSE,""
"Istituto Nazionale Per La Cura Tumori","Istituto Nazionale Per La Cura Tumori","Istituto Scientifico Romagnolo Per Lo Studio E La Cura Dei Tumori",44,31,75,0.484,0.8,"istituto nazionale per cura tumori","istituto scientifico romagnolo per lo studio e cura dei tumori","istituto / per / cura / tumori","Istituto Scientifico Romagnolo Per Lo Studio E La Cura Dei Tumori","exact",FALSE,""
"University Of Nottingham","University Of Nottingham","Nottingham University Hospitals Nhs Trust",53,12,65,0.4,1,"university nottingham","nottingham university hospital","nottingham","Nottingham University Hospitals Nhs Trust","exact",FALSE,""
"Azienda Ospedaliera Universitaria Integrata Verona","Azienda Ospedaliera Universitaria Integrata Verona","Azienda Ospedaliera Universitaria Careggi",47,13,60,0.72,0.75,"azienda ospedaliera universitaria integrata verona","azienda ospedaliera universitaria careggi","universitaria","Azienda Ospedaliera Universitaria Careggi","exact",FALSE,""
"Turku University Hospital","Turku University Hospital","University Of Turku",48,10,58,0.44,1,"turku university hospital","university turku","turku","University Of Turku","exact",FALSE,""
"Helsinki University Central Hospital","Helsinki University Central Hospital","University Of Helsinki",52,6,58,0.417,1,"helsinki university central hospital","university helsinki","helsinki","University Of Helsinki","exact",FALSE,""
"CHU Saint-Etienne","CHU Saint-Etienne","Chu Saint Pierre",51,5,56,0.765,0.667,"chu saint etienne","chu saint pierre","saint","Chu Saint Pierre","exact",FALSE,""
"University Hospital Southampton NHS Foundation Trust","University Hospital Southampton NHS Foundation Trust","University Of Southampton",42,14,56,0.71,1,"university hospital southampton","university southampton","southampton","University Of Southampton","exact",FALSE,""
"Centre Hospitalier Regional De Marseille","Centre Hospitalier Regional De Marseille","Centre Hospitalier Regional Universitaire De Tours",28,28,56,0.682,0.75,"center hospitalier regional marseille","center hospitalier regional university tours","hospitalier / regional","Centre Hospitalier Regional Universitaire De Tours","exact",FALSE,""
"Azienda Ospedaliera Policlinico Di Modena","Azienda Ospedaliera Policlinico Di Modena","Azienda Ospedaliera Ospedale Policlinico Consorziale",39,17,56,0.654,0.75,"azienda ospedaliera policlinico modena","azienda ospedaliera ospedale policlinico consorziale","policlinico","Azienda Ospedaliera Ospedale Policlinico Consorziale","exact",FALSE,""
"University Hospitals Bristol NHS Foundation Trust","University Hospitals Bristol NHS Foundation Trust","University Of Bristol",35,18,53,0.667,1,"university hospital bristol","university bristol","bristol","University Of Bristol","exact",FALSE,""
"Azienda Ospedaliera Universitaria Integrata Verona","Azienda Ospedaliera Universitaria Integrata Verona","Azienda Ospedaliera Universitaria San Martino Genova",47,5,52,0.769,0.6,"azienda ospedaliera universitaria integrata verona","azienda ospedaliera universitaria san martino genova","universitaria","Azienda Ospedaliera Universitaria San Martino Genova","exact",FALSE,""
"Technische Universitt Dresden","Technische Universitt Dresden","Technische Universitt Mnchen",37,12,49,0.828,0.667,"technische universitt dresden","technische universitt mnchen","technische / universitt","Technische Universitt Mnchen","exact",FALSE,""
"Antwerp University Hospital","Antwerp University Hospital","University Hospital Antwerp",44,5,49,0.407,1,"antwerp university hospital","university hospital antwerp","antwerp","University Hospital Antwerp","exact",FALSE,""
"Beone Medicines","Beone Medicines","The Medicines Company",28,20,48,0.6,1,"beone medicines","medicines","medicines","The Medicines Company","exact",FALSE,""
"Fondazione Italiana Linfomi Onlus","Fondazione Italiana Linfomi Onlus","Fondazione Italiana Linfomi Ets",33,13,46,0.879,0.75,"fondazione italiana linfomi onlus","fondazione italiana linfomi ets","italiana / linfomi","Fondazione Italiana Linfomi Ets","exact",FALSE,""
"AZIENDA OSPEDALIERA OSPEDALI RIUNITI DI BERGAMO A.O. DI RILIEVO NAZIONALE","AZIENDA OSPEDALIERA OSPEDALI RIUNITI DI BERGAMO A.O. DI RILIEVO NAZIONALE","AZIENDA OSPEDALIERA L. SACCO A.O. DI RILIEVO NAZIONALE",25,21,46,0.672,0.714,"azienda ospedaliera ospedali riuniti bergamo o rilievo nazionale","azienda ospedaliera l sacco o rilievo nazionale","o / rilievo / nazionale","AZIENDA OSPEDALIERA L. SACCO A.O. DI RILIEVO NAZIONALE","exact",FALSE,""
"Centre Hospitalier Regional Universitaire De Tours","Centre Hospitalier Regional Universitaire De Tours","Centre Hospitalier Regional Et Universitaire De Brest",28,16,44,0.83,0.8,"center hospitalier regional university tours","center hospitalier regional et university brest","hospitalier / regional","Centre Hospitalier Regional Et Universitaire De Brest","exact",FALSE,""
"Laboratoires Thea","Laboratoires Thea","Laboratoires Smb",24,20,44,0.765,0.5,"laboratoires thea","laboratoires smb","laboratoires","Laboratoires Smb","exact",FALSE,""
"Centre Hospitalier Regional De Marseille","Centre Hospitalier Regional De Marseille","Centre Hospitalier Regional Et Universitaire De Brest",28,16,44,0.66,0.75,"center hospitalier regional marseille","center hospitalier regional et university brest","hospitalier / regional","Centre Hospitalier Regional Et Universitaire De Brest","exact",FALSE,""
"Fondazione Irccs Ca Granda Ospedale Maggiore Policlinico","Fondazione Irccs Ca Granda Ospedale Maggiore Policlinico","Ospedale Maggiore Di Milano Irccs",34,10,44,0.357,0.75,"fondazione irccs ca granda ospedale maggiore policlinico","ospedale maggiore milano irccs","ospedale / maggiore","Ospedale Maggiore Di Milano Irccs","exact",FALSE,""
"Laboratorios Leti","Laboratorios Leti","Laboratorios Alter",30,13,43,0.778,0.5,"laboratorios leti","laboratorios alter","laboratorios","Laboratorios Alter","exact",FALSE,""
"Istituto Scientifico Romagnolo Per Lo Studio E La Cura Dei Tumori","Istituto Scientifico Romagnolo Per Lo Studio E La Cura Dei Tumori","Istituto Romagnolo Per Lo Studio Dei Tumori Dino Amadori Irst",31,12,43,0.516,0.7,"istituto scientifico romagnolo per lo studio e cura dei tumori","istituto romagnolo per lo studio dei tumori dino amadori irst","istituto / romagnolo / per / lo / studio / dei / tumori","Istituto Romagnolo Per Lo Studio Dei Tumori Dino Amadori Irst","exact",FALSE,""
"AZIENDA OSPEDALIERA OSPEDALI RIUNITI DI BERGAMO A.O. DI RILIEVO NAZIONALE","AZIENDA OSPEDALIERA OSPEDALI RIUNITI DI BERGAMO A.O. DI RILIEVO NAZIONALE","AZIENDA OSPEDALIERA OSPEDALE NIGUARDA CA GRANDA A.O. DI RILIEVO NAZIONALE",25,17,42,0.791,0.625,"azienda ospedaliera ospedali riuniti bergamo o rilievo nazionale","azienda ospedaliera ospedale niguarda ca granda o rilievo nazionale","o / rilievo / nazionale","AZIENDA OSPEDALIERA OSPEDALE NIGUARDA CA GRANDA A.O. DI RILIEVO NAZIONALE","exact",FALSE,""
"University Of Liverpool","University Of Liverpool","Royal Liverpool University Hospital",36,6,42,0.314,1,"university liverpool","royal liverpool university hospital","liverpool","Royal Liverpool University Hospital","exact",FALSE,""
"Central Manchester University Hospitals Nhs Foundation Trust","Central Manchester University Hospitals Nhs Foundation Trust","University Of Manchester",24,18,42,0.263,1,"central manchester university hospital","university manchester","manchester","University Of Manchester","exact",FALSE,""
"University Of Leipzig","University Of Leipzig","Universitaet Leipzig",36,5,41,0.85,0.5,"university leipzig","universitaet leipzig","leipzig","Universitaet Leipzig","exact",FALSE,""
"Azienda Ospedaliera Spedali Civili Di Brescia","Azienda Ospedaliera Spedali Civili Di Brescia","Azienda Socio Sanitaria Territoriale Degli Spedali Civili Di Brescia",25,16,41,0.585,0.8,"azienda ospedaliera spedali civili brescia","azienda socio sanitaria territoriale degli spedali civili brescia","spedali / civili / brescia","Azienda Socio Sanitaria Territoriale Degli Spedali Civili Di Brescia","exact",FALSE,""
"Zealand","Zealand","Zealand University Hospital",23,17,40,0.259,1,"zealand","zealand university hospital","zealand","Zealand University Hospital","exact",FALSE,""
"Universittsklinikum Essen","Universittsklinikum Essen","Universittsklinikum Mnster",23,16,39,0.846,0.5,"universittsklinikum essen","universittsklinikum mnster","universittsklinikum","Universittsklinikum Mnster","exact",FALSE,""
