raw_substance,n_trials,reason
ml concentraat voor oplossing voor infusie.,3,only dose/form/unit language remains after stripping
ml concentraat voor oplossing voor injectie of infusie,3,only dose/form/unit language remains after stripping
ml concentrate for Solution for Infusion,3,only dose/form/unit language remains after stripping
ml oplossing voor injectie of infusie,3,only dose/form/unit language remains after stripping
ml orale Lösung,3,only dose/form/unit language remains after stripping
ml poudre pour solution à diluer pour perfusion,3,only dose/form/unit language remains after stripping
ml powder for oral solution,3,only dose/form/unit language remains after stripping
ml solution for infusion for subcutaneous use,3,only dose/form/unit language remains after stripping
ml концентрат за инжекционен или инфузионен разтвор,3,only dose/form/unit language remains after stripping
ml – Konzentrat zur Herstellung einer Infusionslösung,3,only dose/form/unit language remains after stripping
"ml, concentrate for solution for infusion.",3,only dose/form/unit language remains after stripping
"ml, injektionsvätska, lösning",3,only dose/form/unit language remains after stripping
"ml, solution à diluer pour solution injectable",3,only dose/form/unit language remains after stripping
ml.,3,only dose/form/unit language remains after stripping
n.a,3,only dose/form/unit language remains after stripping
"spray, nasal spray suspension",3,only dose/form/unit language remains after stripping
tablet,3,only dose/form/unit language remains after stripping
to be confirmed,3,"placeholder text, not a substance"
to be determined,3,"placeholder text, not a substance"
v Solution for Infusion,3,only dose/form/unit language remains after stripping
v),3,shorter than 3 characters
vial.,3,only dose/form/unit language remains after stripping
w,3,shorter than 3 characters
Флударабин Актавис 25 mg,3,only dose/form/unit language remains after stripping
--,2,shorter than 3 characters
0,2,shorter than 3 characters
"0,25 g poeder voor oplossing voor infusie",2,only dose/form/unit language remains after stripping
"0,5 g Pulver zur Herstellung einer Infusionslösung",2,only dose/form/unit language remains after stripping
0.5 ml Solution for injection,2,only dose/form/unit language remains after stripping
0.5 ml solution for injection.,2,only dose/form/unit language remains after stripping
0.5g) Powder for Concentrate for Solution for Infusion,2,only dose/form/unit language remains after stripping
0.75 mL solution for injection,2,only dose/form/unit language remains after stripping
00179301,2,only dose/form/unit language remains after stripping
06,2,shorter than 3 characters
1 g powder for concentrate for solution for infusion,2,only dose/form/unit language remains after stripping
1 mL concentrate for solution for infusion,2,only dose/form/unit language remains after stripping
1 mL solution for injection in a pre-filled syringe,2,only dose/form/unit language remains after stripping
"1 ml, oplossing voor injectie",2,only dose/form/unit language remains after stripping
"1 ml, solution injectable en ampoule",2,only dose/form/unit language remains after stripping
"1 ml, solution à diluer pour perfusion",2,only dose/form/unit language remains after stripping
1.5 mL Solution for injection in vial,2,only dose/form/unit language remains after stripping
10 ml Injektionslösung,2,only dose/form/unit language remains after stripping
100 ml,2,only dose/form/unit language remains after stripping
100 ml Intravenous Infusion,2,only dose/form/unit language remains after stripping
100ml Infusionslösung,2,only dose/form/unit language remains after stripping
100ml Solution for Infusion,2,only dose/form/unit language remains after stripping
120 mg,2,only dose/form/unit language remains after stripping
1359417,2,only dose/form/unit language remains after stripping
14.2 mg film-coated tablets,2,only dose/form/unit language remains after stripping
15,2,shorter than 3 characters
15 micrograms),2,only dose/form/unit language remains after stripping
150 mg,2,only dose/form/unit language remains after stripping
158,2,only dose/form/unit language remains after stripping
1mL Solution for injection in pre-filled syringe,2,only dose/form/unit language remains after stripping
2 ml Injektionslösung,2,only dose/form/unit language remains after stripping
"2,5 mL, solution injectable",2,only dose/form/unit language remains after stripping
20 mg,2,only dose/form/unit language remains after stripping
2006,2,only dose/form/unit language remains after stripping
2009,2,only dose/form/unit language remains after stripping
2010,2,only dose/form/unit language remains after stripping
25mg,2,only dose/form/unit language remains after stripping
30 mg tablets,2,only dose/form/unit language remains after stripping
4.5 micrograms inhalation powder,2,only dose/form/unit language remains after stripping
4217,2,only dose/form/unit language remains after stripping
45,2,shorter than 3 characters
5 mg,2,only dose/form/unit language remains after stripping
5 ml,2,only dose/form/unit language remains after stripping
"5 ml, solution injectable",2,only dose/form/unit language remains after stripping
500 mg Pulver zur Herstellung einer Infusionslösung,2,only dose/form/unit language remains after stripping
52,2,shorter than 3 characters
57 mg,2,only dose/form/unit language remains after stripping
6,2,shorter than 3 characters
615258-40-7,2,only dose/form/unit language remains after stripping
719-20,2,only dose/form/unit language remains after stripping
725,2,only dose/form/unit language remains after stripping
728,2,only dose/form/unit language remains after stripping
8 ml Konzentrat zur Herstellung einer Infusionslösung,2,only dose/form/unit language remains after stripping
80 mg comprimidos,2,only dose/form/unit language remains after stripping
800mg Tablets,2,only dose/form/unit language remains after stripping
9,2,shorter than 3 characters
90 mg prolonged-release tablets,2,only dose/form/unit language remains after stripping
An A,2,only dose/form/unit language remains after stripping
DC,2,shorter than 3 characters
INN not available yet,2,"placeholder text, not a substance"
INN not yet assigned,2,"placeholder text, not a substance"
Kg,2,shorter than 3 characters
Konzentrat zur Herstellung einer Infusionslösung,2,only dose/form/unit language remains after stripping
N8,2,shorter than 3 characters
Not applicable at this stage,2,"placeholder text, not a substance"
Not yet assigned.,2,"placeholder text, not a substance"
S,2,shorter than 3 characters
TO BE DETERMINED,2,"placeholder text, not a substance"
Tablet,2,only dose/form/unit language remains after stripping
To Be Determined,2,"placeholder text, not a substance"
_,2,shorter than 3 characters
g granules,2,only dose/form/unit language remains after stripping
granules for suspension,2,only dose/form/unit language remains after stripping
infusion or oral solution,2,only dose/form/unit language remains after stripping
l,2,shorter than 3 characters
mL + 2 mg,2,only dose/form/unit language remains after stripping
mL solution for injection in pre-filled syringe.,2,only dose/form/unit language remains after stripping
mL solution for injection in vial,2,only dose/form/unit language remains after stripping
"ml
Injektionslösung",2,only dose/form/unit language remains after stripping
"ml
Konzentrat zur Herstellung einer Infusionslösung",2,only dose/form/unit language remains after stripping
"ml (0,5 mmol",2,only dose/form/unit language remains after stripping
ml Concentrate for Solution for infusion,2,only dose/form/unit language remains after stripping
ml Infusionslsung,2,only dose/form/unit language remains after stripping
ml Oplossing voor injectie,2,only dose/form/unit language remains after stripping
ml Solución Inyectable,2,only dose/form/unit language remains after stripping
ml Solution for Infusion,2,only dose/form/unit language remains after stripping
ml Solution for injection or infusion,2,only dose/form/unit language remains after stripping
ml concentrate for solution for Infusion,2,only dose/form/unit language remains after stripping
"ml injektionsvätska, suspension",2,only dose/form/unit language remains after stripping
ml oplossing voor injectie.,2,only dose/form/unit language remains after stripping
"ml oral drops, solution",2,only dose/form/unit language remains after stripping
ml powder for dispersion for infusion,2,only dose/form/unit language remains after stripping
ml solución inyectable.,2,only dose/form/unit language remains after stripping
ml solución oral,2,only dose/form/unit language remains after stripping
ml solution,2,only dose/form/unit language remains after stripping
ml solution pour perfusion,2,only dose/form/unit language remains after stripping
ml solution à diluer pour solution injectable,2,only dose/form/unit language remains after stripping
"ml, Pulver zur Herstellung einer Infusionslösung.",2,only dose/form/unit language remains after stripping
"ml, oplossing voor infusie",2,only dose/form/unit language remains after stripping
"ml, solution for infusion",2,only dose/form/unit language remains after stripping
"ml, solution for injection or concentrate for solution for infusion.",2,only dose/form/unit language remains after stripping
"ml, solution injectable en ampoule",2,only dose/form/unit language remains after stripping
"ml, solution à diluer pour de perfusion",2,only dose/form/unit language remains after stripping
not established yet,2,"placeholder text, not a substance"
perfusion,2,only dose/form/unit language remains after stripping
r,2,shorter than 3 characters
v Intravenous Infusion BP Solution for Infusion,2,only dose/form/unit language remains after stripping
vial concentrate for solution for infusion,2,only dose/form/unit language remains after stripping
έχχυση,2,only dose/form/unit language remains after stripping
ү,2,shorter than 3 characters
- -,1,only dose/form/unit language remains after stripping
---,1,only dose/form/unit language remains after stripping
0 mg,1,only dose/form/unit language remains after stripping
"0,1 ml Pulver zur Herstellung einer Injektionslösung",1,only dose/form/unit language remains after stripping
"0,15 mg",1,only dose/form/unit language remains after stripping
"0,4",1,only dose/form/unit language remains after stripping
"0,4 6",1,only dose/form/unit language remains after stripping
"0,5 g - Pulver zur Herstellung einer Infusionslösung",1,only dose/form/unit language remains after stripping
"0,5 g poeder voor oplossing voor infusie",1,only dose/form/unit language remains after stripping
"0,5 g, poudre pour solution pour perfusion",1,only dose/form/unit language remains after stripping
"0,5 ml, solution injectable",1,only dose/form/unit language remains after stripping
"0,5g",1,only dose/form/unit language remains after stripping
"0,8 ml, solution injectable",1,only dose/form/unit language remains after stripping
"0.1 ml, Powder for solution for injection",1,only dose/form/unit language remains after stripping
0.18 mL solution for injection,1,only dose/form/unit language remains after stripping
0.20ml,1,only dose/form/unit language remains after stripping
0.4 ML solution for injection in a pre-filled syringe,1,only dose/form/unit language remains after stripping
0.42,1,only dose/form/unit language remains after stripping
0.5,1,only dose/form/unit language remains after stripping
"0.5 g, powder for solution for infusion",1,only dose/form/unit language remains after stripping
0.5 mL,1,only dose/form/unit language remains after stripping
0.5 mL solution for injection in a pre-filled syringe,1,only dose/form/unit language remains after stripping
0.5 mL solution for injection.,1,only dose/form/unit language remains after stripping
0.5 ml,1,only dose/form/unit language remains after stripping
0.5 ml solution for injection,1,only dose/form/unit language remains after stripping
0.5mL,1,only dose/form/unit language remains after stripping
"0.5mL, solution for injection",1,only dose/form/unit language remains after stripping
0.5ml,1,only dose/form/unit language remains after stripping
0.6 ML solution for injection in a pre-filled syringe,1,only dose/form/unit language remains after stripping
0.6 mL solution for injection in pre-filled syringe,1,only dose/form/unit language remains after stripping
"0.6 ml solution for injection, pre-filled syringe.",1,only dose/form/unit language remains after stripping
0.75 ML solution for injection in a pre-filled syringe,1,only dose/form/unit language remains after stripping
0.9ml solution for injection in pre-filled syringe,1,only dose/form/unit language remains after stripping
00 mL Solution for injection in pre-filled syringe,1,only dose/form/unit language remains after stripping
00 mg,1,only dose/form/unit language remains after stripping
00033201,1,only dose/form/unit language remains after stripping
00056400,1,only dose/form/unit language remains after stripping
001-004,1,only dose/form/unit language remains after stripping
00128200,1,only dose/form/unit language remains after stripping
00165902,1,only dose/form/unit language remains after stripping
00166201,1,only dose/form/unit language remains after stripping
00171300,1,only dose/form/unit language remains after stripping
00179300,1,only dose/form/unit language remains after stripping
00244301,1,only dose/form/unit language remains after stripping
00248000,1,only dose/form/unit language remains after stripping
00249750,1,only dose/form/unit language remains after stripping
00250700,1,only dose/form/unit language remains after stripping
00259300,1,only dose/form/unit language remains after stripping
00316000,1,only dose/form/unit language remains after stripping
00318900,1,only dose/form/unit language remains after stripping
00320700,1,only dose/form/unit language remains after stripping
00323700,1,only dose/form/unit language remains after stripping
00326700,1,only dose/form/unit language remains after stripping
00326900,1,only dose/form/unit language remains after stripping
00327100,1,only dose/form/unit language remains after stripping
00329000,1,only dose/form/unit language remains after stripping
00330300,1,only dose/form/unit language remains after stripping
00330800,1,only dose/form/unit language remains after stripping
00622300,1,only dose/form/unit language remains after stripping
00633500,1,only dose/form/unit language remains after stripping
00795700,1,only dose/form/unit language remains after stripping
011368 001 01,1,only dose/form/unit language remains after stripping
04,1,shorter than 3 characters
042,1,only dose/form/unit language remains after stripping
08,1,shorter than 3 characters
0845,1,only dose/form/unit language remains after stripping
1 ML solution for injection in a pre-filled syringe,1,only dose/form/unit language remains after stripping
1 g cream,1,only dose/form/unit language remains after stripping
1 g ointment,1,only dose/form/unit language remains after stripping
1 mL,1,only dose/form/unit language remains after stripping
1 mL Concentrate for solution for infusion,1,only dose/form/unit language remains after stripping
1 mL Solution for Injection,1,only dose/form/unit language remains after stripping
1 mL Solution for infusion,1,only dose/form/unit language remains after stripping
1 mL Solution for injection,1,only dose/form/unit language remains after stripping
1 mL concentrate for solution for injection,1,only dose/form/unit language remains after stripping
1 mL),1,only dose/form/unit language remains after stripping
"1 mL, suspension injectable en flacon",1,only dose/form/unit language remains after stripping
1 mg,1,only dose/form/unit language remains after stripping
1 ml Konzentrat zur Herstellung einer Infusionslösung,1,only dose/form/unit language remains after stripping
1 ml Solution for injection,1,only dose/form/unit language remains after stripping
1 ml Solution for injection:,1,only dose/form/unit language remains after stripping
1 ml Solution injectable,1,only dose/form/unit language remains after stripping
1 ml Suspension Injectable,1,only dose/form/unit language remains after stripping
1 ml oplossing voor injectie,1,only dose/form/unit language remains after stripping
1 ml solution for injection,1,only dose/form/unit language remains after stripping
1 ml solution injectable,1,only dose/form/unit language remains after stripping
"1 ml, Konzentrat zur Herstellung einer Infusionslösung",1,only dose/form/unit language remains after stripping
"1,000 mg film-coated tablets",1,only dose/form/unit language remains after stripping
"1,3",1,only dose/form/unit language remains after stripping
1-22525,1,only dose/form/unit language remains after stripping
1.08 ml solution for injection,1,only dose/form/unit language remains after stripping
1.25 mg),1,only dose/form/unit language remains after stripping
1.5 mL solution for injection,1,only dose/form/unit language remains after stripping
1.5ml,1,only dose/form/unit language remains after stripping
10 mL prolonged-release dispersion for injection,1,only dose/form/unit language remains after stripping
"10 mL, Solution for Injection",1,only dose/form/unit language remains after stripping
10 mg επικαλυμμένα με λεπτό υμένιο δισκία,1,only dose/form/unit language remains after stripping
10 ml,1,only dose/form/unit language remains after stripping
"10 ml, solution for injection (50 micrograms",1,only dose/form/unit language remains after stripping
"10 ml, solution injectable",1,only dose/form/unit language remains after stripping
"10 ml, solution injectable pour perfusion",1,only dose/form/unit language remains after stripping
10-mg,1,only dose/form/unit language remains after stripping
10.000 IU,1,only dose/form/unit language remains after stripping
100,1,only dose/form/unit language remains after stripping
100 Mikrogramm,1,only dose/form/unit language remains after stripping
100 micrograms,1,only dose/form/unit language remains after stripping
100 ml solution pour perfusion,1,only dose/form/unit language remains after stripping
"100 ml, solution à diluer pour perfusion",1,only dose/form/unit language remains after stripping
1000ml,1,only dose/form/unit language remains after stripping
100mL,1,only dose/form/unit language remains after stripping
100ml solution for infusion,1,only dose/form/unit language remains after stripping
