raw_sponsor,block_id,n_trials,block_size
Almirall S.A.,blk_00165,20,18
CHU Clermont-Ferrand,blk_00094,20,12
"Ionis Pharmaceuticals, Inc.",blk_00163,20,4
Newcastle upon Tyne Hospitals NHS Foundation Trust,blk_00179,20,21
Pierre Fabre Mdicament,blk_00056,20,33
Sahlgrenska University Hospital,blk_00180,20,28
Sanofi Pasteur,blk_00132,20,17
"Shire Human Genetic Therapies, Inc.",blk_00096,20,20
Technische Universitt Dresden,blk_00181,20,18
Universitair Ziekenhuis Gent,blk_00182,20,5
University Hospital Southampton NHS Foundation Trust,blk_00183,20,20
University of Leipzig,blk_00184,20,8
AZIENDA OSPEDALIERA DI PADOVA,blk_00185,19,8
"Astellas Pharma Global Development, Inc.",blk_00081,19,28
Baxalta Innovations GmbH,blk_00091,19,14
EORTC,blk_00186,19,2
G.I.M.E.M.A. GRUPPO ITALIANO MALATTIE EMATOLOGICHE DELLADULTO,blk_00187,19,7
GlaxoSmithKline Consumer Healthcare,blk_00188,19,24
ISTITUTO  CLINICO  HUMANITAS,blk_00189,19,8
Medical University Of Graz,blk_00112,19,40
Merck Sharp  Dohme BV,blk_00005,19,40
Organisation name was not entered,blk_00190,19,3
Stichting Radboud University Medical Center,blk_00061,19,31
"Takeda Development Center Americas, Inc.",blk_00046,19,38
Takeda Development Centre Europe Ltd.,blk_00046,19,38
The Royal Marsden NHS Foundation Trust,blk_00191,19,27
UCB Biopharma SPRL,blk_00106,19,40
Vejle Hospital,blk_00192,19,10
AZIENDA OSPEDALIERA OSPEDALI RIUNITI DI BERGAMO A.O. DI RILIEVO NAZIONALE,blk_00178,18,11
Adamed Pharma S.A.,blk_00193,18,2
Bioprojet Pharma,blk_00194,18,5
CHRU De Nancy,blk_00195,18,17
Cancer Trials Ireland,blk_00196,18,7
Centre Hospitalier Universitaire De Montpellier,blk_00197,18,19
Cliniques Universitaires Saint-Luc,blk_00198,18,26
FONDAZIONE NEOPLASIE SANGUE ONLUS,blk_00199,18,4
Fondation Franc.Cancerologie Digestive,blk_00200,18,3
Fundacio Institut De Recerca De L'Hospital De La Santa Creu I Sant Pau,blk_00135,18,11
Gilead Sciences Incorporated,blk_00016,18,18
GlaxoSmithKline RD Ltd,blk_00083,18,14
Grupo de Tratamiento de los Tumores Digestivos TTD,blk_00201,18,11
HOSPICES CIVILS DE LYON,blk_00039,18,8
Hospital Universitario La Paz,blk_00202,18,33
Inmunotek S.L.,blk_00203,18,4
