raw_sponsor,block_id,n_trials,block_size
University Hospital of North Norway,blk_01156,3,7
University Hospital of Regensburg,blk_00752,3,19
University Hospitals Coventry and Warwickshire NHS Trust,blk_01157,3,3
University Medical Center Groningen UMCG,blk_00021,3,22
University Medical Centre Ljubljana,blk_01158,3,14
University Of Minnesota,blk_00891,3,3
University hospitals Leuven,blk_00022,3,39
"University of Athens, Medical School",blk_01084,3,6
University of Bergen,blk_01159,3,5
University of Dundee Research  Innovation Services,blk_00067,3,21
University of Edinburgh ACCORD / NHS Lothian ACCORD,blk_00150,3,27
University of Helsinki,blk_00119,3,34
University of Jena,blk_00462,3,12
University of Sheffield,blk_00074,3,13
University of Sussex,blk_00967,3,8
University of Ulm,blk_00258,3,11
University of Wuerzburg,blk_00753,3,9
Uniwersytet Medyczny W Lublinie,blk_01160,3,4
VALEAS,blk_01161,3,2
"VERISFIELD UK LTD, GREEK BRANCH",blk_01162,3,2
VU University medical center,blk_00053,3,33
Vakzine Projekt Management GmbH,blk_01163,3,2
Vastra Gotalandsregionen,blk_01164,3,2
Veobecn fakultn nemocnice v Praze,blk_00587,3,16
Verastem Inc.,blk_01165,3,5
"Verein zur Frderung der Forschung auf dem Gebiet der Arteriosklerose, Thrombose und vaskulren Biologie ATVB",blk_01166,3,6
Verona Pharma PLC,blk_00261,3,7
Vifor Pharma,blk_00259,3,11
Vifor Pharma Inc.,blk_00259,3,11
"ViiV Healthcare, S.L.",blk_00172,3,9
Vilnius University Hospital Santariskiu Clinics,blk_01167,3,4
"Vir Biotechnology, Inc.",blk_00500,3,2
Washington University School Of Medicine,blk_01168,3,3
Weleda AG,blk_01169,3,3
Westdeutsche Studiengruppe GmbH,blk_00637,3,4
Wilex AG,blk_01170,3,2
Wockhardt Bio AG,blk_01171,3,2
"Wyeth Pharmaceuticals Inc, a wholly owned subsidiary of Pfizer Inc, 500 Arcola road, Collegeville, PA 19426 USA",blk_00010,3,40
Wyeth Pharmaceuticals Inc.,blk_00107,3,40
"Wyeth Pharmaceuticals Inc. Acting through its division Wyeth Research, a Pfizer Company",blk_00010,3,40
"Wyeth Pharmaceuticals Inc., acting through its division Wyeth Research, a Pfizer Company",blk_00010,3,40
"Wyeth Research Division of Wyeth Pharmaceuticals Inc. A Pfizer Company,Philadelphia,PA-19101,USA",blk_00010,3,40
Zentralinstitut Fuer Seelische Gesundheit,blk_01172,3,2
ZonMW,blk_00638,3,7
Zymeworks Inc.,blk_01173,3,2
radboudumc,blk_00082,3,6
sanofi aventis groupe,blk_00024,3,40
sanofi-aventis Recherche et Dveloppement,blk_00033,3,40
sanofi-aventis recherche et developpement,blk_00024,3,40
4D pharma plc,blk_01174,2,4
A. N. M. C. O. - FONDAZIONE ITALIANA LOTTA MALATTIE CARDIOVASCOLARI,blk_01175,2,3
A.O. SAN GERARDO DI MONZA,blk_00363,2,10
A.O. San Gerardo di Monza,blk_00363,2,10
A.R.T.I.C. Association pour la Recherche de Thrapeutiques Innovantes en Cancrologie,blk_01176,2,4
A.S.L. TO 2,blk_01177,2,3
ABOCA S.P.A. SOCIET AGRICOLA,blk_01178,2,2
ABX GmbH,blk_01179,2,2
ACO Hud Nordic AB,blk_01180,2,3
AESCA Pharma GesmbH,blk_01181,2,3
AGMT  Arbeitsgemeinschaft medikamentse Tumortherapie gemeinntzige GmbH,blk_00290,2,6
AIR LIQUIDE,blk_00565,2,8
AIR LIQUIDE SANTE INTERNATIONAL,blk_00565,2,8
AKH Wien,blk_00113,2,40
ALFA WASSERMANN,blk_01182,2,4
ALK-Abell Arzneimittel GmbH,blk_00177,2,8
ALK-Abell S. A.,blk_00177,2,8
ALK-Abell S.A.,blk_00177,2,8
ALLERGAN LTD,blk_00080,2,13
ALMIRALL PRODESFARMA,blk_01183,2,4
"ALMIRALL, S.A.",blk_00165,2,18
"AMC, Amsterdam",blk_00339,2,19
"AMC, Cardiovascular Sciences",blk_00339,2,19
AOU di Bologna Policlinico S.Orsola-Malpighi,blk_00020,2,8
APOTEX Inc.,blk_01184,2,3
ARQule Inc.,blk_00952,2,4
ASLAN Pharmaceuticals,blk_01185,2,2
ASSISTANCE PUBLIQUE - HOPITAUX DE PARIS,blk_00008,2,40
ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS AP-HP,blk_00008,2,40
ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS APHP,blk_00008,2,40
ASSOCIAZIONE ITALIANA PNEUMOLOGI OSPEDALIERI,blk_00561,2,12
ASSOCIAZIONE SALENTINA ANGELA SERRA ONLUS,blk_01186,2,2
"AVID RADIOPHARMACEUTICALS, INC.",blk_01187,2,3
AZIENDA OSPEDALIERA AO OSPEDALE NIGUARDA CA GRANDA,blk_00233,2,12
AZIENDA OSPEDALIERA FONDAZIONE MACCHI A.O. DI RILIEVO NAZIONALE,blk_00178,2,11
AZIENDA OSPEDALIERA ISTITUTI OSPITALIERI DI CREMONA,blk_00111,2,7
AZIENDA OSPEDALIERA S. CROCE E CARLE,blk_00647,2,2
AZIENDA OSPEDALIERA S. MARIA DELLA MISERICORDIA,blk_01188,2,2
AZIENDA OSPEDALIERA S. MARIA DI TERNI,blk_00288,2,5
AZIENDA OSPEDALIERA S. PAOLO A.O. DI RILIEVO NAZIONALE,blk_00178,2,11
AZIENDA OSPEDALIERA UMBERTO I,blk_00114,2,9
AZIENDA OSPEDALIERO-UNIVERSITARIA OSPEDALI RIUNITI DI ANCONA,blk_00211,2,9
AZIENDA OSPEDALIERO-UNIVERSITARIA S. MARIA DELLA MISERICORDIA DI UDINE,blk_00775,2,2
AZIENDA USL DELLA VALLE DAOSTA,blk_01189,2,2
Aalborg University,blk_00164,2,27
Aalst Dermatology Group,blk_01190,2,5
Aarhus University Hospital / Aarhus University Hospital,blk_00036,2,40
"Aarhus University Hospital, Department of Cardiology",blk_00036,2,40
"Aarhus University Hospital, Department of Endocrinology",blk_00036,2,40
"Aarhus University Hospital, Department of Neurology",blk_00036,2,40
"Aarhus University Hospital, Department of Ophthalmology",blk_00036,2,40
"Aarhus University Hospital, Department of Rheumatology U",blk_00036,2,40
"Aarhus University Hospital, Skejby sygehus",blk_00036,2,40
Aarhus University hospital,blk_00036,2,40
AbbVie Stemcentrx LLC,blk_00012,2,18
Abbott GmbH  Co. K.G.,blk_00078,2,19
Abbott Laboratories,blk_00078,2,19
Abeona Therapeutics Europe SL.,blk_01191,2,2
Abiogen Pharma S.p.A.,blk_00765,2,4
Ablynx,blk_00405,2,3
"Abteilung fr Augenheilkunde, AKH Linz",blk_01192,2,4
"Academic Medical Center, Amsterdam",blk_00042,2,36
"Academic Medical Center, Department of Rheumatology",blk_01193,2,11
Academisch ziekenhuis Leiden acting under the name of Leids Universitair Medisch Centrum,blk_00023,2,20
Academisch ziekenhuis Maastricht,blk_00098,2,18
"Acceleron Pharma, Inc.",blk_00364,2,3
"Achillion Pharmaceuticals, Inc",blk_00503,2,2
Aclaris Therapeutics Inc.,blk_01194,2,2
"Aclaris Therapeutics, Inc.",blk_01194,2,2
Actelion Pharmaceuticals Nederland bv,blk_00079,2,13
Actelion pharmaceuticals Ltd,blk_00079,2,13
Active Biotech Research AB,blk_00937,2,4
"Adamas Pharmaceuticals, Inc.",blk_01195,2,2
Advanced Accelerator Applications International SA,blk_00938,2,6
Advanced Accelerator Applications SA,blk_00938,2,6
Advenchen Laboratories LLC,blk_01196,2,2
Advicenne Pharma,blk_00939,2,4
Aerovance Inc,blk_01197,2,4
Affimed GmbH,blk_01198,2,2
Affimed GmbH / Affimed GmbH,blk_01198,2,2
Affymax Inc.,blk_00779,2,2
Afimmune,blk_01199,2,2
Aft Pharmaceuticals Limited,blk_01200,2,2
Agence nationale de recherches sur le sida et les hpatites virales ANRS,blk_00403,2,7
Agomab Spain S.L.,blk_01201,2,3
Agomab Spain S.L.U.,blk_01201,2,3
AiCuris Anti-infective Cures AG,blk_01202,2,4
AiCuris GmbH  Co. KG,blk_01202,2,4
Akari Therapeutics Plc.,blk_00649,2,3
"Akcea Therapeutics, Inc.",blk_01203,2,2
Akela Pharma Inc,blk_01204,2,2
Akershus university hospital,blk_00212,2,4
Aktion Bronchialkarzinom e.V.,blk_01205,2,2
Albert Schweitzer Hospital,blk_00941,2,2
Alcon Pharma GmbH,blk_00158,2,16
Alcon Research Limited,blk_00158,2,16
Alcon d.o.o.,blk_00158,2,16
"Alder BioPharmaceuticals, Inc.",blk_00567,2,6
Alector Inc.,blk_00942,2,2
Alexion Pharma GmbH,blk_00090,2,12
Alexion Pharmaceuticals,blk_00090,2,12
Alfa Wassermann S.p.A.,blk_01182,2,4
Alfred Health,blk_01206,2,3
Algipharma AS,blk_00944,2,2
Alios BioPharma,blk_01207,2,2
All Ireland Cooperative Oncology Research Group,blk_00297,2,18
Allecra Therapeutics SAS,blk_01208,2,2
Allergan Inc.,blk_00080,2,13
Allergan Pharmaceuticals Ireland,blk_00080,2,13
Allergie-Centrum-Charit,blk_01209,2,4
"Allergie-Centrum-Charite, Department of Dermatology, Charite - Universittsmedizin Berlin",blk_01209,2,4
Allergy Centre,blk_00423,2,7
Allergy Therapeutics (UK) Limited,blk_00423,2,7
Alliance Pharmaceuticals,blk_01210,2,5
Alliance Pharmaceuticals Ltd,blk_01210,2,5
Alloksys Life Sciences B.V.,blk_01211,2,2
Almirall,blk_00165,2,18
"Almirall Prodesfarma, S.A.",blk_01183,2,4
"Almirall, S.A.",blk_00165,2,18
Alnylam Pharmaceuticals Inc,blk_00159,2,5
Alpine Immune Sciences Inc.,blk_01212,2,2
Alter Farmacia S.A.,blk_00299,2,2
Alx Oncology Holdings Inc.,blk_00946,2,2
"AmMax Bio., Inc.",blk_01213,2,2
Amag Pharmaceuticals Inc.,blk_00359,2,3
Amarin Pharma Inc.,blk_01214,2,2
Amgen,blk_00011,2,15
Amgen Ltd,blk_00011,2,15
"Amgen, Inc",blk_00011,2,15
Amphia Ziekenhuis,blk_00948,2,4
Amryt Research Ltd.,blk_01215,2,3
Amsterdam UMC VUmc,blk_00042,2,36
Amsterdam UMC location AMC,blk_00042,2,36
Amsterdam University Medical Center - location VU Medical Center,blk_00053,2,33
Amylyx Pharmaceuticals EMEA B.V. / Amylyx Pharmaceuticals Inc.,blk_00949,2,2
"Anaesthesia Department, Hvidovre Hospital, Capital Region of Denmark.",blk_00221,2,34
Anavex Germany GmbH,blk_01216,2,3
Anavex Life Sciences Corp.,blk_01216,2,3
Andi - Ventis,blk_01217,2,2
Andromeda Biotech Ltd,blk_01218,2,2
Anergis SA,blk_01219,2,2
Annexon Inc.,blk_01220,2,3
"Annexon, Inc.",blk_01220,2,3
Antisoma Research Limited,blk_01221,2,3
Antoni van Leeuwenhoek Ziekenhuis,blk_00072,2,24
Antoni van leeuwenhoek ziekenhuis,blk_00072,2,24
Apodemus AB,blk_01222,2,2
Applied Therapeutics Inc.,blk_00783,2,5
Aptatargets S.L.,blk_01223,2,2
Arakis Ltd.,blk_01224,2,2
Arbutus Biopharma Corporation,blk_01225,2,2
Arbutus Biopharma Inc.,blk_01225,2,2
Arctic Therapeutics hf.,blk_00047,2,36
Ark Therapeutics Limited,blk_01226,2,3
Arrowhead Research Corporation,blk_00229,2,4
Asac Pharmaceutical Inmunology S.A. / Advanced Outcomes Research S.L.,blk_00784,2,4
Asahi Kasei Pharma America Corporation,blk_01227,2,2
Asahi Kasei Pharma Corporation,blk_01227,2,2
Asarina Pharma ApS,blk_01228,2,2
Ascendis Pharma A/S,blk_00569,2,5
Ashford and St Peters Hospitals NHS Foundation Trust,blk_01229,2,3
Asklepios Kliniken Hamburg GmbH,blk_01230,2,6
Asociacin Instituto Biodonostia,blk_01231,2,3
Asociacin Teraputica en Hematologa y Oncologa Mdicas del Hospital Arnau de Vilanova de Valencia,blk_01232,2,7
Asociacion Europea Y Latinoamericana SELNET Para La Investigacion En Sarcomas,blk_00656,2,5
Associaci Per a la Recerca Oncolgica APRO,blk_01233,2,5
Association Hospitaliere De Bruxelles Et De Schaerbeek Centre Hospitalier Universitaire Brugmann,blk_00457,2,5
Associazione Italiana Ematologia Oncologia Pediatrica,blk_00561,2,12
Associazione Qol-One,blk_00929,2,2
Astellas Europe Pharma B.V.,blk_00081,2,28
Astellas Gene Therapies Inc.,blk_00081,2,28
Astellas Pharma Europe B.V,blk_00081,2,28
Astellas Pharma Europe B.V. APEB,blk_00081,2,28
Astellas Pharma Europe BV,blk_00081,2,28
Astellas Pharma Europe Limited,blk_00081,2,28
"Astellas Pharma US, Inc.",blk_00081,2,28
AstraZeneca A/S,blk_00002,2,40
"AstraZeneca AB Karlebyhus, Astraalln, Sdertlje SE-151 85, Sweden",blk_00002,2,40
"AstraZeneca AB, European Regulatory Affairs",blk_00002,2,40
AstraZeneca RD Sdertlje,blk_00002,2,40
AstraZeneca UK Limited,blk_00002,2,40
AstraZeneca sterreich GmbH,blk_00002,2,40
Atea Pharmaceuticals Inc.,blk_00958,2,3
Aurinia Pharmaceuticals Inc.,blk_01234,2,2
"Aurinia Pharmaceuticals, Inc.",blk_01234,2,2
Aurora Pujol Onofre,blk_01235,2,2
AvenCell Europe GmbH,blk_01236,2,2
Avencell Therapeutics Inc.,blk_01236,2,2
"Aventis Pharmaceuticals, Inc.",blk_00024,2,40
Aveo Pharmaceuticals Inc.,blk_00644,2,5
"Avid Radiopharmaceuticals, Inc.",blk_01187,2,3
Axovant Sciences Ltd.,blk_01237,2,3
Az Maria Middelares Gent,blk_00182,2,5
Azienda Ospedaliera Ordine Mauriziano Di Torino,blk_00772,2,2
Azienda Ospedaliera Universitaria Citta Della Salute E Della Scienza Di Torino,blk_00927,2,3
Azienda Ospedaliera Universitaria Meyer IRCCS,blk_00564,2,6
Azienda Ospedaliera di Reggio Emilia Arcispedale S.Maria Nuova/IRCCS,blk_00288,2,5
Azienda Ospedaliero-Universitaria Meyer,blk_00564,2,6
Azienda Ospedaliero-Universitaria Pisana,blk_00121,2,4
Azienda Ospedaliero-Universitaria Policlinico Umberto I,blk_00114,2,9
Azienda Socio Sanitaria Territoriale Degli Spedali Civili Di Brescia / Azienda Socio Sanitaria Territoriale Degli Spedali Civili Di Brescia,blk_00151,2,6
Azienda Socio Sanitaria Territoriale Ovest Milanese,blk_01238,2,4
BAUSCHLOMB,blk_00789,2,4
BCN Peptides S.A.,blk_01239,2,3
BELFAST HEALTH  SOCIAL CARE TRUST,blk_00246,2,18
"BIAL  PORTELA  Ca, S.A.",blk_00262,2,14
"BIAL - Portela  C, SA",blk_00262,2,14
BIODEL Inc.,blk_01240,2,5
BIODEL inc.,blk_01240,2,5
BIOGEN IDEC LTD,blk_00037,2,20
Banc de Sang i Teixits BST,blk_00451,2,3
Barcelona Institute for Global Health ISGlobal,blk_01241,2,2
"Barrier Therapeutics, Inc.",blk_00787,2,3
"Barts and the London School of Medicine and Dentistry, Queen Mary University of London",blk_00148,2,25
Basque Health Service,blk_01242,2,4
Baxter Healthcare Corporation,blk_00091,2,14
Baxter RD Europe SCRL,blk_01243,2,3
Baxter Vaccine AG,blk_00875,2,6
Bayer AG / Bayer AG,blk_00015,2,40
Bayer Health Care AG study performed by Bayer Schering Pharma AG,blk_00015,2,40
"Bayer HealthCare AG, D-51368 Leverkusen",blk_00015,2,40
"Bayer HealthCare AG, D-51368 Leverkusen, Germany",blk_00015,2,40
"Bayer Healthcare AG, D-51368 Leverkusen, Germany",blk_00015,2,40
Bayer Schering Pharma,blk_00015,2,40
Bayer Vital GmbH,blk_00015,2,40
Bcn Peptides S.A.,blk_01239,2,3
"Becton, Dickinson and Company, BD Technologies",blk_01244,2,2
BeiGene Ltd.,blk_00343,2,8
Belfast City Hospital,blk_00246,2,18
Belgian IBD Research and Development,blk_01245,2,3
Bellerophon Pulse Technologies LLC,blk_01246,2,2
Bellvitge University Hospital,blk_00508,2,15
BerGenBio AS,blk_01247,2,2
Berlin-Chemie AG Menarini Group,blk_00571,2,11
"Bial - Portela  C, S.A.",blk_00262,2,14
BioAlliance Pharma,blk_01248,2,2
BioGeneriX,blk_00509,2,3
BioMarin Nederland B.V.,blk_00099,2,6
Biocompatibles UK Ltd,blk_01249,2,3
Biodel Inc.,blk_01240,2,5
Bioeq GmbH,blk_01250,2,2
Bioforce AG,blk_01251,2,2
Biogen GmbH,blk_00037,2,20
Biohaven Pharmaceuticals Inc.,blk_00573,2,4
Bioinova a.s.,blk_00794,2,2
Biomet Nederland BV,blk_00893,2,5
Bionor Immuno AS,blk_01252,2,2
Bionor Pharma ASA,blk_01252,2,2
Bionorica research GmbH,blk_00368,2,4
Biophytis,blk_01253,2,2
Biophytis S.A.,blk_01253,2,2
Bioverativ USA Inc.,blk_00658,2,4
Birmingham Childrens Hospital NHS Foundation Trust,blk_00035,2,36
Birmingham Womens Hospital,blk_00035,2,36
"Bispebjerg Hospital, University of Copenhagen",blk_00122,2,28
Blue Earth Diagnostics Ireland Ltd.,blk_01254,2,5
Blue Earth Therapeutics Limited,blk_01254,2,5
Boehringer Ingelheim GmbH,blk_00018,2,40
Boehringer Ingelheim International GmbH / Boehringer Ingelheim RCV GmbH & Co. KG,blk_00018,2,40
Boehringer Ingelheim Pharma Ges mbH,blk_00018,2,40
"Boehringer Ingelheim Pharma GmbH  Co. KG,",blk_00018,2,40
Boehringer Ingelheim RCV GmbH  CoKG,blk_00018,2,40
Boehringer Ingelheim UK Ltd,blk_00018,2,40
Boehringer Ingelheim bv,blk_00018,2,40
"Boehringer-Ingelheim Espaa, S.A.",blk_00018,2,40
Bracco Imaging Deutschland GmbH,blk_00247,2,9
"Bridge Biotherapeutics, Inc.",blk_01255,2,2
Bristol-Myers Squibb SL,blk_00004,2,25
Bristol-Myers Squibb Services Unlimited Company / Bristol-Myers Squibb Services Unlimited Company,blk_00004,2,25
Byondis BV,blk_00797,2,2
CASSIOPEA SpA,blk_00972,2,4
CCDRD Cooperative Clinical Drug Research and Development AG / Lavipharm S.A.,blk_00968,2,16
CECOG Central European Cooperative Oncology Group,blk_00297,2,18
CELLERIX S.A.,blk_01256,2,5
CELSION CORPORATION,blk_01257,2,2
CENTRO RICERCHE CLINICHE DI VERONA,blk_01258,2,3
CENTRO STUDI FADOI,blk_01259,2,2
CERENIS THERAPEUTICS SA,blk_00974,2,3
CH Versailles,blk_00664,2,7
CHIESI FARMACEUTICI S.P.A.,blk_00034,2,19
CHIESI FARMACEUTICI S.p.A.,blk_00034,2,19
CHIESI Farmaceutici S.p.A,blk_00034,2,19
CHIP - Rigshospitalet - University of Copenhagen,blk_00014,2,40
CHRU DE NANCY,blk_00195,2,17
CHRU LILLE,blk_00231,2,20
CHRU Montpellier,blk_00197,2,19
CHRU Nancy,blk_00195,2,17
CHRU de BREST,blk_00230,2,8
CHRU de Besanon,blk_00577,2,8
CHRU of Lille,blk_00231,2,20
CHRU-TOURS,blk_00124,2,11
CHU AMBROISE PARE,blk_01260,2,3
CHU Amiens Picardie,blk_00152,2,6
CHU Besanon,blk_00577,2,8
CHU CLERMONT-FERRAND,blk_00094,2,12
CHU DE BORDEAUX,blk_00065,2,9
CHU DE NIMES,blk_00265,2,7
CHU GRENOBLE,blk_00232,2,13
CHU Limoges,blk_00346,2,7
CHU de BORDEAUX,blk_00065,2,9
CHU de Lille,blk_00231,2,20
CHU de Montpellier,blk_00197,2,19
CHU de SAINT-ETIENNE,blk_00249,2,9
CHU-HOPITAUX DE ROUEN,blk_00167,2,13
CHU-ULG,blk_00660,2,3
CLINUVEL EUROPE LIMITED,blk_00371,2,7
CMC Ambroise Par,blk_01261,2,3
"COMPASS Pathfinder, Limited",blk_01262,2,4
CONSORCI SANITARI TERRASSA,blk_01263,2,7
CRINOS S.P.A.,blk_01264,2,2
CRUCELL SWITZERLAND AG,blk_01265,2,3
CYTHERIS,blk_01266,2,2
Calliditas Therapeutics AB,blk_01267,2,3
Calliditas Therapeutics Suisse S.A.,blk_01267,2,3
"Cambridge University Hospitals NHS Foundation Trust, Addenbrookes Hospital",blk_00123,2,28
Cambridge University Hospitals NHS Trust,blk_00123,2,28
Can-Fite Biopharma Ltd.,blk_00661,2,4
Cancer International Research Group,blk_00093,2,29
Canisius Wilhelmina Ziekenhuis,blk_01268,2,3
"Cara Therapeutics, Inc.",blk_01269,2,3
Cardiome Pharma Corp,blk_00971,2,3
Cardiorentis AG,blk_01270,2,2
Care Arthritis Ltd.,blk_01271,2,2
Carrick Therapeutics Limited,blk_01272,2,2
Cassella-med GmbH  Co KG,blk_00662,2,6
"Catalyst Biosciences, Inc.",blk_00574,2,3
Catharina Hospital Eindhoven,blk_00512,2,4
Catharina Ziekenhuis,blk_00512,2,4
Catholic University Leuven,blk_01273,2,2
Celgene International II SARL,blk_00030,2,15
Cell Medica Ltd,blk_00831,2,9
"Cell Therapeutics, Inc.",blk_00831,2,9
Cell2Cure ApS,blk_01274,2,2
CellCentric Ltd,blk_01275,2,2
Cellectis,blk_01276,2,2
Center for Clinical Metabolic Research at Herlev-Gentofte Hospital,blk_00234,2,29
"Center for Perioperative Optimization, Department of Surgery, Herlev Hospital",blk_00271,2,26
Central and North West London NHS Foundation Trust,blk_01277,2,8
Centre D'Etude Des Cellules Souches,blk_01278,2,2
Centre Georges Franois Leclerc,blk_00514,2,9
Centre Hospitalier Regional Universitaire De Nancy,blk_00195,2,17
Centre Hospitalier Rgional Universitaire de Besanon,blk_00577,2,8
Centre Hospitalier Rgional Universitaire de Nancy,blk_00195,2,17
Centre Hospitalier Rgional et Universitaire,blk_01279,2,4
Centre Hospitalier Universitaire Dijon Bourgogne,blk_00174,2,9
Centre Hospitalier Universitaire dAngers,blk_00801,2,2
Centre Hospitalier Universitaire de Grenoble,blk_00232,2,13
Centre Hospitalier Universitaire de Lille,blk_00231,2,20
Centre Hospitalier de Tourcoing,blk_01280,2,2
Centre Hospitalier de Versailles,blk_00664,2,7
Centre Leon Berard / Centre Leon Berard,blk_00153,2,4
Centre Medico Chirurgical Ambroise Pare Hartmann,blk_01260,2,3
Centre Paul Papin,blk_01281,2,2
Centre Regional Lutte Contre Le Cancer,blk_00678,2,7
Centre Rgional de Lutte contre le Cancer Val dAurelle- Paul Lamarque,blk_00678,2,7
Centre Val dAurelle - Paul Lamarque,blk_01282,2,5
Centre du Cancer des Cliniques Universitaires Saint-Luc,blk_00198,2,26
Centro Cardiologico Monzino S.p.A.,blk_00521,2,3
Cerevel Therapeutics LLC,blk_00667,2,2
Charit  University Medicine Berlin,blk_00068,2,40
Charit - Universittsmedizin Berlin Klinik fr Dermatologie und Allergologie,blk_00068,2,40
"Charit Campus Mitte, Klinik fr Psychiatrie und Psychotherapie",blk_01283,2,19
Charit Universitaetsmedizin,blk_00140,2,17
Charit Universittsmedizin,blk_00068,2,40
"Charit, Universittsmedizin Berlin",blk_00068,2,40
"Charit-Universittsmedizin Berlin, Department of Dermatology, Clinical Research Center for Hair and Skin Science",blk_00068,2,40
"Charit-Universittsmedizin Berlin, Klinik fr Dermatologie, Venerologie und Allergologie, CRC",blk_00068,2,40
Charite - Universittsmedizin Berlin,blk_00140,2,17
Charite Research Organisation GmbH,blk_00140,2,17
Chelsea Therapeutics Inc.,blk_00975,2,10
Chelsea and Westminster Hospital NHS Foundation Trust,blk_00975,2,10
Chiesi Farmaceutici,blk_00034,2,19
"Chimerix, Inc",blk_01284,2,4
Chiron Vaccines Limited,blk_00456,2,5
Chong Kun Dang Pharmaceutical Corp.,blk_01285,2,2
Chr. Hansen A/S,blk_01286,2,3
Christie Hospital,blk_00336,2,7
"Clinical Trials Center Aachen, University of Aachen",blk_00625,2,31
"Clinical research lab for neurodegeneration, Dept. of Neurology, St. Josef-Hospital, Ruhr-University",blk_01287,2,19
Cliniques Universitaires St Luc,blk_00198,2,26
Clnica Universidad de Navarra,blk_00291,2,5
"Coherus BioSciences, Inc.",blk_01288,2,2
"Coherus Biosciences, Inc",blk_01288,2,2
"Columbia Laboratories, Inc",blk_01289,2,2
Comarca Ezkerraldea-Enkarterri OSAKIDETZA,blk_01290,2,2
Commissariat a l'Energie Atomique et aux Energies Alternatives,blk_01291,2,2
Complejo Hospitalario Torrecrdenas,blk_01292,2,2
Complutense University Of Madrid,blk_01293,2,4
Consorci Mar Parc de Salut de Barcelona Parc de salut MAR,blk_00206,2,34
Consorci Sanitari Integral,blk_01263,2,7
Consorci Sanitari Terrassa,blk_01263,2,7
Consorci Sanitari de Terrassa,blk_01263,2,7
Consorcio de Apoyo a la Investigacin Biomdica en Red CAIBER,blk_00515,2,28
"Cook MyoSite, Incorporated",blk_01294,2,4
Copenhagen Neuromuscular Center,blk_01295,2,4
Copenhagen University Hospital at Hvidovre,blk_00221,2,34
"Copenhagen University Hospital, Rigshospitalet",blk_00014,2,40
Cosmo Technologies Limited,blk_00575,2,5
Cosmo Technologies Ltd,blk_00575,2,5
County Council of stergtland,blk_00393,2,9
Creabilis Limited,blk_01296,2,2
"Crinetics Pharmaceuticals, Inc.",blk_00373,2,2
Crucell Holland B.V.,blk_01265,2,3
"Cubist Pharmaceuticals LLC, an indirect wholly-owned subsidiary of Merck Sharp  Dohme Corp.",blk_00005,2,40
Curateq Biologics Private Limited,blk_00255,2,33
CureVac GmbH,blk_00671,2,4
"Curis, Inc.",blk_00672,2,2
"Cytokinetics, Inc",blk_00674,2,4
"CytomX Therapeutics, Inc.",blk_00984,2,2
Cytonet GmbH  Co KG,blk_01297,2,2
"Cytori Therapeutics, Inc",blk_01298,2,2
D-Pharm Ltd.,blk_01299,2,17
DAIICHI SANKYO DEVELOPMENT LTD.,blk_00069,2,23
DAIICHI SANKYO PHARMA DEVELOPMENT,blk_00069,2,23
"DAIICHI SANKYO, INC.",blk_00069,2,23
DBCG,blk_01300,2,3
DBV TECHNOLOGIES S.A.,blk_00986,2,5
DBV Technologies,blk_00986,2,5
"DIPARTIMENTO DI SCIENZE BIOMEDICHE SPERIMENTALI E CLINICHE, UNIVERSIT DI FIRENZE",blk_01301,2,7
DIPARTIMENTO DI SCIENZE CHIRURGICHE - UNIVERSIT DEGLI STUDI DI TORINO,blk_00209,2,40
DIRECTION CENTRALE DU SERVICE DE SANTE DES ARMEES,blk_01302,2,4
DKMS gemeinntzige GmbH,blk_01303,2,2
DR. REDDYS LABORATORIES LIMITED,blk_01304,2,5
DS Biopharma,blk_01305,2,2
Daiichi Sankyo Inc,blk_00069,2,23
Dance Biopharm Inc.,blk_01306,2,3
Danderyds sjukhus AB,blk_01307,2,6
Daniel Podzamczer,blk_00811,2,5
"Deciphera Pharmaceuticals, LLC",blk_00416,2,2
"Dekan des Fachbereichs Medizin der Goethe Universitt, represented by the Coordinating Investigator",blk_01308,2,3
"Dep. Anaesthesia and Intensive Care, Aarhus University  Hospital",blk_00036,2,40
Departamento de Microbiologa. Hospital Clinico San Carlos,blk_00424,2,14
"Department of Anaesthesiology and Intensive Care, University of Tartu",blk_00398,2,9
"Department of Cardiology, Copenhagen University Hospital Rigshospitalet",blk_00014,2,40
"Department of Cardiology, Rigshospitalet",blk_00014,2,40
"Department of Dermatology, Bispebjerg University Hospital",blk_00122,2,28
"Department of Endocrinology, Sahlgrenska University Hospital",blk_00180,2,28
"Department of Haematology, Aalborg University Hospital",blk_00164,2,27
"Department of Hepatology and Gastroenterology, Aarhus University Hospital",blk_00036,2,40
"Department of Infectious Diseases, Odense University Hospital",blk_00028,2,40
"Department of Nephrology and Renal Transplantation, KU Leuven",blk_00205,2,24
Department of Neurology UMCG,blk_00138,2,3
"Department of Neurology, Medical University of Vienna",blk_00041,2,40
"Department of Nuclear Medicine, Aalborg University Hospital",blk_00164,2,27
"Department of Nuclear Medicine, Odense University Hospital",blk_00028,2,40
Department of Oncology,blk_00176,2,11
"Department of Oncology, Rigshospitalet",blk_00014,2,40
"Department of Oncology, University Hospital Herlev",blk_00271,2,26
