"register","raw","normalised","n_trials","changed"
"CTIS","Germany / Spain / France / Italy / Poland","France / Germany / Italy / Poland / Spain",3,TRUE
"CTIS","Germany / Sweden","Germany / Sweden",3,FALSE
"CTIS","Hungary / Bulgaria / Poland","Bulgaria / Hungary / Poland",3,TRUE
"CTIS","Ireland / Spain / France","France / Ireland / Spain",3,TRUE
"CTIS","Italy / France / Belgium / Spain","Belgium / France / Italy / Spain",3,TRUE
"CTIS","Italy / France / Germany / Spain","France / Germany / Italy / Spain",3,TRUE
"CTIS","Italy / Germany / France / Spain","France / Germany / Italy / Spain",3,TRUE
"CTIS","Italy / Netherlands","Italy / Netherlands",3,FALSE
"CTIS","Italy / Poland / Spain","Italy / Poland / Spain",3,FALSE
"CTIS","Italy / Spain / France / Belgium","Belgium / France / Italy / Spain",3,TRUE
"CTIS","Lithuania","Lithuania",3,FALSE
"CTIS","Luxembourg","Luxembourg",3,FALSE
"CTIS","Netherlands / Denmark","Denmark / Netherlands",3,TRUE
"CTIS","Netherlands / France / Belgium","Belgium / France / Netherlands",3,TRUE
"CTIS","Netherlands / Spain / France","France / Netherlands / Spain",3,TRUE
"CTIS","Netherlands / Spain / France / Italy","France / Italy / Netherlands / Spain",3,TRUE
"CTIS","Netherlands / Spain / Germany","Germany / Netherlands / Spain",3,TRUE
"CTIS","Poland / Belgium","Belgium / Poland",3,TRUE
"CTIS","Poland / Croatia","Croatia / Poland",3,TRUE
"CTIS","Poland / France","France / Poland",3,TRUE
"CTIS","Poland / Germany / Spain","Germany / Poland / Spain",3,TRUE
"CTIS","Poland / Romania","Poland / Romania",3,FALSE
"CTIS","Poland / Spain / Italy","Italy / Poland / Spain",3,TRUE
"CTIS","Spain / Belgium / Poland","Belgium / Poland / Spain",3,TRUE
"CTIS","Spain / France / Italy / Germany","France / Germany / Italy / Spain",3,TRUE
"CTIS","Spain / France / Netherlands","France / Netherlands / Spain",3,TRUE
"CTIS","Spain / France / Portugal","France / Portugal / Spain",3,TRUE
"CTIS","Spain / Italy / France / Poland","France / Italy / Poland / Spain",3,TRUE
"CTIS","Spain / Italy / Germany / France","France / Germany / Italy / Spain",3,TRUE
"CTIS","Sweden / Finland","Finland / Sweden",3,TRUE
"CTIS","Sweden / Spain","Spain / Sweden",3,TRUE
"CTIS","Austria / Germany / Spain / Italy","Austria / Germany / Italy / Spain",2,TRUE
"CTIS","Austria / Italy","Austria / Italy",2,FALSE
"CTIS","Austria / Italy / Germany","Austria / Germany / Italy",2,TRUE
"CTIS","Austria / Spain","Austria / Spain",2,FALSE
"CTIS","Austria / Spain / Germany / France","Austria / France / Germany / Spain",2,TRUE
"CTIS","Belgium / Austria","Austria / Belgium",2,TRUE
"CTIS","Belgium / France / Italy","Belgium / France / Italy",2,FALSE
"CTIS","Belgium / France / Spain / Italy","Belgium / France / Italy / Spain",2,TRUE
"CTIS","Belgium / Germany / France","Belgium / France / Germany",2,TRUE
"CTIS","Belgium / Germany / Italy","Belgium / Germany / Italy",2,FALSE
"CTIS","Belgium / Netherlands / Spain","Belgium / Netherlands / Spain",2,FALSE
"CTIS","Belgium / Spain / France","Belgium / France / Spain",2,TRUE
"CTIS","Belgium / Spain / Germany / Poland","Belgium / Germany / Poland / Spain",2,TRUE
"CTIS","Belgium / Spain / Italy / France","Belgium / France / Italy / Spain",2,TRUE
"CTIS","Bulgaria / Poland / Belgium","Belgium / Bulgaria / Poland",2,TRUE
"CTIS","Croatia","Croatia",2,FALSE
"CTIS","Cyprus","Cyprus",2,FALSE
"CTIS","Czechia / Bulgaria","Bulgaria / Czech Republic",2,TRUE
"CTIS","Czechia / France","Czech Republic / France",2,TRUE
"CTIS","Czechia / Hungary / Poland","Czech Republic / Hungary / Poland",2,TRUE
"CTIS","Czechia / Netherlands","Czech Republic / Netherlands",2,TRUE
"CTIS","Czechia / Poland / France / Hungary","Czech Republic / France / Hungary / Poland",2,TRUE
"CTIS","Denmark / France / Germany / Spain / Italy","Denmark / France / Germany / Italy / Spain",2,TRUE
"CTIS","Denmark / Germany","Denmark / Germany",2,FALSE
"CTIS","Denmark / Netherlands","Denmark / Netherlands",2,FALSE
"CTIS","Denmark / Netherlands / Germany","Denmark / Germany / Netherlands",2,TRUE
"CTIS","Denmark / Norway / Sweden","Denmark / Norway / Sweden",2,FALSE
"CTIS","Finland / Germany","Finland / Germany",2,FALSE
"CTIS","Finland / Norway / Denmark / Sweden","Denmark / Finland / Norway / Sweden",2,TRUE
"CTIS","France / Belgium / Italy","Belgium / France / Italy",2,TRUE
"CTIS","France / Germany / Belgium","Belgium / France / Germany",2,TRUE
"CTIS","France / Germany / Poland","France / Germany / Poland",2,FALSE
"CTIS","France / Greece / Spain","France / Greece / Spain",2,FALSE
"CTIS","France / Italy / Germany / Spain / Poland","France / Germany / Italy / Poland / Spain",2,TRUE
"CTIS","France / Italy / Netherlands","France / Italy / Netherlands",2,FALSE
"CTIS","France / Italy / Spain / Germany","France / Germany / Italy / Spain",2,TRUE
"CTIS","France / Netherlands / Germany","France / Germany / Netherlands",2,TRUE
"CTIS","France / Netherlands / Spain / Italy","France / Italy / Netherlands / Spain",2,TRUE
"CTIS","France / Poland / Germany / Spain","France / Germany / Poland / Spain",2,TRUE
"CTIS","France / Spain / Denmark / Italy","Denmark / France / Italy / Spain",2,TRUE
"CTIS","France / Spain / Germany / Italy","France / Germany / Italy / Spain",2,TRUE
"CTIS","France / Spain / Germany / Poland / Italy","France / Germany / Italy / Poland / Spain",2,TRUE
"CTIS","France / Spain / Netherlands","France / Netherlands / Spain",2,TRUE
"CTIS","France / Spain / Netherlands / Germany","France / Germany / Netherlands / Spain",2,TRUE
