"register","raw","normalised","n_trials","changed"
"CTIS","Neoplasms benign, malignant and unspecified incl cysts and polyps / Non-small cell lung cancer","Neoplasms benign, malignant and unspecified incl cysts and polyps / Non-small cell lung cancer",4,FALSE
"CTIS","Neuroendocrine carcinoma metastatic","Neuroendocrine carcinoma",4,TRUE
"CTIS","Neuroendocrine tumor","Neuroendocrine tumour",4,TRUE
"CTIS","Non-muscle invasive bladder cancer","Non-muscle invasive bladder cancer",4,FALSE
"CTIS","Osteoporosis","Osteoporosis",4,FALSE
"CTIS","Pancreatic cancer","Pancreatic cancer",4,FALSE
"CTIS","Pancreatic cancer metastatic / Pancreatic cancer non-resectable","Pancreatic cancer / Pancreatic cancer non-resectable",4,TRUE
"CTIS","Pancreatic exocrine insufficiency","Pancreatic exocrine insufficiency",4,FALSE
"CTIS","Paroxysmal nocturnal haemoglobinuria","Paroxysmal nocturnal haemoglobinuria",4,FALSE
"CTIS","Phenylketonuria (PKU)","Phenylketonuria (pku)",4,TRUE
"CTIS","Polycythemia vera","Polycythemia vera",4,FALSE
"CTIS","Primary central nervous system lymphoma","Primary central nervous system lymphoma",4,FALSE
"CTIS","Progressive supranuclear palsy","Progressive supranuclear palsy",4,FALSE
"CTIS","Prostate cancer recurrent","Prostate cancer",4,TRUE
"CTIS","Psoriatic arthropathy","Psoriatic arthropathy",4,FALSE
"CTIS","Psychiatric disorders","Psychiatric disorders",4,FALSE
"CTIS","Pulmonary embolism","Pulmonary embolism",4,FALSE
"CTIS","Pulmonary fibrosis","Pulmonary fibrosis",4,FALSE
"CTIS","Rectal cancer stage II / Rectal cancer stage III","Rectal cancer",4,TRUE
"CTIS","Renal transplant","Renal transplant",4,FALSE
"CTIS","Sarcoma","Sarcoma",4,FALSE
"CTIS","Sickle cell anaemia","Sickle cell anaemia",4,FALSE
"CTIS","Sjogren's syndrome","Sjogren's syndrome",4,FALSE
"CTIS","Squamous cell carcinoma","Squamous cell carcinoma",4,FALSE
"CTIS","Squamous cell carcinoma of head and neck / Squamous cell carcinoma of head and neck metastatic","Squamous cell carcinoma of head and neck",4,TRUE
"CTIS","Squamous cell carcinoma of head and neck metastatic","Squamous cell carcinoma of head and neck",4,TRUE
"CTIS","Stargardt's disease","Stargardt's disease",4,FALSE
"CTIS","Surgical and medical procedures","Surgical and medical procedures",4,FALSE
