alias_clean,substances_all,n_substances,sources
tarceva,erlotinib|erlotinib hydrochloride,2,chembl|epar
tasigna,nilotinib|nilotinib hydrochloride monohydrate,2,chembl|epar|manual
tauvid,flortaucipir (18f)|flortaucipir f 18,2,chembl|epar
taxespira (previously docetaxel hospira uk limited ),docetaxel|docetaxel trihydrate,2,chembl|epar
tbr-652,cenicriviroc|cenicriviroc mesylate,2,chembl
tc-5214,dexmecamylamine|dexmecamylamine hydrochloride,2,chembl
tecartus,autologous peripheral blood t cells cd4 and cd8 selected and cd3 and cd28 activated transduced with retroviral vector expressing anti-cd19 cd28|cd3-zeta chimeric antigen receptor and cultured (brexucabtagene autoleucel)|brexucabtagene autoleucel,2,chembl|epar
technetium (99mtc) pertechnetate,sodium pertechnetate tc 99m|technetium tc-99m pertechnetate,2,chembl
tecovirimat siga,tecovirimat|tecovirimat monohydrate,2,chembl|epar
tekturna,aliskiren|aliskiren fumarate,2,chembl|epar
tenkasi (previously orbactiv),oritavancin (diphosphate)|oritavancin diphosphate,2,chembl|epar
tepmetko,tepotinib hydrochloride|tepotinib hydrochloride monohydrate,2,chembl|epar
terramycin,oxytetracycline|oxytetracycline calcium|oxytetracycline hydrochloride,3,chembl
tesavel,sitagliptin|sitagliptin phosphate,2,chembl|epar
teveten,eprosartan|eprosartan mesylate,2,chembl
th9507,tesamorelin|tesamorelin acetate,2,chembl
theryttrex,yttrium (90y) chloride|yttrium chloride y-90,2,chembl|epar
thorazine,chlorpromazine|chlorpromazine hydrochloride,2,chembl
tivicay,dolutegravir|dolutegravir sodium,2,chembl|epar
tookad,padeliporfin di-potassium|padeliporfin potassium,2,chembl|epar
topotecan actavis,topotecan|topotecan hydrochloride,2,chembl|epar
topotecan hospira,topotecan|topotecan hydrochloride,2,chembl|epar
topotecan teva,topotecan|topotecan hydrochloride,2,chembl|epar
torecan,thiethylperazine malate|thiethylperazine maleate,2,chembl
tracleer,bosentan|bosentan (as monohydrate),2,chembl|epar
tractocile,atosiban|atosiban (as acetate)|atosiban acetate,3,chembl|epar
treanda,bendamustine|bendamustine hydrochloride,2,chembl|manual
trelegy ellipta,fluticasone furoate|fluticasone furoate|umeclidinium bromide|vilanterol trifenatate,2,chembl|epar
tribasic calcium phosphate,"calcium phosphate, tribasic|durapatite",2,chembl
trobalt,ezogabine|retigabine,2,chembl|epar
trovan iv,alatrofloxacin mesilate|alatrofloxacin mesylate,2,chembl|epar
trumenba,neisseria meningitidis factor h binding protein|neisseria meningitidis serogroup b fhbp (recombinant lipidated fhbp (factor h binding protein)) subfamily a|neisseria meningitidis serogroup b fhbp (recombinant lipidated fhbp (factor h binding protein)) subfamily b,2,chembl|epar
trusopt,dorzolamide|dorzolamide hydrochloride,2,chembl
truvada,emtricitabine|tenofovir disoproxil|emtricitabine|tenofovir disoproxil fumarate,2,epar|manual
turalio,pexidartinib|pexidartinib hydrochloride,2,chembl|epar
turvel iv,alatrofloxacin mesilate|alatrofloxacin mesylate,2,chembl|epar
twinrix adult,hepatitis a virus (inactivated)|hepatitis b surface antigen|hepatitis b virus hbsag surface protein antigen,2,chembl|epar
twinrix paediatric,hepatitis a virus (inactivated)|hepatitis b surface antigen|hepatitis b virus hbsag surface protein antigen,2,chembl|epar
typhoid vi polysaccharide vaccine,salmonella typhi ty2 vi polysaccharide antigen|typhoid vi polysaccharide vaccine,2,chembl
tyvaso,treprostinil|treprostinil sodium,2,chembl|epar
tyverb,lapatinib|lapatinib ditosylate,2,chembl|epar
u3-1287,amg-888|patritumab,2,chembl
ultratard,insulin human|insulin human zinc,2,chembl|epar
unitensen,cryptenamine acetates|cryptenamine tannates,2,chembl
upcard,torasemide anhydrous|torsemide,2,chembl|epar
ux001,aceneuramic acid|sialic acid,2,chembl
vaniqa,eflornithine|eflornithine hydrochloride,2,chembl|epar
vargatef,nintedanib|nintedanib esylate,2,chembl|epar
varuby,rolapitant|rolapitant hydrochloride,2,chembl|epar
vaxchora,"vibrio cholerae, live attenuated|vibrio cholerae, strain cvd 103-hgr, live",2,chembl|epar
vaxneuvance,pneumococcal polysaccharide conjugate vaccine (adsorbed)|streptococcus pneumoniae polysaccharide conjugated to corynebacterium diphtheriae crm197,2,chembl|epar
vaxzevria (previously covid-19 vaccine astrazeneca),chadox1-sars-cov-2|chimpanzee adenovirus encoding sars-cov-2 spike glycoprotein,2,chembl|epar
velcade,bortezomib|bortezomib d-mannitol,2,chembl|epar|manual
veletri,epoprostenol sodium|tezosentan,2,chembl
velphoro,ferric oxyhydroxide|sucroferric oxyhydroxide,2,chembl|epar
vemlidy,tenofovir alafenamide|tenofovir alafenamide fumarate,2,chembl|epar
ventavis,iloprost|iloprost tromethamine,2,chembl|epar
ventolin,albuterol|albuterol sulfate,2,chembl
vepacel,"influenza a virus, inactivated whole virion|influenza virus (whole virion, inactivated), containing antigen of: a|vietnam|1203|2004 (h5n1)",2,chembl|epar
veraseal,"human fibrinogen, human thrombin|human fibrinogen|human thrombin",2,epar
verkazia,ciclosporin|cyclosporine,2,chembl|epar
vesicare,solifenacin|solifenacin succinate,2,chembl
vesprin,triflupromazine|triflupromazine hydrochloride,2,chembl
viagra,sildenafil|sildenafil citrate,2,chembl|epar
vibativ,telavancin|telavancin hydrochloride,2,chembl|epar
vibramycin,doxycycline|doxycycline calcium|doxycycline hyclate,3,chembl
vidprevtyn beta,"sars-cov-2 prefusion spike delta tm protein, recombinant (b.1.351 strain)|sars-cov-2 virus spike protein",2,chembl|epar
viekirax,ombitasvir|paritaprevir|ritonavir|ritonavir,2,chembl|epar
vimizim,elosulfase alfa|recombinant human n-acetylgalactosamine-6-sulfatase,2,chembl|epar
vipidia,alogliptin|alogliptin benzoate,2,chembl|epar
viracept,nelfinavir|nelfinavir mesylate,2,chembl|epar
viread,tenofovir disoproxil|tenofovir disoproxil fumarate,2,chembl|epar
vistaril,hydroxyzine hydrochloride|hydroxyzine pamoate,2,chembl
vivagel,astodrimer|astodrimer sodium,2,chembl
vivanza,vardenafil|vardenafil hydrochloride,2,chembl|epar
vizamyl,flutemetamol (18f)|flutemetamol f 18,2,chembl|epar
vizarsin,sildenafil|sildenafil citrate,2,chembl|epar
vizimpro,dacomitinib|dacomitinib monohydrate,2,chembl|epar
vocabria,cabotegavir sodium|cabotegravir|cabotegravir sodium,2,chembl|epar
vontrol,diphenidol|diphenidol hydrochloride,2,chembl
votrient,pazopanib|pazopanib hydrochloride,2,chembl|epar|manual
vs-6063,defactinib|defactinib hydrochloride,2,chembl
vumerity,diroximel fumarate|diroximel fumarate (biib098),2,chembl|epar
vydura,rimegepant|rimegepant sulfate,2,chembl|epar
vyndaqel,tafamidis|tafamidis meglumine,2,chembl|epar
wakix,pitolisant|pitolisant hydrochloride,2,chembl|epar
wilzin,zinc|zinc acetate,2,chembl|epar
win 40350,"calcium phosphate, tribasic|durapatite",2,chembl
win-40350,"calcium phosphate, tribasic|durapatite",2,chembl
wq-3034,delafloxacin|delafloxacin meglumine,2,chembl
x0002,ibuprofen trelamine|ibuprofen trelamine hydrochloride,2,chembl
xadago,safinamide|safinamide mesylate|safinamide methanesulfonate,3,chembl|epar
xagrid,anagrelide|anagrelide hydrochloride,2,chembl|epar
xaluprine (previously mercaptopurine nova laboratories),6-mercaptopurine monohydrate|mercaptopurine,2,chembl|epar
xelevia,sitagliptin|sitagliptin phosphate,2,chembl|epar
xeljanz,tofacitinib|tofacitinib citrate,2,chembl|epar
xerava,eravacycline|eravacycline dihydrochloride,2,chembl|epar
xermelo,telotristat ethyl|telotristat etiprate,2,chembl|epar
xl-652,bms-779788|bms-852927,2,chembl
xofigo,radium (223ra) dichloride|radium ra 223 dichloride,2,chembl|epar
xospata,gilteritinib|gilteritinib fumarate,2,chembl|epar|manual
xromi,hydroxycarbamide|hydroxyurea,2,chembl|epar
xylocaine,lidocaine|lidocaine hydrochloride,2,chembl
xyzal,levocetirizine|levocetirizine dihydrochloride,2,chembl
yellox,bromfenac sodium|bromfenac sodium sesquihydrate,2,chembl|epar
ytracis,yttrium (90y) chloride|yttrium chloride y-90,2,chembl|epar
yttriga,yttrium (90y) chloride|yttrium chloride y-90,2,chembl|epar
zabdeno,adenovirus type 26 encoding ebola virus glycoprotein|recombinant adenovirus type 26 (ad26) encoding the glycoprotein (gp) of the ebola virus zaire (zebov) mayinga strain,2,chembl|epar
zalmoxis,allogeneic t cells genetically modified with a retroviral vector encoding for a truncated form of the human low affinity nerve growth factor receptor (deltalngfr) and the herpes simplex i virus thymidine kinase (hsv-tk mut2)|allogeneic t cells genetically modified with a retroviral vector encoding for a truncated form of the human low affinity nerve growth factor receptor (δlngfr) and the herpes simplex i virus thymidine kinase (hsv-tk mut2),2,chembl|epar
zalviso,sufentanil|sufentanil citrate,2,chembl|epar
zejula,niraparib|niraparib (tosilate monohydrate)|niraparib tosylate monohydrate,3,chembl|epar|manual
zelnorm,tegaserod|tegaserod maleate,2,chembl|epar
zemdri,plazomicin (sulfate)|plazomicin sulfate,2,chembl|epar
zevalin,ibritumomab tiuxetan|yttrium y 90 ibritumomab tiuxetan,2,chembl|epar
ziagen,abacavir|abacavir sulfate,2,chembl|epar
zilbrysq,zilucoplan|zilucoplan sodium,2,chembl|epar
zinforo,ceftaroline fosamil|ceftaroline fosamil acetate,2,chembl|epar
zmapp,cosfroviximab|larcaviximab|porgaviximab,3,chembl
zoely,nomegestrol acetate|nomegestrol acetate|estradiol,2,chembl|epar
zoladex,goserelin|goserelin acetate,2,chembl|manual
zoledronic acid accord,zoledronic acid|zoledronic acid monohydrate,2,chembl|epar
zoledronic acid actavis,zoledronic acid|zoledronic acid monohydrate,2,chembl|epar
zoledronic acid hospira,zoledronic acid|zoledronic acid monohydrate,2,chembl|epar
zoledronic acid medac,zoledronic acid|zoledronic acid monohydrate,2,chembl|epar
zoledronic acid teva generics,zoledronic acid|zoledronic acid monohydrate,2,chembl|epar
zolsketil pegylated liposomal,"doxorubicin hydrochloride|doxorubicin hydrochloride, liposomal",2,chembl|epar
zometa,zoledronic acid|zoledronic acid|zoledronic acid monohydrate,2,chembl|epar
zostavax,"varicella zoster virus, live attenuated|varicella-zoster virus (live, attenuated)",2,chembl|epar
zovirax,acyclovir|acyclovir sodium,2,chembl
zutectra,hepatitis b immune globulin|human hepatitis b immunoglobulin,2,chembl|epar
zycortal,desoxycorticosterone pivalate|desoxycortone pivalate,2,chembl|epar
zyllt,clopidogrel (as hydrogen sulfate)|clopidogrel bisulfate,2,chembl|epar
zynteglo,autologous cd34+ cell enriched population that contains haematopoietic stem cells transduced with lentiviral vector encoding the βa-t87q-globin gene|betibeglogene autotemcel,2,chembl|epar
zytiga,abiraterone|abiraterone acetate,2,chembl|epar|manual
