alias_clean,substances_all,n_substances,sources
dengvaxia,"chimeric yellow fever dengue virus serotype 1 (live, attenuated)|chimeric yellow fever dengue virus serotype 2 (live, attenuated)|chimeric yellow fever dengue virus serotype 3 (live, attenuated)|chimeric yellow fever dengue virus serotype 4 (live, attenuated)|chimeric yellow fever dengue virus, live attenuated",2,chembl|epar
depakote,divalproex sodium|valproic acid,2,chembl
destara,ibandronate sodium|ibandronic acid,2,chembl|epar
dextran,dextran|dextran 1,2,chembl
dextran 40,dextran|dextran 40,2,chembl
dextropropoxyphene,propoxyphene|propoxyphene hydrochloride,2,chembl
diamox,acetazolamide|acetazolamide sodium,2,chembl
dilantin,phenytoin|phenytoin sodium,2,chembl
dimesna,"2,2'-dithiodiethanesulfonic acid|dimesna",2,chembl
dimethisterone,dimethisterone|dimethisterone anhydrous,2,chembl
diractin,ketoprofen|ketoprofen sodium,2,chembl|epar
diuril,chlorothiazide|chlorothiazide sodium,2,chembl
dl-d-600,gallopamil|methoxyverapamil,2,chembl
dm199,recombinant human kallikrein-1|rinvecalinase alfa,2,chembl
docefrez,docetaxel|docetaxel anhydrous,2,chembl|epar
docetaxel kabi,docetaxel|docetaxel anhydrous,2,chembl|epar
docetaxel mylan,docetaxel|docetaxel anhydrous,2,chembl|epar
docetaxel teva pharma,docetaxel|docetaxel anhydrous,2,chembl|epar
doribax,doripenem|doripenem monohydrate,2,chembl|epar
"dov 216,419",centanafadine|centanafadine hydrochloride,2,chembl
dov 21947,amitifadine|amitifadine hydrochloride,2,chembl
dovato,dolutegravir sodium|dolutegravir sodium|lamivudine,2,chembl|epar
doxil,doxorubicin|doxorubicin hydrochloride,2,chembl|manual
dtpa,pentetic acid|technetium tc 99m pentetate,2,chembl
duavive,bazedoxifene acetate|oestrogens conjugated|bazedoxifene,2,chembl|epar
duloxetine boehringer ingelheim,duloxetine|duloxetine hydrochloride,2,chembl|epar
duloxetine lilly,duloxetine|duloxetine hydrochloride,2,chembl|epar
duloxetine zentiva,duloxetine|duloxetine hydrochloride,2,chembl|epar
duoresp spiromax,budesonide|budesonide|formoterol fumarate dihydrate,2,chembl|epar
durapatite,"calcium phosphate, tribasic|durapatite",2,chembl
duvyzat,givinostat hydrochloride|givinostat hydrochloride monohydrate,2,chembl|epar
e-3810,lucitanib|rabeprazole sodium,2,chembl
e-z scrub,chlorhexidine gluconate|hexachlorophene,2,chembl
e5555,atopaxar|atopaxar hydrobromide,2,chembl
eb-1020,centanafadine|centanafadine hydrochloride,2,chembl
ebilfumin,oseltamivir|oseltamivir phosphate,2,chembl|epar
echogen,dodecafluoropentane|perflenapent,2,chembl|epar
edarbi,azilsartan kamedoxomil|azilsartan medoxomil,2,chembl|epar
edecrin,ethacrynate sodium|ethacrynic acid,2,chembl
edistride,dapagliflozin propanediol|dapagliflozin propanediol monohydrate,2,chembl|epar
edurant,rilpivirine|rilpivirine hydrochloride,2,chembl|epar
effentora,fentanyl|fentanyl citrate,2,chembl|epar
efient,prasugrel|prasugrel hydrochloride,2,chembl|epar
eligard,leuprolide acetate|leuprorelin,2,chembl|manual
ellaone,ulipristal|ulipristal acetate,2,chembl|epar
ellence,epirubicin|epirubicin hydrochloride,2,chembl|manual
emd 1195686,safinamide|safinamide mesylate,2,chembl
emend,aprepitant|fosaprepitant dimeglumine,2,chembl|epar
endolucinbeta,lutetium (177lu) chloride|lutetium chloride lu-177,2,chembl|epar
entecavir viatris (previously entecavir mylan),entecavir|entecavir monohydrate,2,chembl|epar
enviage,aliskiren|aliskiren fumarate,2,chembl|epar
enzepi,"pancreas powder|pancreas powder, porcine",2,chembl|epar
episalvan,betulae cortex|birch triterpenes,2,chembl|epar
erelib,eslicarbazepine|eslicarbazepine acetate,2,chembl
ertugliflozin,ertugliflozin|ertugliflozin pidolate,2,chembl
ervebo,"recombinant vesicular stomatitis virus (strain indiana) with a deletion of the envelope glycoprotein, replaced with the zaire ebolavirus (strain kikwit 1995) surface glycoprotein|vesicular stomatitis virus encoding ebola virus glycoprotein",2,chembl|epar
evarrest,"fibrinogen, human|human fibrinogen|human thrombin",2,chembl|epar
evotopin,topotecan|topotecan hydrochloride,2,chembl|epar
evp-6124,encenicline|encenicline hydrochloride,2,chembl
exblifep,cefepime dihydrochloride monohydrate|enmetazobactam|cefepime hydrochloride,2,chembl|epar
exelon,rivastigmine|rivastigmine tartrate,2,chembl|epar
exkivity,mobocertinib|mobocertinib succinate,2,chembl|epar
extavia,interferon beta|interferon beta-1b,2,chembl|epar
exviera,dasabuvir sodium|dasabuvir sodium monohydrate,2,chembl|epar
f2695,levomilnacipran|levomilnacipran hydrochloride,2,chembl
fabhalta,iptacopan hydrochloride|iptacopan hydrochloride monohydrate,2,chembl|epar
fampridine accord,dalfampridine|fampridine,2,chembl|epar
fampyra,dalfampridine|fampridine,2,chembl|epar
fareston,toremifene|toremifene citrate,2,chembl|epar
farydak,panobinostat|panobinostat lactate|panobinostat lactate anhydrous,3,chembl|epar
"fbs0701, spd602",deferitazole|deferitazole magnesium,2,chembl
fc41-12 (perflenapent/perflisopent mixture),perflenapent|perflisopent,2,chembl
fendrix,hepatitis b surface antigen|hepatitis b virus hbsag surface protein antigen,2,chembl|epar
ferric hydroxide,ferric hydroxide|ferric oxyhydroxide,2,chembl
fespixon,centella asiatica extract|plectranthus amboinicus extract,2,chembl
fetcroja,cefiderocol sulfate tosilate|cefiderocol sulfate tosylate,2,chembl|epar
fexeric,ferric citrate|ferric citrate coordination complex,2,chembl|epar
filsuvez,"birch triterpenes|dry extract from birch bark (der 5-10 : 1), extraction solvent n-heptane 95% (w|w)",2,chembl|epar
fingolimod,fingolimod|fingolimod hydrochloride,2,chembl
fingolimod mylan,fingolimod|fingolimod hydrochloride,2,chembl|epar
finlee,dabrafenib mesilate|dabrafenib mesylate,2,chembl|epar
firazyr,icatibant|icatibant acetate,2,chembl|epar
firdapse (previously zenas),amifampridine|amifampridine phosphate,2,chembl|epar
firmagon,degarelix|degarelix acetate,2,chembl|epar
flebogamma dif (previously flebogammadif),human immunoglobulin g|human normal immunoglobulin,2,chembl|epar
fluenz,"influenza virus a|victoria|4897|2022 (h1n1)pdm09 - like strain (a|norway|31694|2022, medi 369815), a a|croatia|10136rv|2023 (h3n2)-like strain (a|perth|722|2024, medi 392611) b|austria|1359417|2021 - like strain (b|austria|1359417|2021, medi 355292)|reassortant influenza virus (live attenuated) of the following strains:a|california|7|2009 (h1n1)pdm09 like strain, a|victoria|361|2011 (h3n2) like strain, b|massachusetts|2|2012 like strain",2,epar
fluocinolone,fluocinolone|fluocinolone acetonide,2,chembl
flurazepam,flurazepam|flurazepam hydrochloride,2,chembl
forcaltonin,calcitonin salmon|recombinant salmon calcitonin,2,chembl|epar
fortical,calcitonin salmon|maltodextrin,2,chembl
forxiga,dapagliflozin propanediol|dapagliflozin propanediol monohydrate,2,chembl|epar
fosamax,alendronate sodium|alendronic acid,2,chembl
fosavance,alendronate sodium|alendronic acid|colecalciferol,2,chembl|epar
fosfomycin sodium,fosfomycin|fosfomycin sodium,2,chembl
fotivda,tivozanib|tivozanib hydrochloride,2,chembl|epar
g9s0vv191i,lactase|tilactase,2,chembl
gabitril,tiagabine|tiagabine hydrochloride,2,chembl
galafold,migalastat|migalastat hydrochloride,2,chembl|epar
gallopamil,gallopamil|methoxyverapamil,2,chembl
gamophen,hexachlorophene|triclosan,2,chembl
gantrisin,sulfisoxazole|sulfisoxazole acetyl|sulfisoxazole diolamine,3,chembl
gardasil,"human papillomavirus type 6 l1 protein|human papillomavirus type 11 l1 protein|human papillomavirus type 16 l1 protein|human papillomavirus type 18 l1 protein|human papillomavirus, l1 protein virus like particles",2,chembl|epar
gardasil 9,"human papillomavirus vaccine [types 6, 11, 16, 18, 31, 33, 45, 52, 58] (recombinant, adsorbed)|human papillomavirus, l1 protein virus like particles",2,chembl|epar
gemzar,gemcitabine|gemcitabine hydrochloride,2,chembl|manual
genasense,oblimersen|oblimersen sodium,2,chembl|epar
geodon,ziprasidone hydrochloride|ziprasidone mesylate,2,chembl
gilotrif,afatinib|afatinib dimaleate,2,chembl
giotrif,afatinib|afatinib dimaleate,2,chembl|epar
givlaari,givosiran|givosiran sodium,2,chembl|epar
gleevec,imatinib|imatinib mesylate,2,chembl|manual
gliolan,5-aminolevulinic acid hydrochloride|aminolevulinic acid hydrochloride,2,chembl|epar
glivec,imatinib|imatinib mesylate,2,chembl|epar|manual
glp-1,glp-1|glucagon-like peptide 1,2,chembl
glucosulfone,glucosulfone|sodium glucosulfone,2,chembl
gmi-1070,rivipansel|rivipansel sodium,2,chembl
granupas (previously para-aminosalicylic acid lucane),aminosalicylic acid|para-aminosalicylic acid,2,chembl|epar
grepid,clopidogrel (as besilate)|clopidogrel besilate,2,chembl|epar
grn163l,imetelstat|imetelstat sodium,2,chembl
gs-9883,bictegravir|bictegravir sodium,2,chembl
gs-9883-01,bictegravir|bictegravir sodium,2,chembl
gsk1349572a,dolutegravir|dolutegravir sodium,2,chembl
gsk557296b,epelsiban|epelsiban besylate,2,chembl
halaven,eribulin|eribulin mesylate,2,chembl|epar|manual
haldol,haloperidol|haloperidol decanoate|haloperidol lactate,3,chembl
hb-201,esepapogene zalarnarepvec|hb-201,2,chembl
hb-202,hb-202|ninsipapogene sibarnarepvec,2,chembl
hbvaxpro,"hepatitis b virus hbsag surface protein antigen|hepatitis b, recombinant surface antigen",2,chembl|epar
helicobacter test infai,urea (13c)|urea c 13,2,chembl|epar
hemabate,carboprost|carboprost tromethamine,2,chembl
hepacare,"hepatitis b surface antigens recombinant (s, pre-s1, pre-s2) adsorbed on aluminium hydroxide [produced on genetically engineered murine (c127i) cells]|hepatitis b virus s protein, pre-s1 protein and pre-s2 protein virus like particles",2,chembl|epar
hepcludex,bulevirtide|bulevirtide acetate,2,chembl|epar
heplisav b,hepatitis b surface antigen|hepatitis b virus hbsag surface protein antigen,2,chembl|epar
hesperidin,diosmin|hesperidin,2,chembl
hexadrol,dexamethasone|dexamethasone sodium phosphate,2,chembl
hizentra,human immunoglobulin g|human normal immunoglobulin (scig),2,chembl|epar
hl 275,alvocidib|alvocidib hydrochloride,2,chembl
hmr 1275,alvocidib|alvocidib hydrochloride,2,chembl
htf 919,tegaserod|tegaserod maleate,2,chembl
huj591,huj591 111in|huj591 177lu,2,chembl
huj591-gs,j591|j591 177lu,2,chembl
humenza,"influenza a virus, split virion|split influenza virus, inactivated, containing antigen*: a|california|7|2009 (h1n1)v like strain (x-179a)*propagated in eggs.",2,chembl|epar
hycamtin,topotecan|topotecan hydrochloride,2,chembl|epar|manual
hydrocortone,hydrocortisone|hydrocortisone acetate|hydrocortisone sodium phosphate,3,chembl
hypaque,diatrizoate meglumine|diatrizoate sodium,2,chembl
iasibon,ibandronate sodium|ibandronic acid,2,chembl|epar
ib1001,levacetylleucine|trenonacog alfa,2,chembl
ibandronic acid accord,ibandronate sodium|ibandronic acid,2,chembl|epar
ibandronic acid sandoz,ibandronate sodium|ibandronic acid,2,chembl|epar
ibandronic acid teva,ibandronate sodium|ibandronic acid,2,chembl|epar
iclusig,ponatinib|ponatinib hydrochloride,2,chembl|epar|manual
idamycin,idarubicin|idarubicin hydrochloride,2,chembl|manual
idec-159,idec-159|idec-159 111in|idec-159 90y,3,chembl
idhifa,enasidenib|enasidenib mesylate,2,chembl|manual
ikervis,ciclosporin|cyclosporine,2,chembl|epar
im051,crexavibart|ogalvibart,2,chembl
imatinib accord,imatinib|imatinib mesylate,2,chembl|epar
imatinib actavis,imatinib|imatinib mesylate,2,chembl|epar
imatinib koanaa,imatinib mesilate|imatinib mesylate,2,chembl|epar
imatinib medac,imatinib|imatinib mesylate,2,chembl|epar
imatinib teva,imatinib|imatinib mesylate,2,chembl|epar
imatinib teva b.v.,imatinib mesilate|imatinib mesylate,2,chembl|epar
imciromab,imciromab|imciromab pentetate,2,chembl
