brand_name_clean,substance_clean
alpha keri,mineral oil
alphacaine,lidocaine
alphacaine hydrochloride,lidocaine hydrochloride
alphacard mr,tamsulosin hydrochloride
alphaderm,hydrocortisone
alphadrol,fluprednisolone
alphagan,brimonidine tartrate
alphagan p,brimonidine tartrate
alphalin,vitamin a palmitate
alphaprodine,alphaprodine
alpharedisol,hydroxocobalamin
alphatrex,betamethasone dipropionate
alphavase 0.5,prazosin hydrochloride
alphavase 1,prazosin hydrochloride
alphavase 2,prazosin hydrochloride
alphavase 5,prazosin hydrochloride
alphazine,phendimetrazine tartrate
alpheon,recombinant human interferon alfa-2a
alphodith,anthralin
alphosyl,coal tar
alpidem,alpidem
alpivab,peramivir
alprazolam,alprazolam
alprenolol,alprenolol
alprolix,eftrenonacog alfa
alprostadil,alprostadil
alredase,tolrestat
alrex,loteprednol etabonate
alrheumat,ketoprofen
alsitek,masitinib mesilate
alsuma,sumatriptan succinate
altabax,retapamulin
altace,ramipril
altacite,hydrotalcite
altargo,retapamulin
alteplase,alteplase
althiazide,althiazide
altim,cortivazol
altiratinib,altiratinib
altoprev,lovastatin
altreno,tretinoin
altrenogest,altrenogest
altretamine,altretamine
altuviiio,efanesoctocog alfa
altuvoct,efanesoctocog alfa
alu-cap,aluminum hydroxide
aludrox,aluminum hydroxide
aluline 100,allopurinol
aluline 300,allopurinol
aluminum acetate component of borofair,aluminum acetate
aluminum hydroxide component of gaviscon,aluminum hydroxide
alunbrig,brigatinib
alunex,chlorpheniramine maleate
alupent,metaproterenol sulfate
alupent obstetric,metaproterenol sulfate
alupram 10,diazepam
alupram 2,diazepam
alupram 5,diazepam
alurate,aprobarbital
aluzine 20,furosemide
aluzine 40,furosemide
aluzine 500,furosemide
alvaiz,eltrombopag choline
alvedon,acetaminophen
alventa xl,venlafaxine
alverine,alverine
alverine citrate,alverine citrate
alvesco,ciclesonide
alvesco 160,ciclesonide
alvesco 80,ciclesonide
alvespimycin hydrochloride,alvespimycin hydrochloride
alvimopan,alvimopan
alvircept sudotox,alvircept sudotox
alvocidib,alvocidib
alvocidib hydrochloride,alvocidib hydrochloride
alyftrek,deutivacaftor;tezacaftor;vanzacaftor calcium dihydrate
alymsys,bevacizumab
alysine,sodium salicylate
alzain,pregabalin
alzyme,tacrine hydrochloride
amadinone acetate,amadinone acetate
amantadine,amantadine
amantadine hydrochloride,amantadine hydrochloride
amaryl,glimepiride
amatuximab,amatuximab
ambaxin,bacampicillin hydrochloride
ambenyl cough syrup,codeine phosphate
ambicromil,probicromil
ambien,zolpidem tartrate
ambien cr,zolpidem tartrate
ambirix,hepatitis a virus (inactivated);hepatitis b surface antigen
ambisome,amphotericin b
ambodryl,bromodiphenhydramine hydrochloride
ambomycin,ambomycin
ambrisentan,ambrisentan
ambrisentan mylan,ambrisentan
ambrisentan viatris (previously ambrisentan mylan),ambrisentan
ambrisentan zentiva,ambrisentan
ambruticin,ambruticin
ambuside,ambuside
ambutyrate,sodium phenylbutyrate
amcasertib,amcasertib
amcenestrant,amcenestrant
amcill,ampicillin
