brand_name_clean,substance_clean
levonorgestrel component of trivora,levonorgestrel
levonorgestrel component of twirla,levonorgestrel
levonorgestrel component of tyblume,levonorgestrel
levonorgestrel component of vienva,levonorgestrel
levophed,norepinephrine bitartrate
levoprome,levomepromazine
levopropoxyphene,levopropoxyphene
levopropoxyphene napsylate,levopropoxyphene napsylate
levorphanol tartrate,levorphanol tartrate
levosert,levonorgestrel
levosimendan,levosimendan
levothroid,levothyroxine sodium
levothyroxine sodium,levothyroxine sodium
levotofisopam,levotofisopam
levotonine,oxitriptan
levoxyl,levothyroxine sodium
levulan,aminolevulinic acid hydrochloride
levviax,telithromycin
lexanersen,lexanersen
lexanersen sodium,lexanersen sodium
lexanopadol,lexanopadol
lexapro,escitalopram oxalate
lexatumumab,lexatumumab
lexette,halobetasol propionate
lexibulin,lexibulin
lexipafant,lexipafant
lexiscan,regadenoson
lexithromycin,lexithromycin
lexiva,fosamprenavir calcium
lexotan,bromazepam
lexpec,folic acid
lextemy,bevacizumab
lexylan,cefalexin sodium;cefalexin
lh releasing factor,gonadorelin acetate
li-liquid,lithium citrate
liafensine,liafensine
lialda,mesalamine
liarozole,liarozole
liatermin,liatermin
libanil,glyburide
libenzapril,libenzapril
liberim hb,hepatitis b immune globulin
libertek,roflumilast
libervant,diazepam
libetist,albuterol
libmeldy,atidarsagene autotemcel
libmyris,adalimumab
librela,bedinvetmab
librelease,chlordiazepoxide
libritabs,chlordiazepoxide
librium,chlordiazepoxide hydrochloride
libtayo,cemiplimab
licaminlimab,licaminlimab
licart,diclofenac epolamine
licostinel,licostinel
lidanar,mesoridazine
lidex,fluocinonide
lidex-e,fluocinonide
lidifen,ibuprofen
lidifen-f,ibuprofen
lido hcl,lidocaine hydrochloride
lidocaine,lidocaine
lidocaine component of emla,lidocaine
lidocaine component of fortacin,lidocaine
lidocaine component of lanabiotic,lidocaine
lidocaine component of oraqix,lidocaine
lidocaine component of pliaglis,lidocaine
lidocaine component of rocephin kit,lidocaine
lidocaine component of synera,lidocaine
lidocaine hydrochloride,lidocaine hydrochloride
lidocaine hydrochloride component of duocaine,lidocaine hydrochloride
lidocaine hydrochloride component of embolex,lidocaine hydrochloride
lidocaine hydrochloride component of hbn-1,lidocaine hydrochloride
lidocaine hydrochloride component of iontocaine,lidocaine hydrochloride
lidocaine hydrochloride component of lidosite topical system kit,lidocaine hydrochloride
lidocaine hydrochloride component of lignospan forte,lidocaine hydrochloride
lidocaine hydrochloride component of octocaine,lidocaine hydrochloride
lidocaine hydrochloride preservative free,lidocaine hydrochloride
lidocaine hydrochloride viscous,lidocaine hydrochloride
lidocaine viscous,lidocaine hydrochloride
lidocaton,lidocaine hydrochloride
lidoderm,lidocaine
lidofenin,lidofenin
lidoflazine,lidoflazine
lidopen,lidocaine hydrochloride
lidorestat,lidorestat
lifarizine,lifarizine
lifastuzumab vedotin,lifastuzumab vedotin
life ext,melatonin
lifibrate,lifibrate
lifibrol,lifibrol
lifileucel,lifileucel
lifirafenib,lifirafenib
lifirafenib maleate,lifirafenib maleate
lifitegrast,lifitegrast
lifmior,etanercept
ligelizumab,ligelizumab
lignocaine hcl,lidocaine
lignokent,lidocaine hydrochloride
lignospan special,lidocaine hydrochloride
lignostab,lidocaine hydrochloride
lignostab a 100,lidocaine hydrochloride
lignostab n,lidocaine hydrochloride
lignostab-a,lidocaine hydrochloride
likmez,metronidazole
liletta,levonorgestrel
lilotomab,lilotomab
limbitrol 5,amitriptyline hydrochloride
lin-gam,gamolenic acid
linaclotide,linaclotide
linaclotide acetate,linaclotide acetate
linagliptin,linagliptin
linagliptin component of glyxambi,linagliptin
linagliptin component of jentadueto,linagliptin
linagliptin component of trijardy xr,linagliptin
linarotene,linarotene
linavonkibart,linavonkibart
lincocin,lincomycin hydrochloride
lincomycin,lincomycin
lincomycin hydrochloride,lincomycin hydrochloride
lindane,lindane
linerixibat,linerixibat
linezolid,linezolid
lingraine,ergotamine tartrate
linifanib,linifanib
linodil,inositol niacinate
linogliride,linogliride
linoleic acid component of vitamin f,linoleic acid
linopirdine,linopirdine
linrodostat,linrodostat
linrodostat mesylate,linrodostat mesylate
linsitinib,linsitinib
lintex,niclosamide
linvencorvir,linvencorvir
linvoseltamab,linvoseltamab
linzagolix,linzagolix
linzagolix choline,linzagolix choline
linzess,linaclotide
lioresal,baclofen
lioresal intrath,baclofen
liosol,xenbucin
liothyronine,liothyronine
liothyronine i 131,liothyronine i 131
liothyronine sodium,liothyronine sodium
lipanthyl,fenofibric acid
lipantil,fenofibrate
lipantil micro 200,fenofibrate
lipantil micro 267,fenofibrate
lipantil micro 67,fenofibrate
liparol xl,bezafibrate
lipegfilgrastim,lipegfilgrastim
lipemol,pravastatin sodium
lipidil,fenofibrate
lipiodol,ethiodized oil
lipitor,atorvastatin calcium
liplat,pravastatin sodium
lipo gantrisin,sulfisoxazole acetyl
lipo polyglycol 3350,polyethylene glycol 3350
lipo-hepin,heparin sodium
lipobay,cerivastatin
lipofen,fenofibrate
lipostat,pravastatin sodium
lipoxol 3350 med,polyethylene glycol 3350
liprolog,insulin lispro
liprotamase,liprotamase
lipsore,acyclovir
liq paraf light,mineral oil
liqrev,sildenafil citrate
liquaemin lock flush,heparin sodium
liquaemin sodium,heparin sodium
liquaemin sodium preservative free,heparin sodium
liquamar,phenprocoumon
liqufruta,guaifenesin
liquiband,2-octyl cyanoacrylate
liquid bandage,2-octyl cyanoacrylate
liquid e-z-paque,barium sulfate
liquid pred,prednisone
liquifilm,polyvinyl alcohol
liquivent,perflubron
liquivet,2-octyl cyanoacrylate
lirafugratinib,lirafugratinib
lirafugratinib hydrochloride,lirafugratinib hydrochloride
liraglutide,liraglutide
liraglutide component of xultophy 100/3.6,liraglutide
lirentelimab,lirentelimab
lirilumab,lirilumab
lisadimate,lisadimate
lisavanbulin,lisavanbulin
lisdexamfetamine dimesylate,lisdexamfetamine dimesylate
liserdol,metergoline
lisinopril,lisinopril
lisinopril component of prinzide,lisinopril
lisinopril component of zestoretic,lisinopril
liskantin,primidone
liskonum,lithium carbonate
lisocabtagene maraleucel,lisocabtagene maraleucel
lisofylline,lisofylline
lisopress,lisinopril
listerine,thymol
litak,cladribine
litarex,lithium citrate
litfulo,ritlecitinib tosilate
litgenprostucel-l,litgenprostucel-l
litgenprostucel-l component of gvax prostate,litgenprostucel-l
lithane,lithium carbonate
lithium carbonate,lithium carbonate
lithium citrate,lithium citrate
lithobid,lithium carbonate
lithofalk,chenodiol
lithonate,lithium carbonate
lithostat,acetohydroxamic acid
lithotabs,lithium carbonate
litifilimab,litifilimab
litronesib,litronesib
livalo,pitavastatin calcium
livdelzi,seladelpar lysine
livensa,testosterone
livial,tibolone
livmarli,maralixibat chloride
livmoniplimab,livmoniplimab
livnate,pegipanermin
livogiva,teriparatide
livostin,levocabastine hydrochloride
livostin direct,levocabastine
livtencity,maribavir
lixar,lixivaptan
lixiana,edoxaban tosilate
lixil,bumetanide
lixisenatide,lixisenatide
lixisenatide component of soliqua 100/33,lixisenatide
lixivaptan,lixivaptan
lixudebart,lixudebart
lmtx,hydromethylthionine mesylate
lmx 4,lidocaine
loargys,pegzilarginase
lobendazole,lobendazole
lobucavir,lobucavir
lobufen,ibuprofen
locabiotal,fusafungine
locametz,gozetotide
locan,tetracaine hydrochloride
locatim (previously serinucoli),bovine concentrated lactoserum containing specific immunoglobulins g against e. coli f5 (k99) adhesin
loceryl,amorolfine
loceryl curanail,amorolfine
locholest,cholestyramine
locholest light,cholestyramine
lockes,sodium chloride
lockets,menthol
locoid,hydrocortisone butyrate
locoid c,hydrocortisone butyrate
locoid crelo,hydrocortisone butyrate
locoid lipocream,hydrocortisone butyrate
locorten,flumethasone pivalate
locorten-vioform,flumethasone pivalate
locteron,interferon alfa-2b
lodapolimab,lodapolimab
lodelaben,lodelaben
lodema,coumarin
lodenosine,lodenosine
lodiar,loperamide hydrochloride
lodine,etodolac
lodine sr,etodolac
lodine xl,etodolac
lodipressin,amlodipine besilate
lodoco,colchicine
lodosyn,carbidopa
lodotra,prednisone
lodoxamide,lodoxamide
lodoxamide trometamol,lodoxamide tromethamine
lodoxamide tromethamine,lodoxamide tromethamine
lofensaid 25,diclofenac sodium
lofensaid 50,diclofenac sodium
lofensaid ret 100,diclofenac sodium
lofensaid ret 75,diclofenac sodium
lofentanil,lofentanil
lofepramine,lofepramine
lofexidine,lofexidine
lofexidine hydrochloride,lofexidine hydrochloride
lofibra,fenofibric acid
lofrin,fenleuton
logiparin,tinzaparin sodium
lojuxta,lomitapide
lokelma,sodium zirconium cyclosilicate
lomaira,phentermine hydrochloride
lomedeucitinib,lomedeucitinib
lomefloxacin,lomefloxacin
lomefloxacin hydrochloride,lomefloxacin hydrochloride
lometrexol,lometrexol
lomibuvir,lomibuvir
lomitapide,lomitapide
lomitapide mesylate,lomitapide mesylate
lomudal,cromolyn sodium
lomusol,cromolyn sodium
lomustine,lomustine
lonafarnib,lonafarnib
lonapalene,lonapalene
lonapegsomatropin,lonapegsomatropin
lonaprisan,lonaprisan
loncastuximab,loncastuximab
loncastuximab tesirine,loncastuximab tesirine
longrange,eprinomectin
longtec,oxycodone hydrochloride
longum,sulfalene
lonhala magnair kit,glycopyrronium bromide
loniten,minoxidil
lonolox,minoxidil
lonquex,lipegfilgrastim
lonsurf,trifluridine;tipiracil hydrochloride
lontucirev,lontucirev (replicating adenovirus)
lontucirev (replicating adenovirus),lontucirev (replicating adenovirus)
lopace,ramipril
loperagen,loperamide hydrochloride
loperamide,loperamide
loperamide hydrochloride,loperamide hydrochloride
loperamide hydrochloride component of imodium multi-symptom relief,loperamide hydrochloride
lopid,gemfibrozil
lopinavir,lopinavir
lopinavir component of kaletra,lopinavir
lopinavir/ritonavir viatris (previously ritonavir mylan),lopinavir;ritonavir
lopranol la,propranolol hydrochloride
lopresor,metoprolol tartrate
lopresor sr,metoprolol tartrate
lopressor,metoprolol tartrate
lopressor oros,metoprolol fumarate
lopril,captopril
loprox,ciclopirox
lopurin,allopurinol
loqtorzi,toripalimab
lorabid,loracarbef
loracarbef,loracarbef
loramyc,miconazole
loratadine,loratadine
loratadine component of claritin-d,loratadine
loratadine redidose,loratadine
loraz,lorazepam
lorazepam,lorazepam
lorazepam intensol,lorazepam
lorazepam preservative free,lorazepam
lorbamate,lorbamate
lorbrena,lorlatinib
lorcainide,lorcainide
lorcaserin hydrochloride,lorcaserin hydrochloride
lorcinadol,lorcinadol
lorecivivint,lorecivivint
loreclezole,loreclezole
loreev xr,lorazepam
lorelco,probucol
lorexane,lindane
lorexane no 3,lindane
lorfan,levallorphan tartrate
lorigerlimab,lorigerlimab
lorlatinib,lorlatinib
lormetazepam,lormetazepam
lornoxicam,lornoxicam
lorothidol,bithionol
lortalamine,lortalamine
lorundrostat,lorundrostat
lorundrostat hydrobromide,lorundrostat hydrobromide
lorviqua,lorlatinib
lorvotuzumab mertansine,lorvotuzumab mertansine
lorzafone,lorzafone
losaprex,losartan potassium
losartan,losartan
losartan potassium,losartan potassium
losartan potassium component of hyzaar,losartan potassium
losec,omeprazole
losec mups,omeprazole
losec sodium,omeprazole sodium
losinate mr,tamsulosin hydrochloride
losmapimod,losmapimod
losoxantrone,losoxantrone
lotamilast,lotamilast
lotemax,loteprednol etabonate
lotemax sm,loteprednol etabonate
lotens,guanethidine monosulfate
lotensin,benazepril hydrochloride
loteprednol,loteprednol etabonate
loteprednol etabonate,loteprednol etabonate
loteprednol etabonate component of zylet,loteprednol etabonate
lotiglipron,lotiglipron
lotiglipron tromethamine,lotiglipron tromethamine
lotilaner,lotilaner
lotilaner / milbemycin elanco,lotilaner;milbemycin oxime
lotimax,lotilaner
lotprosin xl,galantamine
lotrafilcon a,lotrafilcon a
lotrafilcon b,lotrafilcon b
lotrimin ultra,butenafine hydrochloride
lotronex,alosetron hydrochloride
lotusate,talbutal
lovastatin,lovastatin
lovastatin component of advicor,lovastatin
lovaza,omega-3-acid ethyl esters
lovenox,enoxaparin sodium
lovenox (preservative free),enoxaparin sodium
loverine,dexamethasone
loviride,loviride
loviscol,carbocysteine
lovotibeglogene autotemcel,lovotibeglogene autotemcel
low liquemine,dalteparin sodium
loxapac,loxapine succinate
loxapine,loxapine
loxapine succinate,loxapine succinate
loxicom,meloxicam
loxitab,meloxicam
loxitane,loxapine succinate
loxitane c,loxapine hydrochloride
loxitane im,loxapine hydrochloride
loxoribine,loxoribine
lozamine,benzydamine hydrochloride
lozol,indapamide
lta ii kit,lidocaine hydrochloride
lubabegron,lubabegron
lubeluzole,lubeluzole
lubiprostone,lubiprostone
lubri-tears,mineral oil
lucanthone,lucanthone
lucanthone hydrochloride,lucanthone hydrochloride
lucaratin,beta carotene
lucatumumab,lucatumumab
lucemyra,lofexidine hydrochloride
lucentis,ranibizumab
lucerastat,lucerastat
lucicebtide,lucicebtide
lucinactant,lucinactant
lucitanib,lucitanib
lucoridalines,lucoridalines
ludiomil,maprotiline hydrochloride
lufenuron component of sentinel,lufenuron
lufironil,lufironil
lufotrelvir,lufotrelvir
lufyllin,dyphylline
lugacin,gentamicin sulfate
luliconazole,luliconazole
lulizumab pegol,lulizumab pegol
luma,methyl salicylate
lumacaftor,lumacaftor
lumacaftor component of orkambi,lumacaftor
lumakras,sotorasib
lumark,lutetium (177lu) chloride
lumasiran,lumasiran
lumason,sulfur hexafluoride
lumateperone,lumateperone
lumateperone tosylate,lumateperone tosylate
lumeblue (previously known as methylthioninium chloride cosmo),methylene blue anhydrous
lumeblue (previously methylthioninium chloride cosmo),methylthioninium chloride
lumefantrine,lumefantrine
lumefantrine component of coartem,lumefantrine
lumenhance,manganese chloride
lumevoq,lenadogene nolparvovec
lumicitabine,lumicitabine
lumify,brimonidine tartrate
lumify preservative free,brimonidine tartrate
lumigan,bimatoprost
lumiliximab,lumiliximab
luminal,phenobarbital
luminal sodium,phenobarbital sodium
luminate,risuteganib
luminespib,luminespib
luminity,perflutren
lumiracoxib,lumiracoxib
lumisight,pegulicianine acetate
lumitene,beta carotene
lumitrace,relmapirazin
lumoxiti,moxetumomab pasudotox
lumretuzumab,lumretuzumab
lumryz,sodium oxybate
lumulse peg 3350,polyethylene glycol 3350
lumykras,sotorasib
lunacalcipol,lunacalcipol
lunesta,eszopiclone
lunivia,eszopiclone
lunlekitug,lunlekitug
lunresertib,lunresertib
lunsumio,mosunetuzumab
lupkynis,voclosporin
lupron,leuprolide acetate
lupron depot,leuprolide acetate
lupron depot ped,leuprolide acetate
lupron depot-ped,leuprolide acetate
lupron depot-ped kit,leuprolide acetate
lupuzor,forigerimod
lurasidone hydrochloride,lurasidone hydrochloride
lurbinectedin,lurbinectedin
lurosetron,lurosetron
lurosetron mesylate,lurosetron mesylate
lurselle,probucol
lusduna,insulin glargine
lusedra,fospropofol disodium
luspatercept,luspatercept
lustral,sertraline hydrochloride
lusupultide,lusupultide
lusutrombopag,lusutrombopag
lutalyse,dinoprost tromethamine
lutathera,lutetium (177lu) oxodotreotide
lutetium (177lu) chloride billev (previously illuzyce),lutetium (177lu) chloride
lutetium (lu177) lilotomab satetraxetan,lutetium (lu177) lilotomab satetraxetan
lutetium lu 177 vipivotide tetraxetan,lutetium lu-177 vipivotide tetraxetan
lutetium lu 177 zadavotide guraxetan,lutetium lu 177 zadavotide guraxetan
lutetium lu177 edotreotide,lutetium lu177 edotreotide
lutholaz,pegfilgrastim
lutigest,progesterone
lutikizumab,lutikizumab
lutrate depot kit,leuprolide acetate
lutrelef,gonadorelin acetate
lutrepulse kit,gonadorelin acetate
lutropin alfa,lutropin alfa
lutropin alfa component of pergoveris,lutropin alfa
luvadaxistat,luvadaxistat
luveltamab tazevibulin,luveltamab tazevibulin
luveltamab tazide,luveltamab tazide
luveniq,voclosporin
luventa xl,galantamine
luveris,lutropin alfa
luvinsta xl,fluvastatin sodium
luvox,fluvoxamine maleate
luvox cr,fluvoxamine maleate
luxazone,dexamethasone
luxeptinib,luxeptinib
luxiq,betamethasone valerate
luxturna,voretigene neparvovec
luzu,luliconazole
lyapolate sodium,lyapolate sodium
lyclear,permethrin
lydaxx,tulathromycin
lydimycin,lydimycin
lydisilka,estetrol monohydrate;drospirenone
lyfgenia,lovotibeglogene autotemcel
lyflex,baclofen
lyfnua,gefapixant
lygen,chlordiazepoxide hydrochloride
lymepak,doxycycline hyclate
lymphazurin,isosulfan blue
lymphocide,epratuzumab 90y
lymphoscan,bectumomab
lymphoseek,tilmanocept
lymphoseek kit,technetium tc 99m tilmanocept
lymphostat-b,belimumab
lymphostat-b benlysta,belimumab
lympreva,dasiprotimut-t
lynestrenol,lynestrenol
lynkuet,elinzanetant
lynlor,oxycodone hydrochloride
lynoestrenol,lynestrenol
lynoral,ethinyl estradiol
lynozyfic,linvoseltamab
lynparza,olaparib
lyophilized cytoxan,cyclophosphamide
lyphomed,pyridoxine hydrochloride
lypressin,lypressin
lypsyl,acyclovir
lyrica,pregabalin
lyrica cr,pregabalin
lyrinel xl,oxybutynin
lysakare,l-arginine hydrochloride;l-lysine hydrochloride
lyseen new,chlormezanone
lysine,lysine
lysodren,mitotane
lysovir,amantadine hydrochloride
lysteda,tranexamic acid
lytenava,bevacizumab
lytgobi,futibatinib
lythrin,permethrin
lyumjev (previously liumjev),insulin lispro
lyvdelzi (previously seladelpar gilead),seladelpar lysine dihydrate
lyvispah,baclofen
lyxumia,lixisenatide
m-m-rvaxpro,"measles virus enders’ edmonston strain (live, attenuated);mumps virus jeryl lynn (level b) strain (live, attenuated);rubella virus wistar ra 27/3 strain (live, attenuated)"
m-predrol,methylprednisolone acetate
m-zole 3 combination pack,miconazole nitrate
m-zole 7 dual pack,miconazole nitrate
maapliv,"glycine,l-alanine,l-arginine,l-aspartic acid,l-cysteine hydrochloride monohydrate,l-histidine,l-methionine,l-phenylalanine,l-proline,l-serine,l-threonine,l-tryptophan,l-tyrosine,l-glutamic acid,l-lysine monohydrate,taurine"
mabcampath,alemtuzumab
mabron,tramadol hydrochloride
mabthera,rituximab
mabthera rituxan,rituximab
maci,autologous cultured chondrocytes
macimorelin,macimorelin
macimorelin acetate,macimorelin acetate
macitentan,macitentan
macitentan accord,macitentan
macitentan accordpharma,macitentan
macitentan component of opsynvi,macitentan
macmiror,nifuratel
macoperf,sodium chloride
macrilen,macimorelin
macrobid,nitrofurantoin
macrodantin,nitrofurantoin
macrosalb (131i),macrosalb (131i)
macrosalb (99mtc),macrosalb (99mtc)
macrotec,technetium tc 99m albumin aggregated
macugen,pegaptanib
macupatide,macupatide
madribon,sulfadimethoxine
maduramicin,maduramicin
maduramicin acid,maduramicin acid
mafenide,mafenide
mafenide acetate,mafenide acetate
maftivimab,maftivimab
maftivimab component of inmazeb -ebgn,maftivimab
maftivimab component of regn-eb3,maftivimab
mag carb,magnesium carbonate
mag carb arom,magnesium carbonate
mag carb co,magnesium carbonate
mag cit,magnesium citrate
mag diasporal 300,magnesium citrate
mag ox,magnesium oxide
mag sulf,magnesium sulfate
mag trisil co,magnesium trisilicate
mag-ox 400,magnesium oxide
magaldrate,magaldrate
magcit,magnesium citrate
magdose,magnesium oxide
magmilor,nifuratel
magnacort,hydrocortamate hydrochloride
magnalax,magnesium hydroxide
magnamycin,carbomycin
magnesite,magnesium carbonate
magnesium acetate component of procalamine,magnesium acetate
magnesium carbonate component of renacidin,magnesium carbonate
magnesium chloride component of navstel,magnesium chloride
magnesium chloride component of normocarb,magnesium chloride
magnesium hydroxide component of pepcid complete,magnesium hydroxide
magnesium hydroxide component of zegerid,magnesium hydroxide
magnesium oxide component of clenpiq,magnesium oxide
magnesium oxide component of prepopik,magnesium oxide
magnesium oxybate component of xywav,magnesium oxybate
magnesium sulfate,magnesium sulfate
magnesium sulfate anhydrous component of suprep bowel prep kit,magnesium sulfate anhydrous
magnesium sulfate component of suclear,magnesium sulfate
magnesium sulfate component of suflave,magnesium sulfate
magnesium sulfate component of sutab,magnesium sulfate
magnesium sulfate component of tis-u-sol,magnesium sulfate
magnesium trisilicate component of foamcoat,magnesium trisilicate
magnesium trisilicate component of foamicon,magnesium trisilicate
magnesium trisilicate component of gaviscon,magnesium trisilicate
magnevist,gadopentetate dimeglumine
magrolimab,magrolimab
magstar,magnesium oxide
makena,hydroxyprogesterone caproate
makena (autoinjector),hydroxyprogesterone caproate
makena preservative free,hydroxyprogesterone caproate
malacide,pyrimethamine
malarivon,chloroquine phosphate
malathion,malathion
maletamer,malethamer
malethamer,malethamer
maliasin,barbexaclone
malinal,almasilate
malix,glyburide
malotilate,malotilate
mandafen,ibuprofen
mandanol,acetaminophen
mandol,cefamandole nafate
maneo,tramadol hydrochloride
manerix,moclobemide
manevac,senna
mangafodipir trisodium,mangafodipir trisodium
manganese sulfate,manganese sulfate
manganese sulfate component of multrys,manganese sulfate
manganese sulfate component of tralement,manganese sulfate
mange treatment,benzyl benzoate
manidon sr,verapamil hydrochloride
mannitol component of sorbitol-,mannitol
manoplax,flosequinan
manorfen,ibuprofen
mansil,oxamniquine
mantadine,amantadine hydrochloride
manugel,isopropyl alcohol
manusept,triclosan
maolate,chlorphenesin carbamate
mapatumumab,mapatumumab
mapemid xl,indapamide
maplirpacept,maplirpacept
mapracorat,mapracorat
maprotiline,maprotiline
maprotiline hydrochloride,maprotiline hydrochloride
maraciclatide,maraciclatide
maralixibat,maralixibat
maralixibat chloride,maralixibat chloride
marcain,bupivacaine hydrochloride
marcaine,bupivacaine hydrochloride
marcaine hydrochloride,bupivacaine hydrochloride
marcaine hydrochloride preservative free,bupivacaine hydrochloride
marcoumar,phenprocoumon
mardepodect,mardepodect
maretin,naftalofos
marevan,warfarin sodium
marezine,cyclizine lactate
margenza,margetuximab
margetuximab,margetuximab
maribavir,maribavir
marimastat,marimastat
marine sweet,n-acetylglucosamine
marinol,dronabinol
mariosea xl,tolterodine
marixino,memantine hydrochloride
marixino (previously maruxa),memantine hydrochloride
marizomib,marizomib
marlipal 24/90,polidocanol
marnetegragene autotemcel,marnetegragene autotemcel
marol,tramadol hydrochloride
marplan,isocarboxazid
marqibo kit,vincristine sulfate
marsilid,iproniazid
marstacimab,marstacimab
marstem,talfirastide
martapan,dexamethasone
martindale,methadone hydrochloride
martricin,tyrothricin
marzine r.f.,cinnarizine
masican,masitinib
masidemen,diclofenac sodium
masipro,masitinib mesilate
masitinib ab science,masitinib mesilate
masivet,masitinib mesilate
masiviera,masitinib
masnoderm,clotrimazole
masofaniten,masofaniten
masoprocol,masoprocol
masteril,dromostanolone propionate
matever,levetiracetam
matoride xl,methylphenidate hydrochloride
matrifen,fentanyl
matulane,procarbazine hydrochloride
mavacamten,mavacamten
mavacoxib,mavacoxib
mavatrep,mavatrep
mavelertinib,mavelertinib
mavenclad,cladribine
maveropepimut-s,maveropepimut-s
mavik,trandolapril
mavilimogene ralaplasmid,mavilimogene ralaplasmid
maviret,glecaprevir;pibrentasvir
mavodelpar,mavodelpar
mavodelpar sodium,mavodelpar sodium
mavoglurant,mavoglurant
mavorixafor,mavorixafor
mavrilimumab,mavrilimumab
max strgh aspro clr,aspirin
maxa-gesic,ibuprofen
maxacalcitol,maxacalcitol
maxair,pirbuterol acetate
maxalt,rizatriptan
maxalt-mlt,rizatriptan benzoate
maxaquin,lomefloxacin hydrochloride
maxibolin,ethylestrenol
maxicam,isoxicam
maxidex,dexamethasone
maximet sr,indomethacin
maxipime,cefepime hydrochloride
maxipost,flindokalner
maxitram sr,tramadol hydrochloride
maxitrol,dexamethasone
maxivent,albuterol
maxolon,metoclopramide hydrochloride
maxolon sr,metoclopramide hydrochloride
maxon,polyglyconate
maxtrex,methotrexate
maxtron,tamsulosin hydrochloride
maytansine,maytansine
mayzent,siponimod fumaric acid
mazanor,mazindol
mazdutide,mazdutide
mazindol,mazindol
mcombriax,"single-stranded, 5’-capped messenger rnas (mrnas) produced using a cell-free in vitro transcription from the corresponding dna template, encoding seasonal influenza haemagglutinin (ha) glycoproteins: a/h1n1, a/h3n2, b/victoria"
mcr 50,isosorbide mononitrate
md-50,diatrizoate sodium
mdp-bracco,technetium tc 99m medronate
mdx-066,actoxumab
mdx-1388,bezlotoxumab
"measles virus, live attenuated component of m-m-rvaxpro","measles virus, live attenuated"
"measles virus, live attenuated component of proquad","measles virus, live attenuated"
measurin,aspirin
meballymal,secobarbital
mebaral,mephobarbital
mebendazole,mebendazole
mebenvet,mebendazole
mebeverine,mebeverine
mebrofenin,mebrofenin
mebutamate,mebutamate
mecadox,carbadox
mecamylamine hydrochloride,mecamylamine hydrochloride
mecasermin,mecasermin
mecasermin rinfabate,mecasermin rinfabate
mecbotamab,mecbotamab
mecbotamab vedotin,mecbotamab vedotin
mecetronium ethylsulfate,mecetronium ethylsulfate
mecetronium etilsulfate,mecetronium ethylsulfate
mecillinam,amdinocillin
meclan,meclocycline sulfosalicylate
meclizine hydrochloride,meclizine hydrochloride
meclocil,meclocycline sulfosalicylate
meclocycline,meclocycline
meclocycline sulfosalicylate,meclocycline sulfosalicylate
mecloderm,meclocycline sulfosalicylate
meclodium,meclofenamate sodium
meclofenamate sodium,meclofenamate sodium
meclofenamic acid,meclofenamic acid
meclomen,meclofenamate sodium
mecloqualone,mecloqualone
meclorisone,meclorisone dibutyrate
meclorisone dibutyrate,meclorisone dibutyrate
meclosorb,meclocycline sulfosalicylate
mecobalamin,mecobalamin
mecrylate,mecrylate
medazepam,medazepam
medetomidine,medetomidine
medi-swab,isopropyl alcohol
medi-swab h,isopropyl alcohol
mediavan,naftazone
medicaid,cetrimide
medicinal oxygen air liquide sante,oxygen
mediclear,benzoyl peroxide
mediclear acne 10,benzoyl peroxide
mediclear acne 5,benzoyl peroxide
medicort,hydrocortisone
medifenac,alclofenac
medihaler ergotamine,ergotamine tartrate
medihaler-epi,epinephrine bitartrate
medihaler-iso,isoproterenol sulfate
medijel,lidocaine hydrochloride
medikinet,methylphenidate hydrochloride
medikinet xl,methylphenidate hydrochloride
medilave,benzocaine
medinex,diphenhydramine hydrochloride
medinol,acetaminophen
medinol for children,acetaminophen
medinol over 6,acetaminophen
medinol under 6,acetaminophen
medipren,ibuprofen
medised plain,acetaminophen
medium-chain triglycerides component of smoflipid,medium-chain triglycerides
medomet,methyldopa
medopren,methyldopa
medorinone,medorinone
medrogestone,medrogestone
medrol,methylprednisolone
medrol acetate,methylprednisolone acetate
medrone,methylprednisolone
medronic acid,medronic acid
medroxalol,medroxalol
medroxyprogesterone acetate,medroxyprogesterone acetate
medroxyprogesterone acetate component of lunelle,medroxyprogesterone acetate
medroxyprogesterone acetate component of premphase,medroxyprogesterone acetate
medroxyprogesterone acetate component of prempro,medroxyprogesterone acetate
medrysone,medrysone
mefenamic acid,mefenamic acid
mefenidil,mefenidil
mefexamide,mefexamide
meflam 250,mefenamic acid
meflam 500,mefenamic acid
mefloquine,mefloquine
mefloquine hydrochloride,mefloquine hydrochloride
mefoxin,cefoxitin sodium
mefoxitin,cefoxitin
mefruside,mefruside
mega,mebutamate
megace,megestrol acetate
megace es,megestrol acetate
megalac,almasilate
megalone,fleroxacin
megamilbedoce,hydroxocobalamin
megaphen,chlorpromazine
megestrol,megestrol acetate
megestrol acetate,megestrol acetate
meggezones,menthol
megimide,bemegride
meglutol,meglutol
meiact,cefditoren pivoxil
mekinist,trametinib
mektovi,binimetinib
mel b,melarsoprol
meladinine,methoxsalen
melapure,melatonin
melatonin neurim,melatonin
melengestrol,melengestrol acetate
melengestrol acetate,melengestrol acetate
melfiat,phendimetrazine tartrate
melfiat-105,phendimetrazine tartrate
melitase,chlorpropamide
melizame,melizame
mellaril,thioridazine hydrochloride
mellaril-s,thioridazine
melleril,thioridazine
melosus,meloxicam
melovem,meloxicam
meloxicam,meloxicam
meloxicam component of zeleris,meloxicam
meloxicam component of zynrelef,meloxicam
meloxidolor,meloxicam
meloxidyl,meloxicam
