"priority","pattern","canonical","match_type","approved","notes"
470,"\bSt\.?\s+Georges\s*,?\s+University\s+Of\s+London\b","St Georges University Of London","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
480,"\bKing'?s?\s+College\s+London(\s+IoP|\s+Institute\s+Of\s+Pyschiatry)?\b|\bKingss\s+College\s+London\b","Kings College London","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
490,"\b(AOU|Azienda\s+Ospedaliera\s+Di\s+Bologna)\s*,?\s*Policlinico\s+S\.?\s*Orsola\s*[- ]\s*Malpighi\b|\bAOU\s+DI\s+BOLOGNA\s+POLICLINICO\s+S\.?ORSOLA\s*[- ]\s*MALPIGHI\b","Azienda Ospedaliera Di Bologna Policlinico S. Orsola M. Malpighi","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
500,"\b(AOU|Azienda\s+Ospedalier[ao](\s+Universitaria)?)\s+Policlinico\s+Di\s+Modena\b","Azienda Ospedaliera Policlinico Di Modena","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
510,"\b(Policlinico\s+(Universitario\s+)?(Agostino\s+)?A?\.?\s*Gemelli|Fondazione\s+Policlinico\s+Universitario\s+Agostino\s+Gemelli|Universit\s+Cattolica\s+Del\s+Sacro\s+Cuore\s*[- ]\s*Policlinico\s+A\.?\s*Gemelli)\b","Policlinico Universitario Agostino Gemelli","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
520,"\bUniversity\s+Of\s+Dundee\s*/?\s*(And\s+)?Nhs\s+Tayside\b|\bTayside\s+Medical\s+Centre\s+On\s+Behalf\s+Of\s+University\s+Of\s+Dundee\s+Nhs\s+Tayside\b","University Of Dundee NHS Tayside","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
530,"\bUniversity\s+Medical\s+Cent(re|er)\s+Hamburg\s*[- ]\s*Eppendorf\b|\bUniversit[aä]tsklinikum\s+Hamburg\s*[- ]\s*Eppendorf\b","University Medical Center Hamburg-Eppendorf","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
540,"\bAarhus\s+University\b(?!\s+Hospital)|\bAarhus\s+Universitet\b(?!s?hospital)|\bUniversity\s+Of\s+Aarhus\b|\bInstitut\s+For\s+Klinisk\s+Medicin\s*,?\s*Aarhus\s+Universitet\b|\bInstitute\s+Of\s+Pharmacology\s*,?\s*Aarhus\s+University\b","Aarhus University","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
550,"\bAarhus\s+Universit(y|et)s?\s*Hospital\b|\bAarhus\s+University\s+Hospiotal\b|\bAarhus\s+Unversity\s+Hospital\b|\bAarhus\s+Universityhospital\b|\bAarhus\s+Universitetshospital\b|\bUniversity\s+Hospital\s+Of\s+Aarhus\b|\bAarhus\s+Sygehus\b|\bDepartment.*Aarhus\s+University\s+Hospital\b|\bDept\.? .*Aarhus\s+University\s*Hospital\b|\bKlinisk.*Aarhus\s+Universitetshospital\b","Aarhus University Hospital","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
560,"\bUniversity\s+Medical\s+Cent(re|er)\s+(Of\s+)?Groningen\b|\bUniversity\s+Medial\s+Cent(re|er)\s+Groningen\b|\bUniveristy\s+Medical\s+Cent(re|er)\s+Groningen\b|\bUniversitair\s+Medisch\s+Centrum\s+Groningen\b|\bUMCG\b","University Medical Center Groningen","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
570,"\bUniversity\s+Medical\s+Cent(re|er)\s+Utrecht\b|\bUniveristy\s+Medical\s+Cent(re|er)\s+Utrecht\b|\bUniverstiy\s+Medical\s+Cent(re|er)\s+Utrecht\b|\bUniversitair\s+Medisch\s+Cen?trum\s+Utrecht\b|\bUMC\s*[- ]?\s*Utrecht\b|\bUMCU\b","University Medical Center Utrecht","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
580,"\bAmsterdam\s+UMC(\s+Stichting)?\b|\bStichting\s+Amsterdam\s+UMC\b|\bAmsterdam\s+University\s+Medical\s+Cent(re|er)s?\b|\bAmsterdam\s+Univeristy\s+Medical\s+Cent(re|er)\b|\bAUMC\b|\bAmsterdam\s+UMC\s*,?\s*(Location\s+)?(AMC|VUMC)\b|\bAmsterdam\s+UMC\s*[-,]?\s*(AMC|VUMC)\b|\bVU\s+University\s+Medical\s+Cent(re|er)(\s+Amsterdam|\s+VUMC)?\b|\bVU\s+Medical\s+Cent(re|er)\s*,?\s*Amsterdam\b|\bVUMC\b","Amsterdam UMC","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
590,"\bMaastricht\s+University\s+Medical\s+Cent(re|er)\+?\b|\bMaastricht\s+Universitair\s+Medisch\s+Centrum\b|\bMaastricht\s+Universitary\s+Medical\s+Cent(re|er)\b|\bMaastricht\s+UMC\+?\b|\bMUMC\+?\b|\bAcademic\s+Hospital\s+Maastricht(\s+AZM)?\b|\bAcademisch\s+Ziekenhuis\s+Maastricht\b|\bUniversity\s+Hospital\s+Maastricht\b","Maastricht University Medical Center","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
