raw_name,source,suggested_canonical,other_names
Laboratoire Aguettant,epar_mah,Laboratoire Aguettant,NA
Laboratoire Francais du Fractionnement et des Biotechnologies,epar_mah,Laboratoire Francais Du Fractionnement Et Des Biotechnologies,NA
Laboratoires CTRS - Boulogne Billancourt,epar_mah,Laboratoires Ctrs Boulogne Billancourt,NA
Laboratoires Delbert,epar_mah,Laboratoires Delbert,NA
Laboratoires Juvisé Pharmaceuticals,epar_mah,Laboratoires Juvise,Laboratoires 3M Santé
"LABORATORIOS LORIEN, S.L",epar_mah,Laboratorios Lorien,Laboratorios Tillomed Spain S.L.U
Lantheus Germany GmbH,epar_mah,Lantheus,Lantheus EU Limited
Le Vet Beheer B.V.,epar_mah,Le Vet Beheer,NA
Leadiant GmbH,epar_mah,Leadiant,NA
LEO Laboratories Ltd.,epar_mah,Leo Laboratories,NA
Linde Healthcare AB,epar_mah,Linde Healthcare,NA
Lipomed GmbH,epar_mah,Lipomed,NA
Lucane Pharma,epar_mah,Lucane Pharma,NA
Lxo Ireland Designated Activity Company,epar_mah,Lxo Designated Activity,NA
Mallinckrodt Pharmaceuticals Ireland Limited,epar_mah,Mallinckrodt,Mallinckrodt Deutschland GmbH
Marvel Lifesciences Ltd,epar_mah,Marvel Lifesciences,Marvel LifeSciences Ltd.
Masuu Pharma Europe Limited,epar_mah,Masuu Pharma,Midas Pharma GmbH
MDS Nordion S.A.,epar_mah,Mds Nordion,NA
Medac,epar_mah,Medac,NA
medac Gesellschaft für klinische Spezialpräparate mbH,epar_mah,Medac Gesellschaft Fur Klinische Spezialpraparate,Medac Gesellschaft fuer klinische Spezialpraeparate mbH
Medice Arzneimittel Pütter GmbH  Co. KG,epar_mah,Medice Arzneimittel Putter Gmbh,Medice Arzneimittel Pütter GmbH & Co. KG
Medtronic BioPharma B.V.,epar_mah,Medtronic Biopharma,NA
A. Menarini Industrie Farmaceutiche Riunite s.r.l.,epar_mah,Menarini Industrie Farmaceutiche Riunite,NA
A. Menarini International Licensing S.A.,epar_mah,Menarini Licensing,NA
MendeliKABS Europe Ltd,epar_mah,Mendelikabs,NA
Merck Europe B.V.,epar_mah,Merck,Merck Europe B.V. 
Merial,epar_mah,Merial,Mérial | Merial S.A.S.  | Merial S.A.S.
L. Molteni & C. dei Fratelli Alitti Società di Esercizio S.p.A.,epar_mah,Molteni And Dei Fratelli Alitti Societa Di Esercizio,NA
Mylan S.A.S.,epar_mah,Mylan,Mylan S.A.S | Mylan Ireland Limited | Mylan Pharmaceuticals Limited | Mylan dura GmbH
Mylan IRE Healthcare Limited,epar_mah,Mylan Ire Healthcare,NA
"Nanotherapeutics Bohumil, s.r.o.",epar_mah,Nanotherapeutics Bohumil,NA
Neovii Biotech GmbH,epar_mah,Neovii Biotech,NA
Neuraxpharm Pharmaceuticals S.L.,epar_mah,Neuraxpharm,NA
NeuTec Pharma plc,epar_mah,Neutec Pharma,NA
New A Innovation (NL) Limited B.V.,epar_mah,New Innovation Nl,NA
Nexcyon Pharmaceuticals Ltd,epar_mah,Nexcyon,NA
Noden Pharma DAC,epar_mah,Noden Pharma Dac,NA
Nordic Group B.V.,epar_mah,Nordic Group,NA
Norgine B.V.,epar_mah,Norgine,NA
Norpharm Regulatory Services Ltd,epar_mah,Norpharm Regulatory Services,NA
Norton Healthcare Ltd.,epar_mah,Norton Healthcare,NA
NPS Pharma Holdings Limited,epar_mah,Nps Pharma Holdings,NA
Octapharma AB,epar_mah,Octapharma,NA
