entity_key,sponsor_clean_to,sponsor_parent_to,sponsor_group_to,sponsor_type_to,reason
kalvista pharmaceuticals,KalVista Pharmaceuticals Ltd,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
karolinska institutet,Karolinska Institutet,NA,NA,academic,curated entity canonical from final_sponsor_canonical_review
karolinska instutute clintrid,Karolinska Institutet,NA,NA,academic,curated entity canonical from final_sponsor_canonical_review
karolinska,Karolinska Institutet,NA,NA,academic,curated entity canonical from final_sponsor_canonical_review
kedrion,Kedrion S.P.A,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
keros therapeutics,Keros Therapeutics,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
kge,Kge Hospital,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
khondrion,Khondrion BV,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
king college london,King's College London,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
kings college london,Kings College London,NA,NA,academic,curated entity canonical from final_sponsor_canonical_review
kings college,Kings College Hospital NHS Foundation Trust,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
kiniksa pharmaceuticals,Kiniksa Pharmaceuticals,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
klinick experimentln medicny,Institut klinick a experimentln medicny,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
kompetenznetz vorhofflimmern afnet,Kompetenznetz Vorhofflimmern e.V. AFNET Atrial Fibrillation NETwork,NA,NA,cooperative_group,curated entity canonical from final_sponsor_canonical_review
kompetenznetz vorhofflimmern atrial fibrillation network afnet,Kompetenznetz Vorhofflimmern e.V. AFNET Atrial Fibrillation NETwork,NA,NA,cooperative_group,curated entity canonical from final_sponsor_canonical_review
kowa,Kowa Co. Ltd.,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
krakowski szpital specjalistyczny jana pawla,Krakowski Szpital Specjalistyczny Im. Sw. Jana Pawla II,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
krankenhaus nordwest,Krankenhaus Nordwest gGmbH,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
kuopio,Kuopio University Hospital,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
kymab,Kymab,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
kyowa hakko,Kyowa Kirin,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
kyowa kirin pharmaceutical development,Kyowa Kirin,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
kyowa kirin,Kyowa Kirin,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
laboratoires genevrier,Laboratoires GENEVRIER,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
laboratoires merck sharp dohme chibret,MSD,NA,NA,industry,curated entity canonical from final_sponsor_canonical_review
laboratoires smb,Laboratoires SMB,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
laboratoires tha,Laboratoires Tha,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
laboratorio reig jofre,Laboratorio Reig Jofré,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
laboratorios almirall,Almirall S.A.,NA,NA,industry,curated entity canonical from final_sponsor_canonical_review
laboratorios casen fleet,Laboratorios Leti,NA,NA,industry,curated entity canonical from final_sponsor_canonical_review
laboratorios leti,Laboratorios Leti,NA,NA,industry,curated entity canonical from final_sponsor_canonical_review
laboratorios menarini,Menarini,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
laboratorios thea,Théa,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
lallemand pharma international,LALLEMAND PHARMA INTERNATIONAL,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
landspitali,Landspítali Háskólasjúkrahús,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
leeds teaching,The Leeds Teaching Hospitals NHS Trust,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
leeds,University Of Leeds,NA,NA,academic,curated entity canonical from final_sponsor_canonical_review
leeuwarden,Medical Centre Leeuwarden,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
leicester,University of Leicester,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
leiden,Leiden University Medical Center,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
leipzig,Leipzig University,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
leon berard,Centre Léon Bérard,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
les hopitaux universitaires strasbourg,Les Hôpitaux Universitaires de Strasbourg,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
leti pharma,LETI Pharma,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
leuven gastroenterology,UZ Leuven,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
leuven,KU Leuven,NA,NA,academic,curated entity canonical from final_sponsor_canonical_review
lfb biotechnologies,LFB Biotechnologies,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
libre bruxelles,Université Libre de Bruxelles,NA,NA,academic,curated entity canonical from final_sponsor_canonical_review
liege,Université de Liège,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
life molecular imaging,Life Molecular Imaging,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
lillebaelt,Lillebælt Hospital,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
linkping,University Hospital of Linköping,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
liverpool heart chest,Liverpool Heart & Chest Hospital,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
liverpool womens,Liverpool Womens NHS Foundation Trust,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
liverpool,University of Liverpool,NA,NA,academic,curated entity canonical from final_sponsor_canonical_review
lluita contra sida,Fundació Lluita contra la SIDA,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
lofarma,Lofarma S.p.A.,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
lothian,NHS Lothian,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
loxo oncology,Loxo Oncology,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
lumena pharmaceuticals,Lumena Pharmaceuticals,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
lund,Lund University,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
lung,Lung LLC,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
lux biosciences,Lux Biosciences,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
maartenskliniek,St Maartenskliniek,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
maastro,MAASTRO Clinic,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
mabs therapeutics,Y-mAbs Therapeutics,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
mabxience,mAbxience Research SL,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
madaus,Madaus GmbH,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
magdeburg,Otto-von-Guericke University,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
malm,Malmö University Hospital,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
malmo,Malmö University Hospital,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
manchester,Manchester University NHS Foundation Trust,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
marinus pharmaceuticals,Marinus Pharmaceuticals,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
martin luther halle wittenberg,Medizinische Fakultät der Martin-Luther-Universität Halle-Wittenberg,NA,NA,academic,curated entity canonical from final_sponsor_canonical_review
martin luther universitt halle wittenberg,Medizinische Fakultät der Martin-Luther-Universität Halle-Wittenberg,NA,NA,academic,curated entity canonical from final_sponsor_canonical_review
maternite regionale nancy,Maternité Régionale Universitaire de Nancy,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
mc2 therapeutics,MC2 Therapeutics,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
mcneil,Johnson & Johnson,NA,NA,industry,curated entity canonical from final_sponsor_canonical_review
meander,Meander Medical Center,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
meda pharma,MEDA Pharma GmbH & Co. KG,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
meda,MEDA AB,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
medday pharmaceuticals,MedDay Pharmaceuticals,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
medica scientia innovation medsir,MedSIR - Medica Scientia Innovation Research,NA,NA,industry,curated entity canonical from final_sponsor_canonical_review
meditop gygyszeripari kft,MEDITOP Gygyszeripari Kft,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
meditop gyogyszeripari kft,Meditop Gyógyszeripari Kft,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
mediwound,MediWound,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
medizinische einrichtungen des bezirks oberpfalz,Medizinische Einrichtungen des Bezirks Oberpfalz GmbH,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
medizinische hochschule hannover,Medizinische Hochschule Hannover,NA,NA,academic,curated entity canonical from final_sponsor_canonical_review
medizinische universitt innsbruck innere medizin,Medical University Of Innsbruck,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
meiragtx,MeiraGTx UK,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
mekos,Mekos Laboratories,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
meletios athanasios dimopoulos,Meletios Athanasios Dimopoulos,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
melinta therapeutics,Melinta Therapeutics LLC,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
menarini international operations luxembourg gare,Menarini International Operations Luxembourg SA,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
menarini international operations luxembourg,Menarini International Operations Luxembourg SA,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
menarini ricerche,Menarini Ricerche,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
menarini,Menarini,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
merck,MSD,NA,NA,industry,curated entity canonical from final_sponsor_canonical_review
miguel santin cerezales,Dr. Miguel Santín Cerezales,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
millendo therapeutics,Millendo Therapeutics,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
millenium pharmaceuticals wholly owned subsidiary takeda pharmaceutical,Millennium Pharmaceuticals,NA,NA,industry,curated entity canonical from final_sponsor_canonical_review
minervax aps,Minervax,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
minoryx therapeutics,Minoryx Therapeutics,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
mitsubishi tanabe pharma america mtpa,Mitsubishi Tanabe Pharma,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
mitsubishi tanabe pharma america,Mitsubishi Tanabe Development America Inc.,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
mitsubishi tanabe pharma development america mtda,Mitsubishi Tanabe Pharma,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
mitsubishi tanabe pharma,Mitsubishi Tanabe Pharma,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
mnster,University of Münster,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
moberg derma,Moberg Derma,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
modern biosciences,Modern Biosciences,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
moderna,Moderna,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
modra pharmaceuticals,Modra Pharmaceuticals BV,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
molmed,MolMed S.p.A.,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
moorfields eye,Moorfields Eye Hospital Foundation Trust,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
morphotek,Morphotek,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
motif biosciences,Motif BioSciences,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
motol,University Hospital Motol,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
mucos pharma,MUCOS Pharma CZ s.r.o.,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
muenster,University Hospital of Muenster,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
mukoviszidose ggmbh,Mukoviszidose Institut gGmbH i. G.,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
mumc,MUMC,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
mundipharma pharmaceuticals,Mundipharma,NA,NA,industry,curated entity canonical from final_sponsor_canonical_review
mundipharma,Mundipharma,NA,NA,industry,curated entity canonical from final_sponsor_canonical_review
munich,Klinikum Der Universitat Munchen AöR,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
mylan pharmaceuticals,Mylan,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
mylan,Mylan,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
narodowy instytut onkologii marii sklodowskiej curie panstwowy badawczy,Narodowy Instytut Onkologii im. Marii Skłodowskiej-Curie,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
national eye,National Eye Institute,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
national infectious diseases lazzaro spallanzani,National Institute For Infectious Diseases Lazzaro Spallanzani,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
national public health environment rivm,RIVM,NA,NA,public_body,curated entity canonical from final_sponsor_canonical_review
national sante recherche medicale,Inserm,NA,NA,public_body,curated entity canonical from final_sponsor_canonical_review
nbmi,NBMI Science Ltd.,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
neat,NEAT ID,NA,NA,foundation,curated entity canonical from final_sponsor_canonical_review
neolab,Neolab,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
neoplasie sangue onlus,FO.NE.SA.Onlus,NA,NA,foundation,curated entity canonical from final_sponsor_canonical_review
neovacs,Neovacs S.A.,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
neovas,Neovacs S.A.,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
nephrology hypertension regional holstebro,"University Clinic of Nephrology and Hypertension, Regional Hospital Holstebro",NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
nephrology renal transplantation leuven,"Department of Nephrology and Renal Transplantation, KU Leuven",NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
nephrology,Clinic for Nephrology,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
nerviano,Nerviano Medical Sciences S.r.l.,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
neuraxpharm pharmaceuticals,"Laboratorios Lesvi, S.L. Neuraxpharm group",NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
neurobiotec,NeuroBiotec,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
neurocrine biosciences,Neurocrine Biosciences,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
neurologisk,Neurologisk Afdeling,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
newamsterdam pharma,NewAmsterdam Pharma BV,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
newcastle upon tyne,Newcastle upon Tyne Hospitals NHS Foundation Trust,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
newcastle,University of Newcastle,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
newron pharmaceuticals,NEWRON PHARMACEUTICALS SPA,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
ngm biopharmaceuticals,"NGM Biopharmaceuticals, Inc.",NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
nibit,NIBIT,NA,NA,cooperative_group,curated entity canonical from final_sponsor_canonical_review
nightstarx,NightstaRx,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
nijmegen,Radboudumc,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
nordic society gynaecological oncology clinical trial,Nordic Society of Gynaecological Oncology NSGO-Clinical Trial Unit,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
nordic society gynaecological oncology nsgo ctu,Nordic Society of Gynaecological Oncology NSGO-Clinical Trial Unit,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
nordmark arzneimittel,Nordmark Arzneimittel GmbH,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
nordsjaellands,Nordsjællands Hospital,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
norfolk norwich,Norfolk and Norwich University Hospital,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
norgine,Norgine,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
north glasgow,North Glasgow Trust,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
north midlands,University Hospital of North Midlands NHS Trust,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
north staffordshire,University Hospital Of North Staffordshire,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
novagali pharma,Novagali Pharma SA,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
novimmune,Novimmune BV,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
ntc,NTC,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
nuvo,Nuvo Research Inc,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
nvalt studies,NVALT Studies,NA,NA,foundation,curated entity canonical from final_sponsor_canonical_review
nycomed,Nycomed,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
nykode therapeutics,Nykode Therapeutics AS,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
obseva,ObsEva SA,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
odense universitets,Odense University Hospital,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
odense,Odense University Hospital,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
olavs trondheim,"St. Olavs Hospital, Trondheim University Hospital",NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
olavs,"St. Olavs Hospital, Trondheim University Hospital",NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
omeros,Omeros,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
omninvest,Omninvest,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
oncology aarhus,Aarhus University,NA,NA,academic,curated entity canonical from final_sponsor_canonical_review
oncology karolinska,Karolinska University Hospital,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
oncology vilnius,Oncology Institute of Vilnius University,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
oncosur,Fundación Oncosur,NA,NA,foundation,curated entity canonical from final_sponsor_canonical_review
onechain immunotherapeutics,OneChain Immunotherapeutics,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
onlus,SICOG ONLUS,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
ono pharmaceutical,Ono Pharmaceutical Co. Ltd.,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
optinose,OptiNose AS,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
orchard therapeutics europe,Orchard Therapeutics,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
orchard therapeutics,Orchard Therapeutics,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
ortho mcneil janssen scientific affairs,Ortho-McNeil Janssen Scientific Affairs LLC,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
orthopadisches spital speising,Orthopädisches Spital Speising,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
oslo,Oslo University Hospital,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
osmotica pharmaceutical,Osmotica Pharmaceutical,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
otorhinolaryngology head neck audiology rigshospitalet copenhagen,"Department of Otorhinolaryngology, Head and Neck Surgery",NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
otto von guericke universitt magdeburg,Otto-von-Guericke-Universität Magdeburg,NA,NA,academic,curated entity canonical from final_sponsor_canonical_review
oulu internal,Oulu University Hospital,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
oulu,University of Oulu,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
oxford radcliffe,Oxford University Hospitals NHS Foundation Trust,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
oxford,University Of Oxford,NA,NA,academic,curated entity canonical from final_sponsor_canonical_review
oxthera,OxThera Inc.,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
oxular,Oxular,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
paion,Paion,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
palau pharma,Palau Pharma SA,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
palobiofarma,PaloBiofarma,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
papworth,Papworth Hospital,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
para formacion investigacion sanitaria region murcia,Fundación para la Formación e Investigación Sanitarias de la Región de Murcia,NA,NA,foundation,curated entity canonical from final_sponsor_canonical_review
para investigacion biomedica del clinico san carlos,Fundación para la Investigación Biomédica del Hospital Clínico San Carlos,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
para investigacion biomedica del universitario ramon cajal,Fundacion Para La Investigacion Biomedica Del Hospital Universitario Ramon Y Cajal,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
paradigm biopharmaceuticals,Paradigm Biopharmaceuticals,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
paratek pharma,Paratek Pharma,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
pearl therapeutics,Pearl Therapeutics,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
penta onlus,PENTA Foundation,NA,NA,foundation,curated entity canonical from final_sponsor_canonical_review
pentixapharm,PentixaPharm GmbH,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
pethema,PETHEMA Foundation,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
pharm pharmaceutical management,PHARM Pharmaceutical Research Management srl,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
pharm,R-Pharm,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
pharma mar,PHARMA MAR,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
pharma patent kft,Pharma Patent Kft,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
pharmacyclics,Pharmacyclics,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
pharmathen,Pharmathen,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
pharmaxis,Pharmaxis,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
pharnext,Pharnext,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
pharvaris,Pharvaris Netherlands BV,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
philipps marburg,Philipps University Marburg,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
philipps universitt marburg,Philipps University Marburg,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
philogen,Philogen S.pA.,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
photonamic,photonamic GmbH Co. KG,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
plethora solutions,Plethora Solutions,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
plymouth,University of Plymouth,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
pohl boskamp,G. Pohl-Boskamp,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
polichem,Polichem SA,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
policlinico gemelli,Policlinico Universitario Agostino Gemelli,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
policlinico san donato,Policlinico San Donato S.p.A.,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
polish lymphoma plrg,Polish Lymphoma Research Group PLRG,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
prague psychiatric,Prague Psychiatric Centre,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
premacure member shire companies,Premacure AB,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
prestige biopharma,Prestige BioPharma Limited,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
presurgy,PRESURGY S.L.,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
princess alexandra,Princess Alexandra Hospital,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
probelte pharma,Probelte Pharma S.L.,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
procter gamble pharmaceuticals,Procter & Gamble Pharmaceuticals,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
procter gamble technical,Procter & Gamble Technical Centres Ltd.,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
prometic biosciences,ProMetic Biosciences,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
prometic biotherapeutics,ProMetic BioTherapeutics,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
proqr therapeutics,ProQR Therapeutics,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
protalix biotherapeutics,Protalix BioTherapeutics,NA,NA,industry,curated entity canonical from final_sponsor_canonical_review
provincial castellon,Fundación Hospital Provincial de Castellón,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
proximagen,Proximagen,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
psychiatric,Psychiatric Research Unit,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
psychiatry,Institute of Psychiatry,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
public health agency,Public Health Agency of Sweden,NA,NA,public_body,curated entity canonical from final_sponsor_canonical_review
publica andaluza para gestion investigacion salud sevilla,FISEVI,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
publica andaluza para gestion salud sevilla fisevi,Fundación Pública Andaluza para la Gestión de Salud en Sevilla FISEVI,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
pulmocide,Pulmocide Limited,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
radboud nijmegen,Radboudumc,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
radboudumc,Radboudumc,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
ratiopharm,Teva,NA,NA,industry,curated entity canonical from final_sponsor_canonical_review
recerca sant pau,Institut de Recerca Hospital Sant Pau,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
recerca santa creu sant pau iib,Institut de Recerca Hospital de la Santa Creu i Sant Pau - IIB Sant Pau,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
recerca santa creu sant pau,Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau - IIB Sant Pau,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
reckitt benckiser healthcare,Reckitt Benckiser Healthcare,NA,NA,industry,curated entity canonical from final_sponsor_canonical_review
recordati rare diseases,Recordati,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
recordati,Recordati,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
red andaluza diseno traslacion terapias avanzadas publica progreso salud,Red Andaluza de Diseño y Traslación de Terapias Avanzadas,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
reddy,Dr. Reddy's Laboratories,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
reddys,Dr. Reddy's Laboratories,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
redhill biopharma,RedHill Biopharma,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
regensburg,University Hospital Regensburg,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
