entity_key,sponsor_clean_to,sponsor_parent_to,sponsor_group_to,sponsor_type_to,reason
association pour recherche thrapeutiques innovantes cancrologie,ARTIC,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
associazione italiana ematologia oncologia pediatrica,Associazione Italiana Ematologia Oncologia Pediatrica,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
astrazeneca,AstraZeneca,NA,NA,industry,curated entity canonical from final_sponsor_canonical_review
atea pharmaceuticals,Atea Pharmaceuticals,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
ausl piacenza,AUSL di Piacenza,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
autnoma madrid,Universidad Autnoma de Madrid,NA,NA,academic,curated entity canonical from final_sponsor_canonical_review
autolus,Autolus Ltd,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
aveo pharmaceuticals,AVEO Pharmaceuticals,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
axcan pharma,Axcan Pharma,NA,NA,industry,curated entity canonical from final_sponsor_canonical_review
axovant,Axovant Sciences,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
azienda ospedaliero universitaria modena,AZIENDA OSPEDALIERO-UNIVERSITARIA DI MODENA,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
azienda ospedaliero universitaria parma,AZIENDA OSPEDALIERO-UNIVERSITARIA DI PARMA,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
azienda ospedaliero universitaria pisana,Azienda Ospedaliero-Universitaria Pisana,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
azienda ospedaliero universitaria policlinico vittorio emanuele,Azienda Ospedaliero-Universitaria Policlinico-Vittorio Emanuele,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
azienda socio sanitaria territoriale degli spedali civili brescia,AZIENDA SOCIO SANITARIA TERRITORIALE DEGLI SPEDALI CIVILI DI BRESCIA,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
aziende chimiche riunite angelini francesco acraf,A.C.R.A.F. S.p.A. - Angelini,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
aziende chimiche riunite angelini francesco,A.C.R.A.F. S.p.A. - Angelini,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
barcelona,Hospital Clínic Barcelona,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
barrier therapeutics,Barrier Therapeutics,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
barts london,Barts and The London NHS Trust,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
basel,University Hospital Basel,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
