cluster_key,entity_key,suggested_canonical,sponsor_labels,aliases_sample,sources,sponsor_types,score,evidence,confidence_bucket,blocked_reason,review_bucket,applied
entity:abraxis bioscience llc indirect subsidiary celgene:blocked,abraxis bioscience llc indirect subsidiary celgene,"Abraxis BioScience, LLC, a wholly-owned subsidiary Celgene Corporation","Abraxis BioScience, LLC, a wholly-owned subsidiary Celgene Corporation|Abraxis BioScience, LLC, a wholly-owned subsidiary of Celgene Corporation",abraxis bioscience llc a wholly owned subsidiary of celgene corporation|abraxis bioscience llc a wholly-owned subsidiary celgene corporation|abraxis bioscience llc a wholly-owned subsidiary of celgene corporation|abraxis bioscience llc an indirect subsidiary of celgene corporation,bulk_reviewed|location_postcode,unknown,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:abraxis bioscience llc wholly owned subsidiary celgene:auto,abraxis bioscience llc wholly owned subsidiary celgene,"Abraxis BioScience, LLC, a wholly-owned subsidiary Celgene Corporation","Abraxis BioScience, LLC, a wholly-owned subsidiary Celgene Corporation|Abraxis BioScience, LLC, a wholly-owned subsidiary of Celgene Corporation",abraxis bioscience llc a wholly owned subsidiary of celgene corporation|abraxis bioscience llc a wholly-owned subsidiary celgene corporation|abraxis bioscience llc a wholly-owned subsidiary of celgene corporation|abraxis bioscience llc an indirect subsidiary of celgene corporation,bulk_reviewed|location_postcode,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:acacia pharma:auto,acacia pharma,Acacia Pharma,Acacia Pharma|Acacia Pharma Ltd.,acacia pharma limited|acacia pharma ltd,bulk_reviewed|llm_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:academic amsterdam:blocked,academic amsterdam,Amsterdam UMC,Amsterdam UMC,academic medical center|academic medical center amsterdam|academic medical center/ gastroenterology|academic medical centre|academic medical centre amc|academic medical centre amsterdam|academic psychiatric center - amc-uva|academical medical center,llm_reviewed|manual,hospital,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review; generated from target sponsor aliases,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:academic psychiatric uva:blocked,academic psychiatric uva,Amsterdam UMC,Amsterdam UMC,academic medical center|academic medical center amsterdam|academic medical center/ gastroenterology|academic medical centre|academic medical centre amc|academic medical centre amsterdam|academic psychiatric center - amc-uva|academical medical center,llm_reviewed|manual,hospital,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review; generated from target sponsor aliases,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:academic:blocked,academic,Amsterdam UMC,Amsterdam UMC,academic medical center|academic medical center amsterdam|academic medical center/ gastroenterology|academic medical centre|academic medical centre amc|academic medical centre amsterdam|academic psychiatric center - amc-uva|academical medical center,llm_reviewed|manual,hospital,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review; generated from target sponsor aliases,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:academical dep internal:blocked,academical dep internal,Amsterdam UMC,Amsterdam UMC,academic medical center|academic medical center amsterdam|academic medical center/ gastroenterology|academic medical centre|academic medical centre amc|academic medical centre amsterdam|academic psychiatric center - amc-uva|academical medical center,llm_reviewed|manual,hospital,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review; generated from target sponsor aliases,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:academical internal:blocked,academical internal,Amsterdam UMC,Amsterdam UMC,academic medical center|academic medical center amsterdam|academic medical center/ gastroenterology|academic medical centre|academic medical centre amc|academic medical centre amsterdam|academic psychiatric center - amc-uva|academical medical center,llm_reviewed|manual,hospital,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review; generated from target sponsor aliases,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:academical:auto,academical,Amsterdam UMC,"Academical medical Center, Department of dermatology",academical medical center department of dermatology,bulk_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:academical:blocked,academical,Amsterdam UMC,Amsterdam UMC,academic medical center|academic medical center amsterdam|academic medical center/ gastroenterology|academic medical centre|academic medical centre amc|academic medical centre amsterdam|academic psychiatric center - amc-uva|academical medical center,llm_reviewed|manual,hospital,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:academisch psychiatrisch:blocked,academisch psychiatrisch,Amsterdam UMC,Amsterdam UMC,academic medical center|academic medical center amsterdam|academic medical center/ gastroenterology|academic medical centre|academic medical centre amc|academic medical centre amsterdam|academic psychiatric center - amc-uva|academical medical center,llm_reviewed|manual,hospital,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review; generated from target sponsor aliases,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:academisch ziekenhuis leiden:blocked,academisch ziekenhuis leiden,Leiden University Medical Center,Leiden University Medical Center,academisch ziekenhuis leiden|leiden univerisity medical centre|leiden universitair medisch centrum|leiden university / leiden university medical center|leiden university medical center|leiden university medical centre|leiden universtity medical center|leids universitair medisch centrum,ctis_businesskey|llm_reviewed|manual,hospital,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review; generated from target sponsor aliases,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:academisch:blocked,academisch,Amsterdam UMC,Amsterdam UMC,academic medical center|academic medical center amsterdam|academic medical center/ gastroenterology|academic medical centre|academic medical centre amc|academic medical centre amsterdam|academic psychiatric center - amc-uva|academical medical center,llm_reviewed|manual,hospital,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review; generated from target sponsor aliases,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:ace aps:auto,ace aps,ACE ApS,ACE Aps|ACE ApS,ace aps,llm_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:acedemic amsterdam:blocked,acedemic amsterdam,Amsterdam UMC,Amsterdam UMC,academic medical center|academic medical center amsterdam|academic medical center/ gastroenterology|academic medical centre|academic medical centre amc|academic medical centre amsterdam|academic psychiatric center - amc-uva|academical medical center,llm_reviewed|manual,hospital,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review; generated from target sponsor aliases,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:acedemic:blocked,acedemic,Amsterdam UMC,Amsterdam UMC,academic medical center|academic medical center amsterdam|academic medical center/ gastroenterology|academic medical centre|academic medical centre amc|academic medical centre amsterdam|academic psychiatric center - amc-uva|academical medical center,llm_reviewed|manual,hospital,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review; generated from target sponsor aliases,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:acerta pharma:auto,acerta pharma,Acerta Pharma,Acerta Pharma|Acerta Pharma B.V.,acerta pharma b v|acerta pharma bv,bulk_reviewed|llm_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:achg leuven:blocked,achg leuven,KU Leuven,KU Leuven,achg-k u leuven|catholic university leuven|k u leuven|katholieke universiteit leuven|ku leuven|ku leuven-drug delivery and disposition|kuleuven|kuleuven - targid,llm_reviewed|manual,academic,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review; generated from target sponsor aliases,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:across associaci catalana per recerca oncolgica les seves implicacions sanitries socials:auto,across associaci catalana per recerca oncolgica les seves implicacions sanitries socials,ACROSS Associaci catalana per la recerca oncolgica i les seves implicacions sanitries i socials,ACROSS Associaci Catalana per a la Recerca Oncolgica i les seves implicacions Sanitries i Socials|ACROSS Associaci catalana per la recerca oncolgica i les seves implicacions sanitries i socials,across associaci catalana per a la recerca oncolgica i les seves implicacions sanitries i socials|across associaci catalana per la recerca oncolgica i les seves implicacions sanitries i socials,llm_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:across:auto,across,ACROSS Group,ACROSS|ACROSS Group,across|across group,bulk_reviewed|llm_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:active biotech:auto,active biotech,Active Biotech Research AB,Active Biotech AB|Active Biotech Research AB,active biotech ab|active biotech research ab,bulk_reviewed|llm_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:addenbrookes cambridge:blocked,addenbrookes cambridge,Cambridge University Hospitals NHS Foundation Trust,Cambridge University Hospitals NHS Foundation Trust,addenbrookes hospital|addenbrookes hospital cambridge university hospitals nhs foundation trust|addenbrookes hospital nhs foundation trust|addenbrookes hospital trust|addenbrookes nhs trust|cambridge hospitals nhs foundation trust and cambridge university|cambridge university hospital addenbrookes hospital|cambridge university hospital nhs foundation trust,llm_reviewed|location_postcode|manual,hospital,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review; generated from target sponsor aliases,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:addenbrookes:auto,addenbrookes,Cambridge University Hospitals NHS Foundation Trust,Addenbrookes Hospital NHS Trust,addenbrookes hospital nhs trust,bulk_reviewed,hospital,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:addenbrookes:blocked,addenbrookes,Cambridge University Hospitals NHS Foundation Trust,Cambridge University Hospitals NHS Foundation Trust,addenbrookes hospital|addenbrookes hospital cambridge university hospitals nhs foundation trust|addenbrookes hospital nhs foundation trust|addenbrookes hospital trust|addenbrookes nhs trust|cambridge hospitals nhs foundation trust and cambridge university|cambridge university hospital addenbrookes hospital|cambridge university hospital nhs foundation trust,llm_reviewed|location_postcode|manual,hospital,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:addmedica:auto,addmedica,Addmedica S.A.S,Addmedica|Addmedica S.A.S,addmedica|addmedica s a s,bulk_reviewed|llm_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:adocia:auto,adocia,Adocia,Adocia|Adocia SA,adocia|adocia sa,llm_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:advanced accelerator applications international:auto,advanced accelerator applications international,Advanced Accelerator Applications SA,Advanced Accelerator Applications International S.A.,advanced accelerator applications international s a,bulk_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:advanced accelerator applications international:blocked,advanced accelerator applications international,Advanced Accelerator Applications SA,Advanced Accelerator Applications SA,advanced accelerator applications|advanced accelerator applications international sa|advanced accelerator applications sa,bulk_reviewed|llm_reviewed,unknown,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:advanced accelerator applications:auto,advanced accelerator applications,Advanced Accelerator Applications SA,Advanced Accelerator Applications SA,advanced accelerator applications|advanced accelerator applications international sa|advanced accelerator applications sa,bulk_reviewed|llm_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review; generated from target sponsor aliases,auto,NA,A-F,TRUE
entity:advicenne:auto,advicenne,Advicenne,Advicenne,advicenne|advicenne s a,epar_mah|llm_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:advicenne:blocked,advicenne,Advicenne,Advicenne Pharma,advicenne pharma|advicenne pharma sa|advicenne sa,llm_reviewed,unknown,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
