raw_substance,n_trials
Pasta Antibitica Tpica PAT,1
Patchinga Freestyle Libre 3 Patch,1
Peregrine System™ Kit,1
Pfizer,1
Ph. Eur.,1
Posterisan corte Placebozpfchen,1
Powder and solvent for prolongedrelease suspension for injection in pre-filled pen,1
"Pre-filled pen containing 2.16mL solution, subcutaneous injection",1
Preserved water,1
Protease Inhibitors all licenced PIs allowed per the protocol,1
Protease inhibitors,1
Rectal bacteriotherapy instillation,1
Route of administration: Oral use,1
Saliva Natura,1
Schweppes™,1
Second generation anti-psychotic drugs,1
"Sirupus simplex 30mL followed by 15mL after two hours, at one study visit",1
Syrspend oraaliliuos,1
Tap water,1
ToothGuide,1
UROLOGICALS,1
"V, liquide pour inhalation par vapeur",1
Vasodilators,1
Vehicle (Isocyclosporin A 0 mg,1
Verum 2,1
Viet Nam,1
"W, fenonip XB and purified water.",1
Watchful waiting,1
Xience V,1
actuation,1
"actuation Nasal Spray, Suspension",1
antibiotic whatever type the GP would usually use as first line for acute bronchitis,1
aucun mdicament exprimental,1
"batch number 
(AstraZeneca",1
"different combinations of full optimal doses of betablockers, ACEi",1
dose spray sublinguale,1
"dosis, transdermale gel",1
entfllt,1
freeflex,1
g -geeli,1
g gel vaginal.,1
g hüvelykrém,1
g pomada,1
"g, Salbe",1
"g-gel, doseringspump",1
helicidine mucoglycoprotin complex  extracted from Helix Pomatia L. snail mucous,1
infusione,1
infusioonilahus,1
infusioonilahuse kontsentraat,1
"infuusioneste, dispersio.",1
injectabila,1
išpurškime suslėgtoji įkvepiamoji suspensija,1
mL Emulsion zur Injektion,1
mL KwikPen solution for injection in a pre-filled pen,1
mL Penfill solution for injection in cartridge,1
mL cartridge,1
mL dispersione iniettabile,1
mL oral solution composed of a mixture of Phosal 50PG and Polysorbate 80.,1
mL soluzione iniettabile,1
"ml + 0,03 IE",1
ml + 1000 DPP,1
ml + 150 DPP,1
ml + 50 DPP,1
ml - Stechampullen,1
"ml DoubleStar, solution for injection in a pre-filled pen",1
"ml INTRAVEINEUX, solution injectable",1
ml Injektionslösung in einer Patrone,1
ml buffrad,1
ml infuusioneste,1
"ml nenäsumute, liuos",1
ml oplossing voor subcutane injectie,1
ml parenterale Rntgenkontrastmittellsung,1
ml polvere per sospensione iniettabile,1
ml solucin inyectable,1
ml solución inyectable subcutánea,1
ml sospensione iniettabile,1
ml škidums infuzijam,1
ml šķīdums injekcijām vai infūzijām,1
"ml, oplossing voor huidpriktest",1
"ml, oplossing voor orale of rectale toediening",1
modifiziertes Schema,1
nein,1
nicht zutreffend,1
no recommended INN,1
non-preserved sterile liquid formulation,1
nothing (blank,1
per infusione,1
procedimiento IBGM PEI 10-134,1
"reconstitution solution containing: 5% dextrose, 2.5% sodium chloride, 1.6% sodium acetate in sterile water; pH: 6.0-6.5",1
sterile isotonic solution,1
sterilized lyophilized powder with no active,1
syringe,1
syringe.,1
unavailable,1
various ptx used in study,1
"verstuiving, neusspray, suspensie",1
w Aqueous Nasal Spray,1
w and 0.1% w,1
ANTIVIRALS FOR SYSTEMIC USE,1
