alias_clean,substance_clean,alias_type,source
desloratadine ratiopharm,desloratadine,ema_product_name,epar
fycompa,perampanel,ema_product_name,epar
ozempic,semaglutide,ema_product_name,epar
infanrix hexa,"diphtheria toxoid|tetanus toxoid|bordetella pertussis antigens (pertussis toxoid, filamentous haemagglutinin, pertactin)|hepatitis b surface antigen|poliovirus (inactivated) (type-1 (mahoney strain), type-2 (mef-1 strain), type-3 (saukett strain))|haemophilus influenzae type b polysaccharide",ema_product_name,epar
menveo,"meningococcal group a, c, w-135 and y conjugate vaccine",ema_product_name,epar
zavesca,miglustat,ema_product_name,epar
ztalmy,ganaxolone,ema_product_name,epar
ryzneuta,efbemalenograstim alfa,ema_product_name,epar
adynovi,rurioctocog alfa pegol,ema_product_name,epar
cervarix,human papillomavirus1 type 16 l1 protein|human papillomavirus type 18 l1 protein,ema_product_name,epar
evenity,romosozumab,ema_product_name,epar
mircera,methoxy polyethylene glycol-epoetin beta,ema_product_name,epar
evkeeza,evinacumab,ema_product_name,epar
pyrukynd,mitapivat sulfate,ema_product_name,epar
locametz,gozetotide,ema_product_name,epar
ebixa,memantine hydrochloride,ema_product_name,epar
trazimera,trastuzumab,ema_product_name,epar
wyost,denosumab,ema_product_name,epar
mepsevii,vestronidase alfa,ema_product_name,epar
altuvoct,efanesoctocog alfa,ema_product_name,epar
tolura,telmisartan,ema_product_name,epar
fruzaqla,fruquintinib,ema_product_name,epar
ritonavir viatris (previously ritonavir mylan),ritonavir,ema_product_name,epar
sarclisa,isatuximab,ema_product_name,epar
ixchiq,"chikungunya virus, strain chikv lr2006-opy1, live attenuated",ema_product_name,epar
onpattro,patisiran sodium,ema_product_name,epar
abevmy,bevacizumab,ema_product_name,epar
telmisartan actavis,telmisartan,ema_product_name,epar
xolremdi,mavorixafor,ema_product_name,epar
calquence,acalabrutinib|acalabrutinib maleate,ema_product_name,epar
tysabri,natalizumab,ema_product_name,epar
alprolix,eftrenonacog alfa,ema_product_name,epar
rexatilux,ranibizumab,ema_product_name,epar
redemplo,plozasiran sodium,ema_product_name,epar
retsevmo,selpercatinib,ema_product_name,epar
pyzchiva,ustekinumab,ema_product_name,epar
opuviz,aflibercept,ema_product_name,epar
cejemly,sugemalimab,ema_product_name,epar
kesimpta,ofatumumab,ema_product_name,epar
lorviqua,lorlatinib,ema_product_name,epar
zegalogue,dasiglucagon hydrochloride,ema_product_name,epar
duvyzat,givinostat hydrochloride monohydrate,ema_product_name,epar
neorecormon,epoetin beta,ema_product_name,epar
advagraf,tacrolimus,ema_product_name,epar
aquipta,atogepant,ema_product_name,epar
suliqua,insulin glargine|lixisenatide,ema_product_name,epar
xofluza,baloxavir marboxil,ema_product_name,epar
trimbow,beclometasone dipropionate|formoterol fumarate dihydrate|glycopyrronium bromide,ema_product_name,epar
lunsumio,mosunetuzumab,ema_product_name,epar
alkindi,hydrocortisone,ema_product_name,epar
elaprase,idursulfase,ema_product_name,epar
ontozry,cenobamate,ema_product_name,epar
ondibta,insulin glargine,ema_product_name,epar
gotenfia,golimumab,ema_product_name,epar
eydenzelt,aflibercept,ema_product_name,epar
zypadhera,olanzapine pamoate,ema_product_name,epar
teriflunomide viatris (previously teriflunomide mylan),teriflunomide,ema_product_name,epar
koselugo,selumetinib sulfate,ema_product_name,epar
tenofovir disoproxil viatris (previously tenofovir disoproxil mylan),tenofovir disoproxil,ema_product_name,epar
noxafil,posaconazole,ema_product_name,epar
wezenla,ustekinumab,ema_product_name,epar
keytruda,pembrolizumab,ema_product_name,epar
mulpleo (previously lusutrombopag shionogi),lusutrombopag,ema_product_name,epar
erelzi,etanercept,ema_product_name,epar
stocrin,efavirenz,ema_product_name,epar
xgeva,denosumab,ema_product_name,epar
bopediat,furosemide,ema_product_name,epar
pelgraz,pegfilgrastim,ema_product_name,epar
doptelet,avatrombopag maleate,ema_product_name,epar
avtozma,tocilizumab,ema_product_name,epar
iloperidone vanda pharmaceuticals,iloperidone,ema_product_name,epar
ibuprofen gen.orph,ibuprofen,ema_product_name,epar
dazublys,trastuzumab,ema_product_name,epar
reyataz,atazanavir (as sulfate),ema_product_name,epar
rekovelle,follitropin delta,ema_product_name,epar
mirapexin,pramipexole dihydrochloride monohydrate,ema_product_name,epar
mounjaro,tirzepatide,ema_product_name,epar
daybu,trofinetide,ema_product_name,epar
aujemflu,"influenza virus surface antigens (haemagglutinin and neuraminidase) of the following strains: a|(h1n1), a|(h3n2), b|yamagata lineage, b|victoria lineage",ema_product_name,epar
denosumab ascend,denosumab,ema_product_name,epar
hopledo,carbidopa monohydrate|levodopa,ema_product_name,epar
nylaspeg,pegfilgrastim,ema_product_name,epar
onswik,insulin efsitora alfa,ema_product_name,epar
tacquell,"autologous melanoma-derived tumor infiltrating lymphocytes, ex vivo-expanded,",ema_product_name,epar
feraccru,ferric maltol,ema_product_name,epar
lojuxta,lomitapide,ema_product_name,epar
constella,linaclotide,ema_product_name,epar
trajenta,linagliptin,ema_product_name,epar
skyrizi,risankizumab,ema_product_name,epar
nintedanib accord,nintedanib,ema_product_name,epar
tezspire,tezepelumab,ema_product_name,epar
cenrifki,tolebrutinib,ema_product_name,epar
yervoy,ipilimumab,ema_product_name,epar
hemangiol,propranolol hydrochloride,ema_product_name,epar
evfraxy,denosumab,ema_product_name,epar
opdivo,nivolumab,ema_product_name,epar
balversa,erdafitinib,ema_product_name,epar
lynkuet,elinzanetant,ema_product_name,epar
qalsody,tofersen,ema_product_name,epar
tagrisso,osimertinib mesilate,ema_product_name,epar
ikervis,ciclosporin,ema_product_name,epar
pomalidomide accord,pomalidomide,ema_product_name,epar
epidyolex,cannabidiol,ema_product_name,epar
ahzantive,aflibercept,ema_product_name,epar
baiama,aflibercept,ema_product_name,epar
enzalutamide viatris,enzalutamide,ema_product_name,epar
palbociclib viatris,palbociclib,ema_product_name,epar
agamree,vamorolone,ema_product_name,epar
imdylltra,tarlatamab,ema_product_name,epar
adstiladrin,nadofaragene firadenovec,ema_product_name,epar
hexacima,hepatitis b surface antigen|diphtheria toxoid|bordetella pertussis antigens pertussis toxoid filamentous haemagglutinin|poliovirus (inactivated) type 1 (mahoney) type 2 (mef-1) type 3 (saukett)|haemophilus influenzae type b polysaccharide (polyribosylribitol phosphate) conjugated to tetanus protein|tetanus toxoid,ema_product_name,epar
hexyon,"filamentous haemagglutinin|haemophilus influenzae type b polysaccharide (polyribosylribitol phosphate)|hepatitis b surface antigen|pertussis toxoid|poliovirus (inactivated) type 1 (mahoney strain) produced on vero cells|poliovirus (inactivated) type 2 (mef-1 strain) produced on vero cells|poliovirus (inactivated) type 3 (saukett strain) produced on vero cells|tetanus protein|tetanus toxoid adsorbed on aluminium hydroxide, hydrated|diphtheria toxoid",ema_product_name,epar
kuvan,sapropterin dihydrochloride,ema_product_name,epar
nobivac nxt hcpchfelv,"feline herpesvirus 1 (fhv), strain g2620a, live|feline calicivirus (fcv), strain f9, live|feline panleucopenia virus (fpl), strain mw-1|chlamydia felis, strain baker, live|feline leukemia virus (felv) self-amplifying rna (sarna)-particle",ema_product_name,epar
scovella,velagliflozin,ema_product_name,epar
nobivac nxt hcpfelv,"feline herpesvirus 1 (fhv), strain g2620a, live|feline calicivirus (fcv), strain f9, live|feline panleucopenia virus (fpl), strain mw-1, live|feline leukemia virus (felv) self-amplifying rna (sarna)-particle",ema_product_name,epar
nobivac nxt felv,feline leukemia virus (felv) self-amplifying rna (sarna)-particle: 106.6 - 109.3 rp,ema_product_name,epar
semglee,insulin glargine,ema_product_name,epar
